Healthy_species	Unhealthy_species
Acinetobacter_johnsonii	Actinomyces_sp_oral_taxon_414
Acinetobacter_parvus	Bacteroides_sp_CAG_633
Actinomyces_georgiae	Bacteroides_sp_CAG_661
Actinomyces_johnsonii	Bacteroides_sp_OM05_12
Actinomyces_massiliensis	Bifidobacterium_saeculare
Actinomyces_odontolyticus	Cardiobacterium_hominis
Actinomyces_oris	Cardiobacterium_valvarum
Actinomyces_radicidentis	Citrobacter_werkmanii
Actinomyces_sp_HMSC035G02	Clostridioides_difficile
Actinomyces_sp_HPA0247	Clostridium_cocleatum
Actinomyces_sp_ICM47	Clostridium_perfringens
Actinomyces_sp_oral_taxon_170	Clostridium_sp_7_2_43FAA
Actinomyces_sp_oral_taxon_448	Collinsella_massiliensis
Actinomyces_sp_oral_taxon_897	Cronobacter_malonaticus
Actinomyces_turicensis	Cronobacter_sakazakii
Aeriscardovia_aeriphila	Desulfovibrio_legallii
Aeromonas_caviae	Enterococcus_cecorum
Aeromonas_media	Erysipelothrix_larvae
Aeromonas_veronii	Eubacterium_sp_68_3_10
Aggregatibacter_sp_oral_taxon_458	Eubacterium_sp_OM08_24
Alistipes_sp_CAG_831	Faecalicoccus_pleomorphus
Alkaliphilus_oremlandii	Fusobacterium_mortiferum
Anaerofilum_sp_An201	Fusobacterium_varium
Bacillus_cereus_group	Gemmiger_sp_An120
Bacillus_sp_FJAT_27916	Gemmiger_sp_An50
Bacteroides_heparinolyticus	Hafnia_alvei
Bacteroides_pectinophilus	Klebsiella_oxytoca
Bacteroides_pyogenes	Kosakonia_cowanii
Bacteroides_sp_CAG_530	Kosakonia_sacchari
Bifidobacterium_breve	Lachnoclostridium_sp_An196
Bifidobacterium_kashiwanohense	Lactobacillus_agilis
Bifidobacterium_scardovii	Lactobacillus_amylovorus
Blautia_hydrogenotrophica	Lactobacillus_equicursoris
Blautia_sp_An249	Lactobacillus_fermentum
Blautia_sp_N6H1_15	Lactobacillus_murinus
Bosea_vaviloviae	Lactobacillus_oris
Brachyspira_pilosicoli	Lactobacillus_ruminis
Butyribacterium_methylotrophicum	Lactobacillus_salivarius
Butyricicoccus_pullicaecorum	Lautropia_mirabilis
Butyrivibrio_crossotus	Megamonas_funiformis_CAG_377
Butyrivibrio_sp_CAG_318	Megamonas_hypermegale
Campylobacter_jejuni	Megasphaera_elsdenii
Candidatus_Gastranaerophilales_bacterium_HUM_9	Megasphaera_hexanoica
Carnobacterium_maltaromaticum	Megasphaera_stantonii
Chlamydia_ibidis	Methanobrevibacter_woesei
Clostridium_baratii	Negativicoccus_succinicivorans
Clostridium_neonatale	Oribacterium_sp_oral_taxon_078
Clostridium_sp_CAG_413	Paeniclostridium_sordellii
Clostridium_sp_CAG_510	Peptoniphilus_coxii
Clostridium_sp_CAG_632	Peptoniphilus_sp_HMSC062D09
Clostridium_sp_CAG_678	Prevotella_colorans
Coprobacter_sp	Prevotella_corporis
Corynebacterium_casei	Prevotella_sp_CAG_1124
Corynebacterium_glutamicum	Prevotella_sp_CAG_617
Corynebacterium_variabile	Prevotella_sp_CAG_924
Criibacterium_bergeronii	Propionibacterium_acidifaciens
Cutibacterium_acnes	Pseudocitrobacter_faecalis
Denitrobacterium_detoxificans	Pyramidobacter_piscolens
Dialister_pneumosintes	Pyramidobacter_sp_C12_8
Dysgonomonas_sp_37_18	Streptococcus_peroris
Enhydrobacter_aerosaccus	Streptococcus_pneumoniae
Enterococcus_gilvus	Streptococcus_sp_HMSC070B10
Enterococcus_malodoratus	Streptococcus_viridans
Enterococcus_raffinosus	Subdoligranulum_variabile
Escherichia_marmotae	Succinatimonas_hippei
Eubacteriaceae_bacterium_CHKCI005	Sutterella_parvirubra
Eubacterium_brachy	Tropheryma_whipplei
Eubacterium_coprostanoligenes	Veillonella_tobetsuensis
Eubacterium_nodatum	
Eubacterium_sp_CAG_786	
Eubacterium_sulci	
Filifactor_alocis	
Firmicutes_bacterium_CAG_145	
Firmicutes_bacterium_CAG_534	
Firmicutes_bacterium_CAG_555	
Flavonifractor_sp_An82	
Fusobacterium_gonidiaformans	
Fusobacterium_naviforme	
Fusobacterium_necrophorum	
Fusobacterium_periodonticum	
Fusobacterium_sp_CAG_439	
Gemmiger_sp_An87	
Geobacillus_stearothermophilus	
Haemophilus_haemolyticus	
Kocuria_indica	
Lachnoclostridium_sp_An14	
Lachnospiraceae_bacterium_oral_taxon_096	
Lactobacillus_algidus	
Lactobacillus_delbrueckii	
Lactobacillus_farciminis	
Lactobacillus_parabuchneri	
Lactobacillus_plantarum	
Lactobacillus_rhamnosus	
Lactobacillus_sakei	
Lactobacillus_sanfranciscensis	
Lactococcus_garvieae	
Lactococcus_lactis	
Lactococcus_piscium	
Leptotrichia_hofstadii	
Leuconostoc_garlicum	
Leuconostoc_gelidum	
Leuconostoc_mesenteroides	
Leuconostoc_pseudomesenteroides	
Massiliomicrobiota_timonensis	
Megasphaera_cerevisiae	
Megasphaera_sp_DISK_18	
