Healthy_species	Unhealthy_species
Acinetobacter_parvus	Acidaminococcus_fermentans
Actinotignum_timonense	Acinetobacter_bereziniae
Aerococcus_urinaeequi	Actinomyces_cardiffensis
Aerococcus_viridans	Actinomyces_sp_HPA0247
Bacillus_cereus_group	Actinomyces_sp_oral_taxon_180
Bacillus_sp_FJAT_27916	Actinomyces_sp_oral_taxon_414
Bacteroides_caecimuris	Actinomyces_viscosus
Bacteroides_intestinalis	Aeromonas_dhakensis
Bacteroides_sp_OM05_12	Aggregatibacter_segnis
Candidatus_Stoquefichus_sp_KLE1796	Aggregatibacter_sp_oral_taxon_458
Carnobacterium_maltaromaticum	Alistipes_sp_CHKCI003
Citrobacter_portucalensis	Alloprevotella_rava
Comamonas_kerstersii	Alloprevotella_tannerae
Coprobacter_sp	Anaerococcus_vaginalis
Corynebacterium_casei	Atopobium_deltae
Corynebacterium_glutamicum	Atopobium_minutum
Corynebacterium_variabile	Atopobium_vaginae
Dialister_sp_CAG_357	Bacteroides_sp_CAG_633
Elizabethkingia_anophelis	Bacteroides_sp_CAG_927
Enhydrobacter_aerosaccus	Bacteroides_xylanolyticus
Enterobacter_soli	Bacteroidetes_bacterium_oral_taxon_272
Enterococcus_devriesei	Barnesiella_sp_An55
Enterococcus_malodoratus	Bavariicoccus_seileri
Enterococcus_mundtii	Bifidobacterium_angulatum
Firmicutes_bacterium_CAG_534	Bifidobacterium_gallinarum
Flavonifractor_sp_An82	Bifidobacterium_moukalabense
Geobacillus_stearothermophilus	Bifidobacterium_pullorum
Hungatella_effluvii	Bifidobacterium_saeculare
Kluyvera_ascorbata	Bulleidia_extructa
Kluyvera_intestini	Campylobacter_coli
Lachnospiraceae_bacterium_2_1_46FAA	Campylobacter_concisus
Lactobacillus_algidus	Campylobacter_curvus
Lactobacillus_mindensis	Campylobacter_gracilis
Lactobacillus_murinus	Campylobacter_rectus
Lactococcus_piscium	Campylobacter_showae
Lactococcus_raffinolactis	Candida_albicans
Leuconostoc_citreum	Candidatus_Methanomassiliicoccus_intestinalis
Leuconostoc_gelidum	Candidatus_Methanomethylophilus_sp_1R26
Leuconostoc_suionicum	Capnocytophaga_gingivalis
Megasphaera_cerevisiae	Cardiobacterium_hominis
Meiothermus_silvanus	Cardiobacterium_valvarum
Methanosphaera_cuniculi	Catenibacterium_mitsuokai
Parabacteroides_chinchillae	Catonella_morbi
Phytobacter_ursingii	Cellulosilyticum_lentocellum
Pseudomonas_fragi	Citrobacter_sp_MGH106
Pseudomonas_lundensis	Clavibacter_michiganensis
Pyrococcus_yayanosii	Clostridioides_difficile
Roseburia_sp_CAG_303	Clostridium_baratii
Staphylococcus_capitis	Clostridium_cadaveris
Staphylococcus_hominis	Clostridium_cocleatum
Staphylococcus_kloosii	Clostridium_sp_7_2_43FAA
Staphylococcus_sciuri	Clostridium_ventriculi
Staphylococcus_xylosus	Comamonas_testosteroni
Stenotrophomonas_rhizophila	Corynebacterium_accolens
Streptococcus_equinus	Corynebacterium_aurimucosum
Streptococcus_pyogenes	Corynebacterium_matruchotii
Terrisporobacter_othiniensis	Cronobacter_sakazakii
Treponema_porcinum	Denitrobacterium_detoxificans
Vibrio_fluvialis	Desulfovibrio_legallii
Weissella_cibaria	Dialister_micraerophilus
	Dialister_pneumosintes
	Edwardsiella_tarda
	Eikenella_corrodens
	Enterococcus_canis
	Enterococcus_casseliflavus
	Enterococcus_cecorum
	Enterococcus_dispar
	Enterococcus_durans
	Enterococcus_faecalis
	Eubacterium_infirmum
	Eubacterium_minutum
	Eubacterium_sp_An11
	Facklamia_hominis
	Firmicutes_bacterium_CAG_791
	Flavobacterium_sp_FEMGT703F
	Franconibacter_helveticus
	Fusobacterium_equinum
	Fusobacterium_gonidiaformans
	Fusobacterium_hwasookii
	Fusobacterium_nucleatum
	Fusobacterium_sp_oral_taxon_370
	Gemella_asaccharolytica
	Gemella_bergeri
	Gemmiger_sp_An50
	Haemophilus_haemolyticus
	Haemophilus_influenzae
	Haemophilus_parahaemolyticus
	Haemophilus_quentini
	Hafnia_alvei
	Helicobacter_equorum
	Helicobacter_pylori
