Healthy_species	Unhealthy_species
Abiotrophia_defectiva	Aggregatibacter_aphrophilus
Abiotrophia_sp_HMSC24B09	Aggregatibacter_segnis
Actinobaculum_sp_oral_taxon_183	Aggregatibacter_sp_oral_taxon_458
Actinomyces_cardiffensis	Agitococcus_lubricus
Actinomyces_georgiae	Alloprevotella_rava
Actinomyces_hongkongensis	Alloprevotella_tannerae
Actinomyces_johnsonii	Anaerococcus_vaginalis
Actinomyces_massiliensis	Anaeroglobus_geminatus
Actinomyces_naeslundii	Bacteroides_coprocola
Actinomyces_odontolyticus	Bacteroides_oleiciplenus
Actinomyces_oris	Bacteroides_sp_CAG_927
Actinomyces_sp_HMSC035G02	Bacteroides_sp_OM08_11
Actinomyces_sp_ICM47	Barnesiella_sp_An22
Actinomyces_sp_S6_Spd3	Bifidobacterium_gallinarum
Actinomyces_sp_oral_taxon_170	Bifidobacterium_moukalabense
Actinomyces_sp_oral_taxon_181	Bifidobacterium_pullorum
Actinomyces_sp_oral_taxon_448	Bifidobacterium_saeculare
Aeromonas_hydrophila	Blautia_hydrogenotrophica
Akkermansia_muciniphila	Campylobacter_coli
Alistipes_indistinctus	Campylobacter_concisus
Alkaliphilus_oremlandii	Campylobacter_curvus
Anaerobiospirillum_thomasii	Campylobacter_gracilis
Anaerofilum_sp_An201	Campylobacter_mucosalis
Anaerofustis_stercorihominis	Campylobacter_showae
Anaeromassilibacillus_sp_An172	Capnocytophaga_gingivalis
Anaeromassilibacillus_sp_An250	Cardiobacterium_hominis
Anaerotruncus_colihominis	Cardiobacterium_valvarum
Anaerotruncus_sp_CAG_528	Centipeda_periodontii
Arcobacter_butzleri	Cetobacterium_somerae
Atopobium_minutum	Citrobacter_koseri
Bacillus_cereus_group	Clostridioides_difficile
Bacillus_sp_FJAT_27916	Clostridium_baratii
Bacteroidales_bacterium_KA00251	Clostridium_celatum
Bacteroides_coagulans	Clostridium_perfringens
Bacteroides_fluxus	Clostridium_sp_7_2_43FAA
Bacteroides_pectinophilus	Corynebacterium_matruchotii
Bacteroides_sartorii	Dialister_pneumosintes
Bacteroides_sp_43_108	Dielma_fastidiosa
Bacteroides_sp_CAG_530	Eikenella_corrodens
Bacteroides_sp_OM05_12	Eikenella_sp_NML130454
Bifidobacterium_angulatum	Eubacterium_sp_An11
Bifidobacterium_catenulatum	Firmicutes_bacterium_CAG_424
Bifidobacterium_ruminantium	Franconibacter_helveticus
Blastocystis_sp_subtype_1	Fusobacterium_equinum
Brachyspira_pilosicoli	Fusobacterium_gonidiaformans
Brachyspira_sp_CAG_700	Fusobacterium_hwasookii
Butyribacterium_methylotrophicum	Fusobacterium_nucleatum
Butyrivibrio_crossotus	Fusobacterium_sp_oral_taxon_370
Butyrivibrio_sp_CAG_318	Gemella_asaccharolytica
Campylobacter_ureolyticus	Haemophilus_haemolyticus
Candidatus_Gastranaerophilales_bacterium_HUM_9	Haemophilus_influenzae
Candidatus_Methanomassiliicoccus_intestinalis	Haemophilus_parahaemolyticus
Candidatus_Stoquefichus_sp_KLE1796	Haemophilus_paraphrohaemolyticus
