Healthy_species	Unhealthy_species
Acinetobacter_junii	Abiotrophia_sp_HMSC24B09
Acinetobacter_parvus	Acidaminococcus_fermentans
Acinetobacter_ursingii	Acidaminococcus_intestini
Aerococcus_urinaeequi	Actinobaculum_sp_oral_taxon_183
Aerococcus_viridans	Actinomyces_cardiffensis
Alkaliphilus_oremlandii	Actinomyces_graevenitzii
Anaerobiospirillum_thomasii	Actinomyces_massiliensis
Anaerotruncus_sp_CAG_528	Actinomyces_naeslundii
Bacillus_cereus_group	Actinomyces_odontolyticus
Bacillus_sp_FJAT_27916	Actinomyces_oris
Bacteroides_caecimuris	Actinomyces_sp_HMSC035G02
Bacteroides_intestinalis	Actinomyces_sp_HPA0247
Bacteroides_sp_OM05_12	Actinomyces_sp_ICM47
Barnesiella_sp_An22	Actinomyces_sp_S6_Spd3
Barnesiella_viscericola	Actinomyces_sp_oral_taxon_180
Bifidobacterium_merycicum	Actinomyces_sp_oral_taxon_181
Blastocystis_sp_subtype_1	Actinomyces_sp_oral_taxon_414
Blautia_hansenii	Actinomyces_sp_oral_taxon_448
Butyrivibrio_sp_CAG_318	Actinomyces_turicensis
Candidatus_Gastranaerophilales_bacterium_HUM_9	Actinomyces_viscosus
Candidatus_Stoquefichus_sp_KLE1796	Aeromonas_dhakensis
Chlamydia_ibidis	Aeromonas_hydrophila
Citrobacter_portucalensis	Aeromonas_veronii
Clostridium_hiranonis	Alcaligenes_aquatilis
Clostridium_sp_CAG_299	Alistipes_sp_An66
Clostridium_sp_CAG_510	Allisonella_histaminiformans
Clostridium_sp_CAG_632	Alloprevotella_rava
Clostridium_sp_CAG_678	Alloprevotella_tannerae
Collinsella_massiliensis	Alloscardovia_omnicolens
Comamonas_kerstersii	Anaerococcus_vaginalis
Coprobacter_sp	Anaerostipes_caccae
Corynebacterium_glutamicum	Atopobium_deltae
Corynebacterium_variabile	Atopobium_parvulum
Cronobacter_malonaticus	Atopobium_rimae
Desulfovibrio_fairfieldensis	Atopobium_vaginae
Desulfovibrio_sp_An276	Bacteroides_sp_CAG_633
Dialister_sp_CAG_357	Bacteroides_sp_CAG_927
Elizabethkingia_anophelis	Bacteroidetes_bacterium_oral_taxon_272
Enhydrobacter_aerosaccus	Bifidobacterium_animalis
Enterobacter_soli	Bifidobacterium_dentium
Escherichia_fergusonii	Bifidobacterium_gallinarum
Eubacterium_coprostanoligenes	Bifidobacterium_pullorum
Eubacterium_sp_CAG_786	Bifidobacterium_saeculare
Firmicutes_bacterium_CAG_534	Blautia_coccoides
Geobacillus_stearothermophilus	Blautia_hydrogenotrophica
Haemophilus_pittmaniae	Brevibacterium_aurantiacum
Haemophilus_sputorum	Brevibacterium_linens
Hungatella_effluvii	Bulleidia_extructa
Klebsiella_variicola_CAG_634	Butyribacterium_methylotrophicum
Kluyvera_ascorbata	Campylobacter_coli
Kosakonia_cowanii	Campylobacter_concisus
Kosakonia_sacchari	Campylobacter_curvus
Lactobacillus_animalis	Campylobacter_gracilis
Lactobacillus_gallinarum	Campylobacter_rectus
Lactobacillus_mindensis	Campylobacter_showae
Lactobacillus_murinus	Campylobacter_ureolyticus
Lactococcus_piscium	Candida_albicans
Lactococcus_raffinolactis	Cardiobacterium_valvarum
Leuconostoc_citreum	Catabacter_hongkongensis
Leuconostoc_garlicum	Catenibacterium_mitsuokai
Leuconostoc_gelidum	Catonella_morbi
Macrococcus_caseolyticus	Cellulosilyticum_lentocellum
Megamonas_rupellensis	Christensenella_minuta
Methanobrevibacter_woesei	Citrobacter_braakii
Mycoplasma_bovis	Citrobacter_farmeri
Oxalobacter_formigenes	Citrobacter_sp_MGH106
Parabacteroides_chinchillae	Clostridiales_bacterium_CHKCI006
Parabacteroides_sp_426_9	Clostridium_cadaveris
Phascolarctobacterium_faecium	Clostridium_clostridioforme
Phytobacter_ursingii	Clostridium_hylemonae
Plesiomonas_shigelloides	Clostridium_methylpentosum
Prevotella_buccalis	Clostridium_paraputrificum
Prevotella_disiens	Clostridium_scindens
Prevotella_sp_CAG_1058	Clostridium_sp_7_2_43FAA
Prevotella_sp_CAG_924	Corynebacterium_accolens
Prevotella_sp_F0091	Corynebacterium_durum
Prevotella_stercorea	Corynebacterium_matruchotii
Proteobacteria_bacterium_CAG_139	Denitrobacterium_detoxificans
Providencia_alcalifaciens	Dialister_micraerophilus
Pseudoalteromonas_tetraodonis	Dialister_pneumosintes
Pseudocitrobacter_faecalis	Dorea_sp_D27
Pseudomonas_fluorescens_group	Dysgonomonas_gadei
Pseudomonas_fragi	Edwardsiella_tarda
Pseudomonas_yamanorum	Eggerthia_catenaformis
Pyrococcus_yayanosii	Eikenella_corrodens
Rhodococcus_qingshengii	Eisenbergiella_tayi
Roseburia_sp_831b	Enorma_massiliensis
Roseburia_sp_CAG_182	Enterococcus_avium
Roseburia_sp_CAG_303	Enterococcus_canis
Ruminococcus_champanellensis	Enterococcus_casseliflavus
Ruminococcus_sp_CAG_488	Enterococcus_dispar
Ruminococcus_sp_CAG_563	Enterococcus_durans
Selenomonas_flueggei	Enterococcus_faecalis
Sneathia_amnii	Enterococcus_gilvus
Staphylococcus_capitis	Eubacteriaceae_bacterium_CHKCI005
Staphylococcus_epidermidis	Eubacterium_brachy
Staphylococcus_gallinarum	Eubacterium_callanderi
Staphylococcus_hominis	Eubacterium_infirmum
Staphylococcus_kloosii	Eubacterium_limosum
Staphylococcus_sciuri	Eubacterium_nodatum
Staphylococcus_xylosus	Eubacterium_saphenum
Stenotrophomonas_rhizophila	Eubacterium_sulci
Streptococcus_equinus	Faecalicatena_orotica
Streptococcus_infantarius	Faecalicoccus_pleomorphus
Streptococcus_macedonicus	Faecalitalea_cylindroides
Streptococcus_pyogenes	Filifactor_alocis
Streptococcus_sp_HMSC071D03	Firmicutes_bacterium_CAG_145
Treponema_berlinense	Firmicutes_bacterium_CAG_94
Treponema_porcinum	Flavobacterium_sp_FEMGT703F
Treponema_succinifaciens	Flavonifractor_sp_An306
Turicimonas_muris	Fretibacterium_fastidiosum
Variovorax_paradoxus	Fusobacterium_equinum
Vibrio_fluvialis	Fusobacterium_gonidiaformans
Weissella_cibaria	Fusobacterium_hwasookii
Weissella_confusa	Fusobacterium_naviforme
	Fusobacterium_necrophorum
	Fusobacterium_nucleatum
	Fusobacterium_periodonticum
	Fusobacterium_sp_oral_taxon_370
	Fusobacterium_ulcerans
	Gemella_asaccharolytica
	Gemella_bergeri
	Gemella_haemolysans
	Gemella_morbillorum
	Gemella_sanguinis
	Gemmiger_sp_An50
	Giardia_intestinalis
	Granulicatella_adiacens
	Granulicatella_elegans
	Haemophilus_haemolyticus
	Haemophilus_influenzae
	Haemophilus_parahaemolyticus
	Hafnia_alvei
	Harryflintia_acetispora
	Helicobacter_pylori
	Jonquetella_anthropi
	Klebsiella_michiganensis
	Klebsiella_oxytoca
	Kosakonia_pseudosacchari
	Lachnoanaerobaculum_saburreum
	Lachnoanaerobaculum_umeaense
	Lachnoclostridium_sp_An118
	Lachnoclostridium_sp_An131
	Lachnoclostridium_sp_An138
	Lachnoclostridium_sp_An14
	Lachnoclostridium_sp_An196
	Lachnoclostridium_sp_An298
	Lactobacillus_brevis
	Lactobacillus_curvatus
	Lactobacillus_delbrueckii
	Lactobacillus_fermentum
	Lactobacillus_fuchuensis
	Lactobacillus_gasseri
	Lactobacillus_helveticus
	Lactobacillus_iners
	Lactobacillus_kefiranofaciens
	Lactobacillus_oris
	Lactobacillus_panis
	Lactobacillus_paragasseri
	Lactobacillus_pontis
	Lactobacillus_reuteri
	Lactobacillus_rhamnosus
	Lactobacillus_sakei
	Lactobacillus_sanfranciscensis
	Lawsonella_clevelandensis
	Leclercia_adecarboxylata
	Leptotrichia_hofstadii
	Leptotrichia_sp_oral_taxon_212
	Leptotrichia_sp_oral_taxon_215
	Leptotrichia_wadei
	Leuconostoc_carnosum
	Leuconostoc_mesenteroides
