Source,Target,Correlation,Dissimilarity
237,238,0.9469946177908115,0.021478283609496333
379,764,0.7077599977518827,0.23119559715679527
398,432,0.9999999999999999,0.19216646266829862
449,810,0.7077599977518826,0.2206077260688144
464,1073,0.9999999999999999,0.16421568627450986
569,613,0.9999999999999999,0.09992132179386304
581,920,0.9999999999999999,0.2546125461254612
605,810,0.9999999999999999,0.14785992217898833
608,1073,0.9999999999999999,0.20235096557514695
629,637,0.9999999999999999,0.07692307692307691
747,798,0.7077599977518827,0.15410273758329443
965,1092,0.9999999999999999,0.16171617161716187
1013,1014,0.9999999999999999,0.06838453914767101
