Source,Target,Correlation,Dissimilarity
44,961,0.7093988675257054,0.19470198803491917
89,90,0.7839712266241906,0.24746467724554042
123,125,0.9787558863902263,0.22130833934070623
154,605,0.7093988675257054,0.23986321186079315
159,519,0.7093988675257054,0.22743563283299348
208,246,0.9999999999999998,0.13258021074002904
208,286,0.7117131925977819,0.20175303533529057
237,238,0.9463461566371395,0.027957479781664296
246,286,0.7117131925977819,0.07346477087648524
460,1059,0.7093988675257054,0.267570870862267
