Source,Target,Correlation,Dissimilarity
237,238,0.9615932750020525,0.05109590046656598
399,1095,0.9999991103888787,0.24005327543518837
464,1073,0.8167449196914955,0.04090879871923269
465,967,0.7073218053001346,0.2192462376683498
490,603,0.7075370255338235,0.1914767720493707
603,791,0.9999992600091168,0.14741705372579825
618,619,0.9356983489039585,0.26488493736483537
618,620,0.8663766421362491,0.17276224435506604
619,620,0.9259141439715989,0.25477809089093484
625,917,0.7073218053001346,0.19986839638982215
687,894,0.9999992600091168,0.0701106976511758
717,917,0.7073218053001346,0.23619760102833695
718,917,0.7073218053001346,0.29662489044131324
761,1041,0.7073218053001346,0.18749999084398838
868,1102,0.8662871496800314,0.28380553592699825
1102,1103,0.8662871496800314,0.2429921240488341
