Source,Target,Correlation,Dissimilarity
7,50,0.7771084337349397,0.23344235190134197
9,169,0.7559289460184544,0.06107516409388635
9,366,0.7559289460184544,0.11069302444628197
10,56,0.7187499999999999,0.2938411401839454
10,205,0.875,0.18285320806103436
11,62,0.875,0.2932884264685153
19,64,0.7530120481927711,0.2208296884582052
21,321,0.9591836734693876,0.19800126926674755
26,105,0.7826237921249264,0.19603220937758362
26,111,0.875,0.2448395341075748
26,273,0.7559289460184544,0.28239961910807804
27,99,0.875,0.299879458141715
27,273,0.7559289460184544,0.29499812897592614
31,133,0.9999999999999999,0.29190873763995234
31,382,0.9999999999999999,0.10732420576897507
31,435,0.9999999999999999,0.10582658713250952
31,524,0.9999999999999999,0.044396379987477856
31,561,0.9999999999999999,0.12263457037780016
31,764,0.9999999999999999,0.17607089068684115
34,226,0.9999999999999999,0.05702554744525542
34,438,0.9999999999999999,0.22634233165232873
34,875,0.9999999999999999,0.040523533853511234
35,284,0.7559289460184544,0.26918076876662156
35,581,0.7559289460184544,0.2208157692285743
36,40,0.9999999999999999,0.04072053786629453
36,90,0.9999999999999999,0.09036478545293268
36,93,0.9999999999999999,0.11221729250081154
36,149,0.9999999999999999,0.2272251308900524
36,197,0.9999999999999999,0.2756958482351112
36,290,0.9999999999999999,0.29257566612054836
36,293,0.9999999999999999,0.23391539826314317
36,316,0.9999999999999999,0.15195369030390732
36,336,0.9999999999999999,0.19663141402271833
36,393,0.9999999999999999,0.05912729150529308
38,110,0.9999999999999999,0.023364485981308518
38,183,0.9999999999999999,0.2302025782688767
38,187,0.9999999999999999,0.1741573033707865
38,257,0.9999999999999999,0.15789473684210517
38,288,0.9999999999999999,0.1572580645161291
38,611,0.9999999999999999,0.012106537530266278
40,90,0.9999999999999999,0.13060473672108527
40,93,0.9999999999999999,0.15224215246636763
40,149,0.9999999999999999,0.18824638592080462
40,197,0.9999999999999999,0.23764320785597381
40,293,0.9999999999999999,0.2720446669233731
40,316,0.9999999999999999,0.19148936170212758
40,336,0.9999999999999999,0.23546658578505708
40,393,0.9999999999999999,0.018451178451178506
44,217,0.7559289460184544,0.23449911145810756
44,403,0.7559289460184544,0.28066528408486463
44,623,0.7559289460184544,0.18419400127291677
45,72,0.8250000000000001,0.17670830808325758
49,59,0.7265477421488704,0.16233199132409923
49,173,0.9299811099505542,0.08005498139546749
51,109,0.9999999999999999,0.18202130236982134
51,205,0.7559289460184544,0.28587349879903917
52,84,0.7506799638749293,0.29791358120716865
56,99,0.7187499999999999,0.19042193651244382
56,205,0.875,0.13190930123326644
58,96,0.7559289460184544,0.22323506594259113
58,125,0.7559289460184544,0.18918918918918917
58,294,0.9999999999999999,0.24567249085737508
60,210,0.7559289460184544,0.26404979980076976
66,89,0.7559289460184544,0.07622361921867976
66,91,0.7559289460184544,0.06246556128838356
66,141,0.7559289460184544,0.0907332612776608
66,212,0.7559289460184544,0.040844565161687094
66,225,0.7559289460184544,0.1757970759203805
66,227,0.7559289460184544,0.18177843840167876
66,285,0.7559289460184544,0.09044078339894054
66,290,0.7559289460184544,0.1224680950708348
66,293,0.7559289460184544,0.18401877238483383
66,316,0.7559289460184544,0.2648591595751699
66,336,0.7559289460184544,0.22150729438746256
66,473,0.7559289460184544,0.22253146678851823
68,172,0.9299811099505543,0.23031537466489893
69,114,0.7187499999999999,0.15261093748850615
69,115,0.8105746418436737,0.1946844917726623
73,267,0.9999999999999999,0.00587544065804928
