"","SRR5936019","SRR5983275","SRR5935904","SRR5947869","ERR209354","ERR209846","SRR5936132","SRR5946867","SRR5947048","SRR5946673","SRR5947041","SRR5983326","SRR5946730","SRR5946974","SRR5946967","SRR5936167","SRR5947080","SRR5983476","SRR5946617","SRR5946696","SRR5946815","ERR209373","SRR5935740","ERR210558","SRR5983299","SRR5935924","ERR209415","SRR5946776","SRR5946685","SRR5936030","SRR5946746","SRR5983411","SRR5946790","SRR5946868","SRR5935897","SRR5983271","ERR209442","SRR5935792","SRR5983459","SRR5935808","ERR209070","SRR5936126","SRR5935963","SRR5935749","SRR5946747","ERR209648","SRR5946931","ERR209726","SRR5935997","ERR209811","ERR209706","SRR5946969","SRR5947019","SRR5935938","ERR209953","SRR5936076","SRR5946866","SRR5983284","SRR5946708","ERR210536","ERR210367","SRR5935850","SRR5946644","SRR5935866","SRR5947032","SRR5935805","SRR5936095","ERR209336","SRR5946733","SRR5946963","SRR5946958","SRR5936136","SRR5936208","SRR5947851","ERR209799","SRR5946847","SRR5936056","ERR210578","ERR209248","SRR5935865","ERR209343","SRR5947069","SRR5935816","SRR5935996","SRR5947049","SRR5936052","ERR210568","ERR209520","SRR5947003","SRR5946817","SRR5946671","SRR5983268","ERR209310","SRR5936130","ERR209375","SRR5935772","SRR5935929","SRR5983412","SRR5935915","SRR5947072","SRR5946628","ERR209731","ERR209700","SRR5936186","ERR209380","ERR209470","SRR5935894","SRR5947053","SRR5935773","SRR5946666","SRR5946954","ERR209854","SRR5946881","SRR5936207","SRR5946716","SRR5936128","ERR209088","SRR5983386","SRR5983372","SRR5936100","SRR5983265","SRR5935769","SRR5936038","SRR5935778","ERR209812","SRR5946846","SRR5936025","SRR5935793","SRR5947104","ERR209378","SRR5935764","SRR5946861","SRR5936043","ERR209225","ERR209083","SRR5946779","SRR5935760","SRR5936112","SRR5935984","SRR5947834","SRR5936037","ERR209674","SRR5936014","ERR209679","ERR210549","SRR5935823","SRR5983331","SRR5946774","SRR5935931","ERR210594","SRR5983480","SRR5935780","SRR5983470","SRR5935765","SRR5935891","SRR5936222","ERR209740","SRR5946857","SRR5946920","SRR5935995","SRR5936160","SRR5946652","SRR5946894","ERR209810","SRR5983472","ERR210092","SRR5936168","ERR210563","SRR5983379","SRR5947042","ERR209371","SRR5983357","ERR209441","SRR5935794","SRR5936143","SRR5947056","SRR5983428","SRR5946780","SRR5946675","ERR210519","ERR209312","ERR209431","SRR5947085","SRR5936105","SRR5946915","ERR209487","SRR5935827","SRR5946909","SRR5946701","SRR5946828","SRR5946966","SRR5947036","ERR209084","SRR5947813","SRR5946952","SRR5946659","SRR5946921","SRR5935802","SRR5936199","SRR5946937","ERR209891","SRR5946788","SRR5983272","ERR209813","SRR5946749","SRR5946911","ERR209118","SRR5946731","SRR5946874","SRR5935892","SRR5936159","SRR5936016","SRR5983446","SRR5946968","SRR5946943","SRR5983405","SRR5936146","ERR210202","SRR5946808","SRR5947836","SRR5936190","SRR5946735","SRR5947024","SRR5946821","ERR209720","SRR5935810","SRR5946748","SRR5946712","SRR5946760","SRR5935966","SRR5946627","SRR5946822","ERR209298","SRR5946670","SRR5946777","SRR5946987","SRR5946996","ERR209722","SRR5983462","ERR209782","SRR5936231","SRR5946681","SRR5946988","SRR5946772","ERR209692","SRR5947821","SRR5947031","SRR5936020","ERR210592","ERR209448","SRR5983400","SRR5935795","SRR5946754","SRR5936173","SRR5936062","SRR5983450","SRR5935875","SRR5946895","SRR5946834","SRR5936065","SRR5946684","ERR209247","SRR5936156","SRR5946609","ERR209296","SRR5983393","ERR209936","SRR5935820","SRR5935831","SRR5946989","SRR5935767","SRR5935774","SRR5947081","ERR209246","ERR209376","SRR5983346","SRR5983469","ERR209299","SRR5936097","SRR5935798","ERR210695","SRR5946993","ERR209379","SRR5946650","SRR5983401","SRR5946711","SRR5946870","SRR5935900","SRR5947025","ERR210366","SRR5946672","SRR5946632","SRR5946925","ERR210523","SRR5936096","SRR5983335","SRR5947022","SRR5935912","SRR5946640","SRR5947001","ERR209707","SRR5947044","SRR5936138","SRR5947094","ERR209521","ERR209711","SRR5946942","SRR5983360","SRR5947004","SRR5936041","SRR5936219","SRR5935903","SRR5935770"
"Butyrivibrio_crossotus",0,0,0,0,0,0,3.95108,7.95679,0,0,0,0.01857,0,0,0,0,0,0,0,0,0,1.67556,2.3736,0,1.79781,0,0,0.95048,0,0,0,0,0,0,0,0,0,0,0,0,6.69211,0,0,0,0.13714,0,0,0.01315,0,0,0,0,0,0.86351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31026,0,0,0,0,0,0,0,0,0,0,0,11.01123,0,2.20617,6.65184,0,0,0,1.28924,0,0,0,0,0,0,0,0,0,0,3.37446,0,0,0,0,0,5.52452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30503,0,0,0,0,0,0.09571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53589,0,0,0,0,0,0,0,0,18.08324,0,0,0,0.36151,0,0,0,0,0,0,0,0,0,0,0,0,1.4387,0,0,0,0,0,0,0,0,0,1.90634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08497,0,0,5.15539,0,0,0,0,0,0,0,0,7.89008,0,0,0,0,0,0,0,0,0,6.51194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71474,0,0,0,6.77365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.45618,0,0,0,0,0,0,0,0
"GGB3614_SGB4886",0.06098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47098,0,0,0.00988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0.13004,0,0.03014,0,0.11789,0,0,0.37954,0,0.05602,0,0,0,0.00129,0.09447,0,0,0,0,0,0,0,0,0,0,0,0.01361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06257,0,0,0,0,0,0,0,0,0,0,0.01828,0,0,0,0,0,0.22837,0,0.54874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05489,1.0435,0,0,0,0.36236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39227,0.23972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23982,0,0,0,0,0,0,0,3.27454,0,0,0,0,0,0,0,0,0,0,0,0,0.00034,0,0,0.19229,0.02524,0,0,0,0,0,0,0,0,0,0,0.1682,0,0,0,0,0,0,0,0,0.00587,0,0,0,0.66285,0,0,0,0,0,0,0,0,0.87572,0,0,0,0,0,0,0,0,0.04765,0,0,0,0,0,0,0,0
"GGB1630_SGB2238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraprevotella_clara",0,0,0,4.30455,0,0.8315,0.38796,0,0,0,0,0,0,0,0.93507,0,0,0.21118,0,0.08143,0.13576,0,0.43024,0.64579,0.12235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85592,0,1.20614,0,0,0,3.4498,0.21722,0,1.27906,0.9311,0,0,0,0,0,0,0,0.03171,0,0,0,0,0,0,0,0,0,0,0.07294,0,0,0,0,0,0,0,0,1.07304,0,0,0,16.92853,0,0,0,0,0.76228,0,0,0,0.28824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21129,0,0,0,0,0,0.04634,0,0,0,0,0,0,15.49931,0,0,0,0,0,0.90741,0,0.92628,0,0,0,0,0,0,0,0,0.65945,0,0,0,0.00044,0,0,0,0,0,0,0.74099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47022,0,0,0,0,0,0.81491,0,0,0,0,0,0,0,0,0,0,0.42365,0,0,0.87108,0.00988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09608,0,0.85977,0,0,0.1269,0,0,0,0,1.58032,0,3.48134,0,0,0,0,0.10128,0,0,0,0,0,0,0,0.35622,0,0.59894,0,0,0,0,0,0,0,0.10629,0,0,0,1.11683,3.47173,0,1.07124,0,0,1.7,0,0,0,0,0,0.98653,0,0,0,1.53656,1.72698,1.78342,3.06923,0,0,0,5.70634,0,1.15681,0,0,0,0,0,0,0,0,0,0,0,0.63932,0,0.95652,7.85445,0,0,0.70353,0,0.06149,0,0,0,0,0,0
"Ruminococcus_bromii",0,0,0,0,5.04811,3.11527,0,0.34914,0,0,0,0.09416,0.58629,0.30687,0,0,0,0,0,0,0.73613,4.92708,0,0,0.23675,0,0,0.07231,0,0,0.82899,0,0,0.28521,0.23019,0,0,0,0,0,1.4893,0,0.10938,0.05373,0.17058,0,0,17.09263,0,0.42369,0,0.1964,0,0.13935,1.7922,0,0,0,0.19148,0,3.70704,0.84779,1.52378,0,0.64279,0,0,1.85639,0,0,0,0,0,0,0,0.05026,0,18.36697,0,0,2.31813,0.16054,0,0,0,0.18197,3.97941,0,0.667,0.33114,0.24273,0,2.76973,0.56802,4.12218,3.98024,0,0,0,0.07448,0,0,0,0,0.03559,0,0,0,0,0,1.57581,2.04838,0,0,0,0,2.28152,0,0,0,0.48611,0.71952,0,0.01062,2.73986,1.62784,0,0.05442,0.43263,0.04746,0.49918,0.44477,0.53651,2.37729,0.60002,0,0,0.10302,12.0243,0,0.82487,4.16778,0.58757,0.11166,0,0,0.01001,0,0,0,0.04314,0,0.97747,0,0,0,0,5.68323,0,0.46428,0,2.09091,0,0.45532,0.02419,2.8579,0,0,0,0,3.7431,0,0,0,4.54904,0,0,0,0,3.42251,3.78364,0,0,0.69863,0,0,0.09124,0,0,0,0.16123,0,1.00696,0,1.39227,0,0.09019,0,0,3.46555,0.15945,0.72891,0,2.73642,0,2.74119,1.30414,0,0,0,0,0,0,0,0,4.22979,0,7.15135,0,0,0,0,0,0,0,0.25684,0,0,0.59114,2.26457,0,0,2.43575,0.15571,0.12196,0,0,0.63036,0,1.31296,0,0.87134,0,0.59807,0,0,0.26276,0,0,1.42728,0,0.01984,0,0,0,0,0,0,0,0.78213,0.47734,0,0,0,1.87594,0,0,0,0,0,0,0,0.21777,0.01253,4.35385,0,0.15531,2.43387,0.05474,0,5.38427,0,0.04225,0,0,0.5102,0,0,0,0,0,0,0,9.07617,0,0,0.02379,0.43257,0,0,0,0,0,0,0,0,6.56069,0.01775,4.07806,0,0,0,0.34247
"GGB1380_SGB1883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.29577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_vulgatus",0.00794,0.9399,0,21.6548,23.24705,9.18814,6.98613,5.52763,15.32925,0,25.20186,46.31896,0.02788,0,3.68602,0,0,25.97147,2.40795,5.61472,7.69259,4.18272,8.21958,22.0144,2.94334,0.03434,0.20332,3.27026,0.30051,0,0.01547,0.30862,41.02949,28.09314,0.4651,0.29075,3.55636,0.00177,0,21.84794,1.24771,12.86843,4.77951,25.88071,4.12016,4.94315,16.54827,1.5869,79.35329,5.61347,25.32779,5.97044,27.69178,5.68933,33.178,0.00788,0,9.01947,13.47976,0,9.81147,15.32683,23.30289,6.34644,0.02089,36.19183,8.79314,0,0,1.22923,7.98531,0,73.83907,0.01445,7.52023,3.39855,0,1.43537,1.18328,2.287,1.59252,0.0189,26.00562,71.16646,49.81191,14.68128,0,0.90596,0,2.31171,5.37424,2.52183,0.66967,0,3.1843,14.55098,50.19862,41.37046,7.90178,3.66557,9.45272,7.76648,24.68063,0.13652,2.10061,0.50689,0,1.2748,33.38117,22.28312,0,0.84567,0.00156,0,0,0.05434,0.03838,11.70605,28.59441,0,0.23675,16.66874,0,5.7718,12.94299,20.85934,20.84887,3.76696,0.04418,1.8937,0,12.54855,0,0.4777,3.277,15.45581,0.13713,10.51531,0.35611,4.08578,0.03141,0.56823,0.00867,0,14.41197,0.01333,32.20934,0,0.00399,47.37837,25.77128,33.53993,13.54438,12.87456,91.01265,0,14.35021,20.94219,12.78019,19.21852,0.00275,25.24929,12.35599,6.03899,5.07845,0,30.50222,37.78869,9.25227,0,2.73944,8.37835,3.50899,0,0.49732,0,0.81297,9.03277,20.36709,1.87863,0.40314,0,63.14342,2.61309,52.43807,3.96689,22.70301,41.43686,0,9.51421,1.97118,51.15579,2.83438,31.69697,0.02621,4.3457,5.15576,23.00065,0,27.22701,0.76988,3.85866,20.00117,14.91632,0.09515,5.5279,4.61465,14.41905,43.35715,1.74028,29.23119,13.38484,0.83101,0,0.00148,15.06187,0.00412,24.54136,0.01809,1.23589,1.22031,0,8.91033,0,8.35225,3.36565,20.79924,8.66326,6.48716,12.90446,0.03097,26.48135,3.31348,0.0277,7.5333,13.00784,4.31472,2.19582,22.44748,2.0629,4.03479,32.84114,42.5166,13.17713,9.53343,7.13633,0.00966,4.72648,13.71073,1.71215,45.20189,52.77456,0.14421,28.51611,0,27.55432,15.23164,0.41128,24.02015,0,7.52031,1.2068,24.44423,26.69133,3.03663,30.31458,0.56745,11.97009,0,6.65468,0.84607,2.72095,0.01081,1.44533,3.48633,37.85141,29.91177,3.29193,5.20158,18.85775,5.23587,7.77546,2.45334,0,17.91471,2.52143,13.21353,36.35384,31.15422,1.20944,50.13226,15.39592,29.45264,0,0,6.03291,0.02447,6.71217,16.63215,50.74373,24.06307,8.63224,0.02269,0,1.05601,36.68857,7.53297,5.92953,0,30.89976,42.9528,2.645,0
"GGB1146_SGB1472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85031,1.80612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74563,0,0,0,0,0,0,0,0
"Phocaeicola_dorei",48.12682,1.26448,34.72857,0.2936,11.37759,1.83112,0,0.8538,0,0,0,0.51211,22.22725,0,0,0,0,0,4.88309,0,0,5.20753,0,0,0.32327,29.99631,18.44471,3.70248,12.97506,19.66508,12.97769,0,11.31035,0,0,19.23061,0,27.14802,0,0.00047,1.2046,0,0.17432,0,1.49502,0.30468,0.00027,0.09753,0.00061,3.29202,0.08238,11.01387,0.00183,0.68701,0,0,20.57438,0,0,51.65929,0,0,0.00613,0,11.78814,0,0,7.06854,0,0,2.27607,0,0.00306,60.17937,0,2.06916,44.43075,0,7.73831,1.70306,0.33726,14.49928,0,0,0,0,10.59819,0.83687,0,1.62811,1.00651,0.05279,1.76158,0,3.31424,2.02199,0.00239,0.0138,0,8.46232,0.01503,0,0,0,0.21267,0.0246,0,0,0.00145,0.00153,0,3.17862,12.13719,0,11.53657,0,1.61283,8.66755,0.00696,0,7.44563,0.08319,0,13.39438,1.69313,0,0.00061,1.16615,17.51002,0.19898,0,10.46764,0,0,0,0,0,0,0,0.38517,14.87308,0.01707,20.66122,0.34322,2.37556,22.04332,0.90668,0,30.42138,0.81047,0.13834,0.00093,0,0,0.00031,0,0.08306,0,0,0,0,0,0,3.32228,0.08673,2.17845,0,0,0.00246,0,3.55953,0,0,0,0,0,23.39683,0.00073,0,0.34503,2.06556,14.62213,0,0,0.005,2.16891,0.00086,0,56.28786,0,0,0,0,1.02774,26.88882,0,1.01447,0,0,0.01429,0.40278,0,0,1.86384,19.92784,0,5.50094,0.00091,0,0,0,0,15.89777,0,23.91738,0,0,12.1096,38.76275,0.00191,1.75682,0,0.00052,0,0.02982,1.13239,0.01222,0,1.92602,0.03007,15.19239,0,1.89809,41.50216,0.33739,0,0,0.8174,0.00031,0.04075,0,2.64975,0,0,0.44528,0,14.06401,0,0,0.01953,0.00103,0.00245,20.75466,0,0,0.00086,0,0,0.00149,0,1.61308,8.00818,0,0,1.72663,0,0,0,0,0,1.09451,0,8.12676,9.2591,3.77662,0.00293,0.00234,1.9545,0,0,0.53499,0,0.19422,0,0.38008,5.37012,0,0,0.00651,7.48429,0.0018,1.42166,0.00175,10.58441,0,0,37.7554,0,0,0,0.08049,0,0,0,0.83643,0.00027,0.98766,0.16314,0,0,0.0016,0.38421,0
"GGB6608_SGB9342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38503,0,0,0,0,0,0,0,0,0.00716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54875,0,0,0,0,0,0,0,0,0,0,0,3.67958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04643,0,0,0,0,0,0,0,1.81506,0,0,0,0,0,0,0,0,0.91373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
