"","SRR5946876","ERR210545","SRR5946645","ERR209072","ERR210091","SRR5935784","ERR209671","ERR210263","SRR5983317","SRR5946831","SRR5983279","SRR5947052","SRR5983355","SRR5935743","ERR209439","SRR5935905","SRR5936141","ERR209160","SRR5946864","SRR5983264","SRR5936196","SRR5946686","SRR5946947","SRR5936188","SRR5946620","SRR5946853","SRR5935777","ERR209748","ERR209432","ERR210255","SRR5946981","SRR5946625","SRR5946933","SRR5983294","SRR5946755","SRR5936099","SRR5935825","SRR5947027","SRR5935797","SRR5936098","SRR5983479","SRR5946873","SRR5983434","SRR5947028","SRR5935832","ERR209701","ERR209266","SRR5947079","SRR5946682","ERR210283","ERR209749","SRR5947070","SRR5946912","SRR5983315","SRR5946758","SRR5947879","SRR5947008","SRR5935899","ERR209164","SRR5946971","SRR5983297","SRR5936218","SRR5946935","SRR5983384","SRR5983475","ERR209162","SRR5947101","SRR5946851","SRR5947838","ERR209226","SRR5946677","SRR5935817","ERR209732","SRR5946923","SRR5983377","ERR209287"
"Butyrivibrio_crossotus",1.02703,0,0,5.85681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63022,0,0,0,0,0,0,0,0,0,0.25148,0,0,0,0,0,0
"GGB3614_SGB4886",0,0,0,3.29683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08115,0,0,0,0,0,0,0,0,0,0,0.00186,0,0,0,0,0,0,0,0,0,0.98797,0,0,0,0.0611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04769,0,0,0,0.18647,0,0,0,0
"GGB1630_SGB2238",0,0,0,3.77706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraprevotella_clara",0,0,0,1.78371,0,0,0,0,4.11794,0,0,0,0,0,0,0,0,8.96781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80997,0,0,0,0,0,0,0,0,0,12.44297,0,0,0,0,0,0,0,0,0,0,0,0,0.02487,0,0,0,0,0,0,0,0,8.58727,0,0,0,0,0,0.31497,0
"Ruminococcus_bromii",0.28537,0,0,1.32921,1.62609,1.80032,6.64522,0,0,0.62003,0,0.78181,0,0,0,0,0,0.804,0,0,0.5328,0,0,0,0,0,0,1.07743,0,7.00865,5.91109,2.92575,0,0,0,0,0.15212,0.8004,0.13834,0,0,0,0,7.84149,0,0,1.2086,0,16.15155,0,1.16851,0,0,0,0,2.49298,0,0,0,0,0,0,0,0.16907,0,1.17968,0,0.56928,0,2.88348,0,0.16606,0,0.0551,0.38343,0.65993
"GGB1380_SGB1883",0,0,0,1.56756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_vulgatus",3.99993,10.21208,5.8415,1.27443,0,13.75135,0,0,0.06958,0.00885,29.51072,0.00369,52.74391,0,4.23919,0,20.43063,1.6364,0,32.13857,0,0,19.73933,47.73269,40.13355,0,0,0.8145,0,0,2.25946,0.01005,32.82857,56.0162,2.57636,5.67372,5.23617,0.02994,0.13135,0,2.43306,0,19.33346,0.47041,0,25.16117,14.99709,0,1.83247,0,0.94264,21.4139,0,0.00092,3.987,20.81386,0,0,9.44308,2.29266,40.72228,54.44335,0,21.21556,40.43975,3.1123,32.24901,24.54049,12.23191,1.288,0,18.98683,8.12859,5.19497,25.85554,3.8061
"GGB1146_SGB1472",0,0,0,2.2261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_dorei",1.60345,0.3361,0,1.09715,6.71515,0,11.02304,4.63921,21.08688,8.38561,0.00148,10.02545,0,0,0.00095,0,0,0.28458,0,7.35312,0,0,0.02816,0,0.00068,0,0,0,11.73147,3.53761,0,13.15014,24.05451,0.01049,0,0,0.24111,14.3411,12.40114,58.12582,0.05929,17.79267,3.56629,0,0,0,0,0,0,15.26622,2e-04,0.001,0,44.51817,0,1.05694,0,0,0,0,0.77392,0.00138,0,1.99338,0.00728,0.65193,0,0,0,0,0,0,0,9.75278,0.07435,0.3279
"GGB6608_SGB9342",0,0,0,1.39933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
