"from","to","weight"
"Bacteroides_vulgatus","Bacteroides_uniformis",1
"Bacteroides_vulgatus","Bacteroides_stercoris",1
"Bacteroides_vulgatus","Bacteroides_dorei",1
"Bacteroides_vulgatus","Bacteroides_caccae",1
"Bacteroides_vulgatus","Parabacteroides_distasonis",1
"Bacteroides_vulgatus","Coprococcus_catus",1
"Bacteroides_vulgatus","Bacteroides_xylanisolvens",1
"Bacteroides_vulgatus","Bacteroides_faecis",1
"Roseburia_faecis","Faecalibacterium_prausnitzii",1
"Roseburia_faecis","Lachnospira_pectinoschiza",1
"Roseburia_faecis","Eubacterium_hallii",1
"Roseburia_faecis","Roseburia_sp_CAG_303",1
"Roseburia_faecis","Mogibacterium_diversum",1
"Roseburia_faecis","Parabacteroides_sp_426_9",1
"Ruminococcus_gnavus","Blautia_wexlerae",1
"Ruminococcus_gnavus","Faecalibacterium_prausnitzii",1
"Ruminococcus_gnavus","Blautia_sp_CAG_257",1
"Ruminococcus_gnavus","Erysipelatoclostridium_ramosum",1
"Ruminococcus_gnavus","Prevotella_copri",1
"Ruminococcus_gnavus","Hungatella_hathewayi",1
"Ruminococcus_gnavus","Clostridium_leptum",1
"Ruminococcus_gnavus","Clostridium_bolteae",1
"Ruminococcus_gnavus","Veillonella_parvula",1
"Ruminococcus_gnavus","Tyzzerella_nexilis",1
"Ruminococcus_gnavus","Lactobacillus_rhamnosus",1
"Ruminococcus_gnavus","Clostridioides_difficile",1
"Ruminococcus_gnavus","Blautia_producta",1
"Ruminococcus_gnavus","Blautia_hansenii",1
"Ruminococcus_gnavus","Veillonella_seminalis",1
"Roseburia_intestinalis","Faecalibacterium_prausnitzii",1
"Roseburia_intestinalis","Roseburia_inulinivorans",1
"Blautia_wexlerae","Blautia_sp_CAG_257",1
"Blautia_wexlerae","Erysipelatoclostridium_ramosum",1
"Blautia_wexlerae","Eggerthella_lenta",1
"Blautia_wexlerae","Anaerostipes_hadrus",1
"Blautia_wexlerae","Holdemania_filiformis",1
"Blautia_wexlerae","Absiella_dolichum",1
"Blautia_wexlerae","Eisenbergiella_massiliensis",1
"Blautia_wexlerae","Blautia_hansenii",1
"Blautia_wexlerae","Anaerostipes_caccae",1
"Blautia_wexlerae","Candidatus_Stoquefichus_sp_KLE1796",1
"Eubacterium_eligens","Faecalibacterium_prausnitzii",1
"Eubacterium_eligens","Actinomyces_sp_HMSC035G02",1
"Eubacterium_eligens","Lactonifactor_longoviformis",1
"Eubacterium_eligens","Eubacterium_limosum",1
"Bacteroides_thetaiotaomicron","Flavonifractor_plautii",1
"Bacteroides_thetaiotaomicron","Bacteroides_uniformis",1
"Bacteroides_thetaiotaomicron","Parabacteroides_distasonis",1
"Bacteroides_thetaiotaomicron","Bacteroides_fragilis",1
"Bacteroides_thetaiotaomicron","Bilophila_wadsworthia",1
"Bacteroides_thetaiotaomicron","Clostridium_citroniae",1
"Bacteroides_thetaiotaomicron","Bacteroides_faecis",1
"Bacteroides_thetaiotaomicron","Phascolarctobacterium_faecium",1
"Bacteroides_thetaiotaomicron","Clostridium_bolteae",1
"Bacteroides_thetaiotaomicron","Clostridium_asparagiforme",1
"Bacteroides_thetaiotaomicron","Fusobacterium_varium",1
"Faecalibacterium_prausnitzii","Coprococcus_comes",1
"Faecalibacterium_prausnitzii","Flavonifractor_plautii",1
"Faecalibacterium_prausnitzii","Escherichia_coli",1
"Faecalibacterium_prausnitzii","Fusicatenibacter_saccharivorans",1
"Faecalibacterium_prausnitzii","Parabacteroides_distasonis",1
"Faecalibacterium_prausnitzii","Gemmiger_formicilis",1
"Faecalibacterium_prausnitzii","Eubacterium_rectale",1
"Faecalibacterium_prausnitzii","Agathobaculum_butyriciproducens",1
"Faecalibacterium_prausnitzii","Ruminococcus_bicirculans",1
"Faecalibacterium_prausnitzii","Pyramidobacter_sp_C12_8",1
"Faecalibacterium_prausnitzii","Mogibacterium_diversum",1
"Faecalibacterium_prausnitzii","Catabacter_hongkongensis",1
"Faecalibacterium_prausnitzii","Lactonifactor_longoviformis",1
"Faecalibacterium_prausnitzii","Scardovia_wiggsiae",1
"Faecalibacterium_prausnitzii","Eubacterium_sp_An11",1
"Faecalibacterium_prausnitzii","Leuconostoc_gelidum",1
"Coprococcus_comes","Streptococcus_thermophilus",1
"Coprococcus_comes","Collinsella_aerofaciens",1
"Coprococcus_comes","Dorea_longicatena",1
"Coprococcus_comes","Gemmiger_formicilis",1
"Coprococcus_comes","Blautia_obeum",1
"Coprococcus_comes","Agathobaculum_butyriciproducens",1
"Coprococcus_comes","Eubacterium_ventriosum",1
"Coprococcus_comes","Coprococcus_catus",1
"Coprococcus_comes","Eubacterium_ramulus",1
"Coprococcus_comes","Bifidobacterium_adolescentis",1
"Coprococcus_comes","Eubacterium_limosum",1
"Ruminococcaceae_bacterium_D16","Actinomyces_oris",1
"Ruminococcaceae_bacterium_D16","Lactobacillus_iners",1
"Ruminococcaceae_bacterium_D16","Leuconostoc_mesenteroides",1
"Ruminococcaceae_bacterium_D16","Raoultella_planticola",1
"Ruminococcaceae_bacterium_D16","Anaerostipes_caccae",1
"Streptococcus_thermophilus","Dorea_longicatena",1
"Streptococcus_thermophilus","Blautia_obeum",1
"Streptococcus_thermophilus","Eubacterium_hallii",1
"Streptococcus_thermophilus","Lactobacillus_salivarius",1
"Streptococcus_thermophilus","Lactobacillus_delbrueckii",1
"Streptococcus_thermophilus","Streptococcus_vestibularis",1
"Streptococcus_thermophilus","Lactobacillus_rhamnosus",1
"Blautia_sp_CAG_257","Clostridium_spiroforme",1
"Blautia_sp_CAG_257","Dorea_sp_CAG_317",1
"Blautia_sp_CAG_257","Eubacterium_dolichum_CAG_375",1
"Blautia_sp_CAG_257","Firmicutes_bacterium_CAG_424",1
"Flavonifractor_plautii","Clostridium_saccharolyticum",1
"Flavonifractor_plautii","Ruthenibacterium_lactatiformans",1
"Flavonifractor_plautii","Oscillibacter_sp_57_20",1
"Flavonifractor_plautii","Coprococcus_eutactus",1
"Flavonifractor_plautii","Bacteroides_ovatus",1
"Flavonifractor_plautii","Bacteroides_fragilis",1
"Flavonifractor_plautii","Bilophila_wadsworthia",1
"Flavonifractor_plautii","Anaerotruncus_colihominis",1
