Sample	2-Aminoethylphosphonate-Degradation	Activation-Inactivation-Interconversion	All-Trans-Farnesyl-PP-Biosynthesis	Biosynthesis	Citrulline-Biosynthesis	Degradation	Detoxification	Energy-Metabolism	Fermentation	Macromolecule-Modification	Metabolic-Clusters	Photosynthesis	Respiration	Super-Pathways
ERR209069	4.0	141.33333333333331	11.0	10928.842546583848	6.5	3396.737301587302	46.33333333333333	353.2527777777778	379.36212121212117	2.0	34.888888888888886	56.0	80.0	36.42857142857143
ERR209070	3.0	163.66666666666666	10.0	12685.004767454771	8.75	4014.003968253968	55.83333333333333	421.5075036075036	398.54772727272723	2.0	46.72222222222222	51.47142857142857	98.0	39.75
ERR209071	6.5	181.33333333333331	13.0	13867.514957264963	9.5	4204.229004329004	58.166666666666664	470.57178932178925	418.2102272727273	2.0	47.72222222222222	55.82857142857143	104.77777777777777	44.375
ERR209072	6.0	181.66666666666666	11.0	13668.902403152406	9.25	4338.415476190477	54.0	519.0274891774892	438.3568181818182	2.0	52.72222222222222	68.5	102.66666666666666	52.166666666666664
ERR209082	8.0	70.33333333333334	2.5	6016.524033774036	3.75	1726.7039682539687	22.0	166.90952380952382	170.82878787878786	1.0	22.88888888888889	19.416666666666668	42.58333333333333	19.083333333333332
ERR209083	10.5	94.33333333333334	5.0	7964.322752247752	4.25	2243.2519841269846	31.5	253.74206349206352	209.2073593073593	2.0	27.88888888888889	27.7	46.5	25.19047619047619
ERR209084	5.0	77.66666666666666	6.0	6595.384645909646	2.75	1751.7670274170277	28.0	209.16803751803752	204.78636363636366	0.0	21.555555555555557	15.95	38.44444444444444	17.035714285714285
ERR209085	5.0	67.0	5.5	5326.672239475502	3.5	1912.5396825396822	12.5	192.1706349206349	163.3677489177489	0.0	21.11111111111111	18.014285714285716	27.0	15.75
ERR209088	6.5	190.66666666666669	13.0	15122.503282104371	10.75	4864.925577200579	40.0	594.8873737373737	458.86888528138525	1.0	53.388888888888886	60.9	89.66666666666666	33.75
ERR209096	3.0	45.99999999999999	2.5	4232.7033047362	2.8	1556.805555555556	34.0	159.80079365079365	138.87083333333334	1.0	23.666666666666664	13.0	47.9	15.75
ERR209118	8.0	169.66666666666669	9.0	13573.815553787463	9.75	4760.804942279943	92.66666666666667	508.1444444444445	431.1018422753717	2.0	60.44444444444444	44.916666666666664	105.63333333333334	33.5
ERR209160	9.0	89.66666666666666	5.0	7801.280921855921	0.0	2448.2949938949937	34.5	286.9719696969696	241.17121212121214	0.0	34.72222222222222	39.2	56.333333333333336	21.0
ERR209162	3.5	34.666666666666664	2.0	2660.4199490821916	2.5	744.8031746031746	9.0	98.81843434343433	83.17307692307692	1.0	10.38888888888889	11.476190476190476	17.833333333333336	10.25
ERR209163	2.0	30.666666666666668	1.5	2835.3281746031744	1.5	804.6904761904763	9.5	83.37366522366523	64.01363636363635	1.0	7.0	10.761904761904763	13.166666666666668	8.714285714285715
ERR209164	2.0	96.33333333333333	6.5	6847.2103952499065	4.75	2261.2785714285715	23.833333333333332	249.84646464646463	190.04924242424244	2.0	21.77777777777778	28.357142857142858	51.66666666666667	20.107142857142858
ERR209175	5.5	81.00000000000001	2.5	5620.0336940836905	0.0	2104.6673049173037	22.0	203.61540404040403	168.12554112554113	0.0	24.166666666666668	23.178571428571427	42.95833333333333	14.94047619047619
ERR209187	3.0	94.33333333333333	4.5	6162.86910866911	2.75	2185.926190476191	20.5	217.82409812409816	178.32965367965363	1.0	24.555555555555557	22.57142857142857	41.77777777777778	15.75
ERR209223	1.0	63.66666666666667	3.5	4743.461896436895	0.0	1502.1904761904761	13.5	152.81616161616162	183.958658008658	1.0	15.61111111111111	16.607142857142854	36.11111111111111	12.0
ERR209225	5.166666666666667	104.33333333333334	6.0	8462.541349206345	0.0	2421.516919191919	30.75	335.68272005772	249.91449041154922	0.0	36.888888888888886	32.45833333333333	46.5	22.375
ERR209226	3.0	29.333333333333336	2.5	2688.1591418187204	0.0	621.798076923077	5.0	72.08888888888889	77.89999999999999	0.0	10.333333333333332	5.5	15.8	6.65
