SampleID,T2,Prediction T2,Q,Prediction Q,Combined Index,Combined Prediction
SRR5935802,23.68830977905739,Healthy,30.791297995311908,Unhealthy,4.517940065839616,Unhealthy
SRR5947102,9.473857992468806,Healthy,27.164097764895722,Unhealthy,3.682323129209894,Unhealthy
SRR5946673,24.417740301949586,Healthy,43.955167889996716,Unhealthy,6.199853562498277,Unhealthy
ERR209749,21.056312409558455,Healthy,27.08976127495784,Unhealthy,3.980549361810841,Unhealthy
SRR5935984,22.78604332641494,Healthy,16.606740120962026,Unhealthy,2.702527724803689,Unhealthy
SRR5946630,33.65989317538882,Healthy,28.799353649442022,Unhealthy,4.531197984496679,Unhealthy
ERR210591,21.63168272216607,Healthy,14.799242045126533,Unhealthy,2.443590118566217,Unhealthy
ERR209748,20.55670961524125,Healthy,27.194293624205788,Unhealthy,3.980482565949866,Unhealthy
ERR209746,42.88815376080312,Unhealthy,32.21787970428011,Unhealthy,5.208033640300432,Unhealthy
SRR5946772,25.877356749040473,Healthy,28.714318190524818,Unhealthy,4.31376453041854,Unhealthy
SRR5947017,22.169546590401282,Healthy,23.54575116334574,Unhealthy,3.5625219772946237,Unhealthy
ERR210092,28.036572010523702,Healthy,11.400228925596629,Unhealthy,2.184414573269057,Unhealthy
SRR5936223,28.283733813241675,Healthy,16.955378658882466,Unhealthy,2.8925706514954497,Unhealthy
SRR5935968,22.208566151656232,Healthy,12.746119675261166,Unhealthy,2.199610752019142,Unhealthy
SRR5936041,22.859653246004196,Healthy,11.773069965802948,Unhealthy,2.0940107204675105,Unhealthy
SRR5947832,20.91577904107139,Healthy,21.272462762589477,Unhealthy,3.242116917215519,Unhealthy
SRR5946834,24.30209758688076,Healthy,20.41091572065208,Unhealthy,3.2232433151229607,Unhealthy
SRR5946952,24.85099448103434,Healthy,25.29771787287991,Unhealthy,3.855003619431894,Unhealthy
SRR5983277,12.781692467606089,Healthy,11.499040239465845,Unhealthy,1.7917446701610538,Unhealthy
ERR209162,24.132766229066217,Healthy,8.501613630207133,Unhealthy,1.7146518876349397,Healthy
SRR5983459,20.110825006527428,Healthy,42.43034797571406,Unhealthy,5.892889338008585,Unhealthy
ERR209740,41.00213685817886,Unhealthy,34.29575217031365,Unhealthy,5.420369991398598,Unhealthy
ERR210283,17.7798761806099,Healthy,14.621022212297811,Unhealthy,2.318782842543771,Unhealthy
SRR5947838,37.15789961811817,Healthy,26.72746378958597,Unhealthy,4.362429513605411,Unhealthy
ERR210523,17.278905342889434,Healthy,22.95292067572508,Unhealthy,3.357761067768053,Unhealthy
SRR5983376,24.724364141034016,Healthy,10.611668085290008,Unhealthy,1.9968548478773063,Unhealthy
SRR5947081,20.55706115669941,Healthy,22.556714645118692,Unhealthy,3.394785398018832,Unhealthy
SRR5983422,23.929325828991363,Healthy,30.990050537951344,Unhealthy,4.549442733177712,Unhealthy
SRR5983333,11.156625046373575,Healthy,14.86511671760706,Unhealthy,2.1737061819323986,Unhealthy
SRR5946762,18.012839247830048,Healthy,22.367074065709314,Unhealthy,3.303263442470602,Unhealthy
SRR5936132,14.30860005716552,Healthy,26.12636185346538,Unhealthy,3.679665828193931,Unhealthy
ERR210592,19.825577113767167,Healthy,15.634037544688194,Unhealthy,2.5010534727123477,Unhealthy
SRR5935975,22.766135850888414,Healthy,13.920795732252358,Unhealthy,2.3627756539853726,Unhealthy
SRR5946689,20.349923359969285,Healthy,18.150474809351962,Unhealthy,2.8327947387437327,Unhealthy
SRR5983355,27.805550846774302,Healthy,21.930588293039005,Unhealthy,3.508218567043225,Unhealthy
SRR5946799,24.724609690118534,Healthy,16.864575179375336,Unhealthy,2.7865769457089726,Unhealthy
SRR5935827,13.916636732786538,Healthy,15.04554137771282,Unhealthy,2.269795296121769,Unhealthy
SRR5935996,20.35134581361583,Healthy,18.078980339822426,Unhealthy,2.8238030697430774,Unhealthy
SRR5947104,18.091195814849037,Healthy,23.703075584294243,Unhealthy,3.4740757995213625,Unhealthy
SRR5946853,31.82775879666811,Healthy,10.413921856227363,Unhealthy,2.1605370732917613,Unhealthy
SRR5935743,31.102065524866255,Healthy,17.578474596217834,Unhealthy,3.0461161680591573,Unhealthy
SRR5935923,34.55469045200494,Healthy,29.207482835140627,Unhealthy,4.606507593082815,Unhealthy
SRR5946846,29.17150006042723,Healthy,47.798259548159336,Unhealthy,6.811473245928173,Unhealthy
ERR210578,23.12598427707714,Healthy,16.72396829329845,Unhealthy,2.7263615248973525,Unhealthy
SRR5936092,38.65818490338079,Unhealthy,27.280547428455627,Unhealthy,4.472127211034736,Unhealthy
ERR209404,17.39398449072532,Healthy,29.387053952640997,Unhealthy,4.173421089809085,Unhealthy
SRR5946924,25.53242268538911,Healthy,23.518857901901825,Unhealthy,3.6484389980533054,Unhealthy
SRR5946863,15.617583453856899,Healthy,11.147856500414054,Unhealthy,1.8227091576110412,Unhealthy
SRR5947843,23.962156710655847,Healthy,24.08136441561144,Unhealthy,3.6777769987818982,Unhealthy
SRR5947045,13.983119206906368,Healthy,15.447547915269942,Unhealthy,2.3223326986050226,Unhealthy
SRR5946645,14.368152008891913,Healthy,20.862896288232818,Unhealthy,3.0164941302436947,Unhealthy
ERR209711,36.62269173925671,Healthy,28.88508480180446,Unhealthy,4.620713461621927,Unhealthy
ERR209707,38.76871371377925,Unhealthy,35.46640582896587,Unhealthy,5.508901816298331,Unhealthy
SRR5983315,17.262865517932514,Healthy,26.855495357616753,Unhealthy,3.850213658480178,Unhealthy
SRR5935899,22.117976339357245,Healthy,34.336106113533354,Unhealthy,4.923928285619436,Unhealthy
SRR5983367,25.46765180746121,Healthy,11.488907812826433,Unhealthy,2.127387228932802,Unhealthy
SRR5936038,20.816257234001586,Healthy,23.768880715959682,Unhealthy,3.5547607219654798,Unhealthy
ERR209674,58.348206792410004,Unhealthy,28.91826117088478,Unhealthy,5.2019043380848595,Unhealthy
SRR5936160,19.28384568837718,Healthy,18.939952378469588,Unhealthy,2.904188790697405,Unhealthy
ERR209692,23.80981511373016,Healthy,23.519646853325877,Unhealthy,3.6027884686887974,Unhealthy
SRR5936207,21.947552267515828,Healthy,35.894313057661314,Unhealthy,5.116196959473468,Unhealthy
SRR5946625,21.938242838980372,Healthy,28.59623620708339,Unhealthy,4.194233641227227,Unhealthy
SRR5946895,15.99996747189966,Healthy,14.824799770447289,Unhealthy,2.2972470688875832,Unhealthy
SRR5983411,23.578321342315615,Healthy,22.078295852425992,Unhealthy,3.414603799125741,Unhealthy
SRR5946671,12.310489756090268,Healthy,29.023819895854878,Unhealthy,3.9925353005393007,Unhealthy
SRR5936130,32.98371976575871,Healthy,33.47191850479568,Unhealthy,5.103364788071224,Unhealthy
SRR5946925,27.162958753256436,Healthy,24.00348530735229,Unhealthy,3.7529502521979645,Unhealthy
SRR5946947,12.082981926225997,Healthy,19.416731970129764,Unhealthy,2.773158642336813,Unhealthy
SRR5936037,25.216807567320522,Healthy,20.662581561383224,Unhealthy,3.279321123560246,Unhealthy
ERR209434,17.899879680267944,Healthy,18.07507587539234,Unhealthy,2.758202265977088,Unhealthy
SRR5935931,15.761306851535563,Healthy,27.774679139639733,Unhealthy,3.9264232563865136,Unhealthy
SRR5983472,16.562097847502613,Healthy,13.70695789307264,Unhealthy,2.1709978298646178,Unhealthy
SRR5946681,24.383477025612223,Healthy,15.511962307550831,Unhealthy,2.606687661032004,Unhealthy
ERR209405,10.397313745001114,Healthy,29.869817173032597,Unhealthy,4.048569743790394,Unhealthy
SRR5947070,12.587837843057876,Healthy,14.793385032653307,Unhealthy,2.2026578872899796,Unhealthy
SRR5947049,20.827343956741046,Healthy,20.10698026689943,Unhealthy,3.092572715606272,Unhealthy
SRR5947019,34.98389457476991,Healthy,24.387620528129474,Unhealthy,4.009178571284872,Unhealthy
SRR5946969,20.18998305713591,Healthy,34.94982074659266,Unhealthy,4.950232891614345,Unhealthy
SRR5946774,29.07290390774642,Healthy,22.64848969840018,Unhealthy,3.632545676824926,Unhealthy
SRR5983405,41.30533955019774,Unhealthy,6.9244727778264945,Healthy,1.9715464576876223,Unhealthy
SRR5935936,24.581224563204678,Healthy,13.773285366652892,Unhealthy,2.3923520689913675,Unhealthy
SRR5983406,15.458163344176585,Healthy,16.671423771634565,Unhealthy,2.5160782292678183,Unhealthy
SRR5936159,14.987446574931043,Healthy,14.696795519639895,Unhealthy,2.254189465291903,Unhealthy
SRR5935893,31.404205772597887,Healthy,19.819469932447973,Unhealthy,3.337168793436545,Unhealthy
SRR5935772,27.853652540729666,Healthy,18.648566724303542,Unhealthy,3.0949907163905808,Unhealthy
SRR5935985,20.645347759002338,Healthy,8.868051549469348,Unhealthy,1.6683102331238993,Healthy
SRR5983418,17.75539969568033,Healthy,26.693241625131662,Unhealthy,3.8428027560169307,Unhealthy
SRR5946937,19.205586585233572,Healthy,26.944734281112368,Unhealthy,3.9130802478894795,Unhealthy
SRR5947056,28.505118355453988,Healthy,25.955693787862636,Unhealthy,4.0351518592929345,Unhealthy
SRR5946754,12.154915442295529,Healthy,15.07699259561818,Unhealthy,2.226978472172866,Unhealthy
SRR5983379,11.641382225217347,Healthy,26.257061223312547,Unhealthy,3.6253348375796675,Unhealthy
SRR5946857,24.546193468096902,Healthy,12.916100376060413,Unhealthy,2.2831628703512847,Unhealthy
SRR5935915,23.44235880116594,Healthy,9.266017241448603,Unhealthy,1.7928565083532984,Unhealthy
SRR5947869,24.866634671210313,Healthy,17.480983276880785,Unhealthy,2.868198662213886,Unhealthy
SRR5946826,28.71903400551762,Healthy,10.61958526561557,Unhealthy,2.103947883301905,Unhealthy
SRR5946737,12.81003027883931,Healthy,15.45011787442861,Unhealthy,2.291501588705962,Unhealthy
SRR5946748,12.816423258338215,Healthy,15.198897125795067,Unhealthy,2.2599432654841625,Unhealthy
SRR5983386,20.822502804205108,Healthy,13.106317242823799,Unhealthy,2.2082901704162614,Unhealthy
SRR5946672,13.847252838253118,Healthy,16.846201352438154,Unhealthy,2.495368249734912,Unhealthy
SRR5946825,27.83965533684172,Healthy,27.664002990171134,Unhealthy,4.2332302327374824,Unhealthy
SRR5936048,27.005376178180054,Healthy,22.161756676255216,Unhealthy,3.5161625737582507,Unhealthy
