"","SRR5946876","ERR210545","SRR5946645","ERR209072","ERR210091","SRR5935784","ERR209671","ERR210263","SRR5983317","SRR5946831","SRR5983279","SRR5947052","SRR5983355","SRR5935743","ERR209439","SRR5935905","SRR5936141","ERR209160","SRR5946864","SRR5983264","SRR5936196","SRR5946686","SRR5946947","SRR5936188","SRR5946620","SRR5946853","SRR5935777","ERR209748","ERR209432","ERR210255","SRR5946981","SRR5946625","SRR5946933","SRR5983294","SRR5946755","SRR5936099","SRR5935825","SRR5947027","SRR5935797","SRR5936098","SRR5983479","SRR5946873","SRR5983434","SRR5947028","SRR5935832","ERR209701","ERR209266","SRR5947079","SRR5946682","ERR210283","ERR209749","SRR5947070","SRR5946912","SRR5983315","SRR5946758","SRR5947879","SRR5947008","SRR5935899","ERR209164","SRR5946971","SRR5983297","SRR5936218","SRR5946935","SRR5983384","SRR5983475","ERR209162","SRR5947101","SRR5946851","SRR5947838","ERR209226","SRR5946677","SRR5935817","ERR209732","SRR5946923","SRR5983377","ERR209287","nodos","degrees","closeness","betweenness"
"Candidatus_Woodwardibium_SGB14954",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00363959854416058,0,0,0,0,0,0,0,0,0,0,0,0,0.0002721,0,0,0,0,0.0037025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_392",10,0.0188679245283019,104.211904761905
"GGB9782_SGB15403",3.25422597770231e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00366739853304059,0,0,0,0,0,0,0,0,0,0,0,0,0.0004003,0,0,0,0,0.0038537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_418",8,0.0185185185185185,44.9761904761905
"GGB80003_SGB14846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156349937460025,0,0,0,0,0,0,0,0,0,0,0,0,1.5e-06,0,0,0,0,0.0024751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1478",8,0.0151515151515152,76.0797619047619
"GGB9452_SGB14843",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216209913516035,0,0,0,0,0,0,0,0,0,0,0,0,0.000116,0,0,0,0,0.0012234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_880",6,0.0142857142857143,18.4916666666667
"GGB3602_SGB4574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171239931504027,0,0,0,0,0,0,0,0,0,0,0,0,0.0007432,0,0,0,0,0.0057983,0,0,0.0001643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1333",6,0.0158730158730159,12.6202380952381
"GGB9770_SGB15389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135849945660022,0,0,0,0,0,0,0,0,0,0,0,0,0.0009021,0,0,0,0,0.0049574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1493",6,0.0163934426229508,35.9059523809524
"GGB47150_SGB65079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000757899696840121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1591",6,0.0172413793103448,51.5857142857143
"GGB9775_SGB15395",7.02647160083478e-05,0,9.66000676200473e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009122,0,0,0,0,0,0,0,0,0,0,0,0,0.00491669803332079,0,0,0,0,0,0,0,0,0,0,0,0,0.0014244,0,0,0,0,0.0055971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_322",5,0.0163934426229508,107.945238095238
"GGB9623_SGB15075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00346229861508055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1391",5,0.0163934426229508,48.727380952381
"Collinsella_SGB62935",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000177500088750044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068569972572011,0,0,0,0,0,0,0,0,0,0,0,0,2.02e-05,0,0,0,0,0.0004764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_887",4,0.0303030303030303,23.6666666666667
"GGB51139_SGB71360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101299959480016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1942",4,0.0256410256410256,7.5
"GGB9765_SGB15382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004189,0,0,0,0,0,0,0,0,0,0,0,0,0.00128839948464021,0,0,0,0,0,0,0,0,0,0,0,0,5.94e-05,0,0,0,0,0.0013963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_390",4,0.0117647058823529,0.25
"Desulfovibrio_fairfieldensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000765399923460008,0,0,0,0,0,0,0,0.00234929906028038,0,0,0,0,0,0,0,0,0,0,0,0,0.0006612,0,0,0,0,0.0012562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_571",4,0.012987012987013,7.86904761904762
"GGB9359_SGB14334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198869920452032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_861",4,0.0117647058823529,1.90833333333333
"GGB6544_SGB9242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00356679857328057,0,0,0,0,0,0,0,0,0,0,0,0,0.0028767,0,0,0,0,0.0061427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1024",4,0.0144927536231884,7.09166666666667
"GGB3004_SGB3995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00222369911052036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1971",4,0.0117647058823529,1.90833333333333
"GGB9545_SGB14952",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142699942920023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_360",3,0.027027027027027,37
"GGB35551_SGB53794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000765499693800123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_487",3,0.025,9.33333333333333
"GGB38744_SGB14842",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000806099677560129,0,0,0,0,0,0.000308799845600077,0,0,0,0,0,0,0.0001286,0,0,0,0,0.000742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1040",3,0.025,2.83333333333333
"Mediterraneibacter_SGB48424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000587399765040094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1047",3,0.032258064516129,42.3333333333333
"GGB9781_SGB15402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110599955760018,0,0,0,0,0,0,0,0,0,0,0,0,1.7e-06,0,0,0,0,0.000294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1142",3,0.0222222222222222,17
"Clostridium_sp_Marseille_P3244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000928899628440149,0,0,0,0,0,0,0,3.86272708532224e-05,0,0,0,0,0,0,0,0,0,0.0001244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1153",3,0.0294117647058824,13.3333333333333
"GGB9734_SGB15304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012597994960802,0,0,0,0,0,0,0,0,0,0,0,0,0.000175,0,0,0,0,0.0004177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1486",3,0.0212765957446809,2
"GGB3002_SGB3993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000363499854600058,0,0,0,0,0,0,0,0,0,0,0,0,3.07e-05,0,0,0,0,0.004535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_362",3,0.0126582278481013,1.64404761904762
"Flavonifractor_sp_An10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002259,0,0,0,0,0,0,0,0,0,0,0,0,0.0151596939361224,0,0,0,0,0,0,0,0,0,0,0,0,0.0014675,0,0,0,0,0.0031288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_366",3,0.0101010101010101,25
"GGB3033_SGB4029",0,0,0,0,0,0,0,0,0,2.8100014050007e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013893,0,0.00198239920704032,0,0,0,0,0,0,0,0,0,0,0,0,0.000499,0,0,0,0,0.0049439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34000130200039e-05,0,0,"v_372",3,0.0138888888888889,4.66190476190476
