,specie,mean,std
0,Slackia_isoflavoniconvertens,-13.558652898734266,5.756834678676504
1,Clostridium_sp_CAG_58,-11.398418058918997,6.902893714196934
2,Collinsella_aerofaciens,-3.9156388874060175,6.643897588799929
3,Butyricimonas_virosa,-8.196555618344698,6.895043697709918
4,Lawsonibacter_asaccharolyticus,-8.968813406505355,6.420440041420427
5,Dorea_longicatena,-3.41453038802712,6.0546701140934704
6,Collinsella_massiliensis,-14.989929723823069,3.624297990234695
7,Dorea_formicigenerans,-4.702193095599301,6.144065066641709
8,Alistipes_finegoldii,-6.40411873864527,6.994806282598801
9,Anaeromassilibacillus_sp_An250,-13.489410857674866,5.279626488841442
10,Bifidobacterium_adolescentis,-9.324385315912398,8.129198550311877
11,Akkermansia_muciniphila,-9.514443475114836,7.958892060577312
12,Bacteroides_cellulosilyticus,-9.146779715259374,7.472676008845404
13,Gemmiger_formicilis,-6.0600416659900995,6.314705723587629
14,Bilophila_wadsworthia,-7.645520331306544,6.181239254883575
15,Alistipes_inops,-13.790558427026282,5.991208899723568
16,Odoribacter_splanchnicus,-4.115239614149176,6.716045457850712
17,Sutterella_parvirubra,-13.37317448202783,5.473334441249941
18,Eubacterium_hallii,-4.24570794401938,5.821098854264901
19,Asaccharobacter_celatus,-10.286710240011631,6.369725447831719
20,Eubacterium_siraeum,-9.584401678321763,7.984369315290277
21,Parabacteroides_distasonis,-1.1086345728108264,4.991315243193845
22,Ruthenibacterium_lactatiformans,-5.106049068700893,5.533814313518493
23,Barnesiella_intestinihominis,-7.971269759348493,8.146093265673322
