,specie,mean,std
0,Slackia_isoflavoniconvertens,-13.428416164405462,5.757275357549546
1,Eubacterium_hallii,-4.383716913189135,5.904787200538142
2,Lawsonibacter_asaccharolyticus,-8.885367764868366,6.399890733041995
3,Streptococcus_anginosus_group,-14.634267302326503,4.504310545170967
4,Ruminococcus_torques,-5.379789624696612,7.215796537563742
5,Gordonibacter_pamelaeae,-9.779082768016519,5.933956284278516
6,Collinsella_stercoris,-10.897204759226529,5.534717609115939
7,Eisenbergiella_tayi,-13.992270372064949,4.978586820752818
8,Collinsella_massiliensis,-15.004677135812399,3.615829951882034
9,Collinsella_aerofaciens,-3.9774555504809883,6.63437354436314
10,Anaeromassilibacillus_sp_An250,-13.400863646277685,5.345312702197683
11,Streptococcus_parasanguinis,-8.809442394393102,6.5974213369995525
12,Ruthenibacterium_lactatiformans,-5.024414866017068,5.5229696671364055
