,specie,mean,std
0,Bacteroides_uniformis,-1.1428200262619954,5.641912803092376
1,Bacteroides_stercoris,-8.908742487427142,7.7924548888737215
2,Parasutterella_excrementihominis,-11.551419442576353,6.837461989586578
3,Bacteroides_salyersiae,-14.320760600401286,5.079101355712711
4,Parabacteroides_merdae,-6.352667518648445,7.541811970260925
5,Dialister_sp_CAG_357,-14.627405751302453,5.425425312178891
6,Alistipes_finegoldii,-7.875844385039281,7.2129280804222935
7,Bacteroides_caccae,-7.639371912423033,7.854436755830473
8,Bacteroides_vulgatus,-2.0862330749081726,6.683756751779015
9,Bacteroides_eggerthii,-12.023395094215642,7.01751574076855
10,Akkermansia_muciniphila,-9.375118383749854,8.13676171663841
11,Oscillibacter_sp_57_20,-7.963329468915281,7.978130638119656
12,Lachnospira_pectinoschiza,-9.781823793415825,7.811555121821293
13,Bacteroides_intestinalis,-12.1705029097725,6.95248860961148
14,Proteobacteria_bacterium_CAG_139,-12.75507335402534,6.30936468644261
15,Phascolarctobacterium_faecium,-11.448322494909155,7.150778173414576
16,Bacteroides_ovatus,-4.923673123175308,6.6489510996369905
17,Bacteroides_cellulosilyticus,-11.608592490723934,6.693835917744217
18,Bacteroides_dorei,-6.730852538710008,8.322736612307652
19,Bacteroides_plebeius,-11.778391196687872,7.026845173500732
20,Alistipes_putredinis,-5.859171457247574,7.883948726136328
21,Bacteroides_faecis,-15.561554343323527,3.8414615178685363
22,Barnesiella_intestinihominis,-9.159604888708662,7.914339237589673
