,specie,mean,std
0,Slackia_isoflavoniconvertens,-13.449496126326531,5.788450306259476
1,Clostridium_sp_CAG_58,-11.395010548151978,6.906499394587928
2,Actinomyces_oris,-15.909771624288709,2.568306982027824
3,Clostridium_leptum,-10.577203439435253,6.285314624746556
4,Acidaminococcus_intestini,-15.054811346006066,4.750353177769079
5,Erysipelatoclostridium_ramosum,-12.060426562052116,6.477013871205785
6,Eisenbergiella_tayi,-13.862929141728085,5.068808263575059
7,Firmicutes_bacterium_CAG_145,-13.50165046366869,5.54882591464766
8,Agathobaculum_butyriciproducens,-3.6397734806244033,5.080711614916243
9,Collinsella_aerofaciens,-3.889094978923732,6.606160213996024
10,Flavonifractor_plautii,-4.2535784833573915,5.66292993006857
11,Parvimonas_micra,-15.465131833429611,3.5103625569416934
12,Atopobium_parvulum,-16.092214679270207,2.224125263577696
13,Streptococcus_infantis,-14.454741250385041,4.4652048640467745
14,Bifidobacterium_dentium,-14.702070052499291,4.577437359643889
15,Streptococcus_gordonii,-14.541407283383693,4.558499806412979
16,Fusobacterium_nucleatum,-16.102996957758585,2.4784445516740576
17,Anaerotruncus_colihominis,-12.544413140110676,5.687101587488145
18,Enorma_massiliensis,-14.250949077758106,4.499057201125435
19,Mogibacterium_diversum,-14.71915416317937,4.083765642720709
20,Clostridium_innocuum,-12.563714811693162,5.677554324314017
21,Solobacterium_moorei,-15.893475254570056,2.6652125189336466
22,Lawsonibacter_asaccharolyticus,-8.767159345592665,6.419036390177391
23,Streptococcus_mutans,-15.741031967336516,3.1411460756281695
24,Streptococcus_vestibularis,-14.667171733354818,4.4492723412786
25,Streptococcus_sanguinis,-14.686286904884104,4.354846426175127
26,Ruminococcus_torques,-5.247778224059298,7.2105259848936365
27,Collinsella_stercoris,-10.86099420326611,5.450402300007174
28,Actinomyces_sp_oral_taxon_181,-15.644931930089479,2.9401213487289275
29,[Collinsella]_massiliensis,-14.876045762884084,3.846615304024936
30,Allisonella_histaminiformans,-14.779422941837726,4.266626872944726
31,Dorea_longicatena,-3.408100542439708,6.08246212194754
32,Clostridium_lavalense,-14.038560535056464,4.765616831375772
33,Dorea_formicigenerans,-4.65795794446879,6.152957036360415
34,Actinomyces_odontolyticus,-14.3071672661569,4.338127847530146
35,Actinomyces_graevenitzii,-15.934046674450835,2.5597780532262626
36,Streptococcus_oralis,-13.938065203449334,5.00972859099527
37,Bifidobacterium_adolescentis,-9.297693520890613,8.110049798248399
38,Clostridium_symbiosum,-12.090757228252295,6.091472786297037
39,Coprococcus_catus,-7.803664615958969,6.85002302362816
40,Peptostreptococcus_stomatis,-16.14039858888529,2.3352483979414664
41,Streptococcus_salivarius,-5.512523450103878,5.867916191800385
42,Ruminococcus_gnavus,-7.265278976067017,7.479657711645178
43,Streptococcus_anginosus_group,-14.624565881851016,4.54666167728462
44,Eubacterium_sulci,-15.268826437346831,3.4835874057214125
45,Gordonibacter_pamelaeae,-9.647173047335587,5.927869159369615
46,Firmicutes_bacterium_CAG_94,-14.219358476352046,5.0590037590749475
47,Gemella_morbillorum,-15.711640916520768,3.0350060987311043
48,Actinomyces_sp_HPA0247,-16.129830420681035,2.167966662960776
49,Blautia_obeum,-4.728568785130349,6.087692689460804
50,Clostridium_clostridioforme,-14.081043693284496,5.149386836940527
51,Clostridium_bolteae,-9.543550992866912,6.56245788415928
52,Actinomyces_sp_S6_Spd3,-15.75824500342645,2.8257702040959587
53,Collinsella_intestinalis,-12.828839250983716,5.184980999197744
54,Streptococcus_australis,-14.458726841398617,4.400418137427132
55,Gemella_sanguinis,-13.403455593830978,5.062389276003637
56,Dialister_pneumosintes,-16.15137929681595,2.457525235466948
57,Olsenella_scatoligenes,-15.098350857900881,3.915840890541515
58,Eggerthella_lenta,-9.560365963278748,6.531412692021721
59,Harryflintia_acetispora,-15.690963181453064,2.9538356406419357
60,Actinomyces_sp_ICM47,-14.892574580018206,3.9536894400543576
61,Gemella_haemolysans,-15.480316154561761,3.2988375282162843
62,Streptococcus_parasanguinis,-8.702262382018857,6.574526514261163
63,Bifidobacterium_longum,-5.485309380409184,7.2506991272540064
64,Ruthenibacterium_lactatiformans,-4.956682491468472,5.447719659869482
65,Streptococcus_mitis,-13.327200480665114,5.24238982935808
66,Actinomyces_sp_HMSC035G02,-15.454144473439483,3.188851123151963
67,Rothia_mucilaginosa,-14.020548647558996,4.635497403676576
