Sample	CMP-Legionaminate-Biosynthesis	CMP-N-Acetylneuraminate-Biosynthesis	CMP-pseudaminate biosynthesis	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)	gibberellin biosynthesis II (early C-3 hydroxylation)	gibberellin biosynthesis IV (<i>Gibberella fujikuroi</i>)	gibberellin biosynthesis V	inosine-5'-phosphate biosynthesis I	inosine-5'-phosphate biosynthesis II	inosine-5'-phosphate biosynthesis III
ERR209069	27.3	1.5	2.25	0.0	0.0	0.0	0.0	9.0	10.666666666666666	9.0
ERR209070	33.53333333333333	1.5	2.6666666666666665	0.0	0.0	0.0	0.0	10.6	12.333333333333334	10.6
ERR209071	38.1	1.0	3.0	0.0	0.0	0.0	0.0	11.0	11.666666666666666	11.0
ERR209072	36.7	1.0	2.0	0.0	0.0	0.0	0.0	13.2	16.0	13.2
ERR209082	22.25	1.0	0.0	0.0	0.0	0.0	0.0	4.6	5.0	4.6
ERR209083	27.666666666666668	2.0	1.0	0.0	0.0	0.0	0.0	5.0	6.333333333333333	5.0
ERR209084	19.625	1.5	1.0	0.0	0.0	0.0	0.0	4.25	4.0	4.25
ERR209085	14.5	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.333333333333333	5.0
ERR209088	38.7	2.0	2.0	0.0	0.0	0.0	0.0	13.6	15.666666666666666	13.6
ERR209096	14.1	3.0	1.0	1.0	1.0	1.0	1.0	1.6	2.0	1.6
ERR209118	39.0	4.0	2.0	2.0	2.0	1.7142857142857142	2.0	10.8	12.666666666666666	10.8
ERR209160	22.33333333333333	1.0	0.0	0.0	0.0	0.0	0.0	5.8	7.0	5.8
ERR209162	9.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0
ERR209163	9.875	0.0	1.5	0.0	0.0	0.0	0.0	2.75	3.0	2.75
ERR209164	19.1	1.0	1.3333333333333333	0.0	0.0	0.0	0.0	6.75	6.666666666666667	6.75
ERR209175	19.77777777777778	0.0	0.0	0.0	0.0	0.0	0.0	3.4	4.0	3.4
ERR209187	17.2	0.0	1.0	0.0	0.0	0.0	0.0	6.5	6.0	6.5
ERR209223	10.11111111111111	0.0	1.0	0.0	0.0	0.0	0.0	7.0	8.0	7.0
ERR209225	24.0	0.0	1.0	1.0	1.0	0.0	1.0	5.4	6.333333333333333	5.4
ERR209226	10.857142857142858	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
ERR209246	43.5	3.0	1.6666666666666667	0.0	0.0	0.0	0.0	12.0	12.0	12.0
ERR209247	17.6	2.0	1.0	0.0	0.0	0.0	0.0	5.75	5.666666666666667	5.75
ERR209248	18.1	0.0	1.0	0.0	0.0	0.0	0.0	4.0	4.666666666666667	4.0
