Sample	CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)	CMP-legionaminate biosynthesis I	CMP-legionaminate biosynthesis II
ERR209069	1.5	0.0	25.3	2.0
ERR209070	1.5	0.0	31.2	2.333333333333333
ERR209071	1.0	0.0	34.6	3.5
ERR209072	1.0	0.0	33.2	3.5
ERR209082	1.0	0.0	22.25	0.0
ERR209083	2.0	0.0	24.666666666666668	3.0
ERR209084	1.5	0.0	19.625	0.0
ERR209085	0.0	0.0	13.5	1.0
ERR209088	2.0	0.0	36.7	2.0
ERR209096	3.0	0.0	12.1	2.0
ERR209118	4.0	0.0	36.0	3.0
ERR209160	1.0	0.0	22.33333333333333	0.0
ERR209162	0.0	1.0	9.0	0.0
ERR209163	0.0	0.0	9.875	0.0
ERR209164	1.0	0.0	17.1	2.0
ERR209175	0.0	0.0	19.77777777777778	0.0
ERR209187	0.0	0.0	15.7	1.5
ERR209223	0.0	0.0	9.11111111111111	1.0
ERR209225	0.0	0.0	24.0	0.0
ERR209226	0.0	0.0	10.857142857142858	0.0
ERR209246	3.0	0.0	39.5	4.0
ERR209247	2.0	0.0	16.1	1.5
ERR209248	0.0	0.0	16.6	1.5
ERR209266	1.0	0.0	5.875	0.0
ERR209286	2.5	0.0	39.9	2.6666666666666665
ERR209287	0.0	0.0	10.555555555555555	0.0
ERR209296	3.5	0.0	39.7	4.333333333333333
ERR209298	0.0	0.0	6.428571428571429	0.0
ERR209299	0.0	0.0	6.714285714285714	0.0
ERR209300	0.0	0.0	10.555555555555555	0.0
ERR209310	3.0	0.0	36.4	2.6666666666666665
ERR209312	0.0	0.0	3.142857142857143	0.0
ERR209336	0.0	0.0	4.0	0.0
ERR209339	2.0	1.5	28.9	1.5
ERR209343	0.0	0.0	10.285714285714286	0.0
ERR209354	1.0	0.0	17.9	1.6666666666666667
ERR209371	3.5	0.0	56.6	5.666666666666667
ERR209375	0.0	0.0	16.4	1.0
ERR209376	0.0	0.0	12.428571428571429	0.0
ERR209378	0.0	0.0	8.0	0.0
ERR209379	0.0	0.0	7.25	0.0
ERR209380	0.0	0.0	8.75	0.0
ERR209403	2.0	0.0	44.888888888888886	1.5
ERR209404	0.0	0.0	17.0	0.0
ERR209405	1.0	0.0	18.25	0.0
ERR209415	5.0	0.0	38.6	2.6666666666666665
ERR209431	3.0	1.5	44.8	5.0
ERR209432	0.0	0.0	21.77777777777778	2.5
ERR209433	1.5	0.0	20.7	2.0
ERR209434	1.0	0.0	18.8	2.5
ERR209439	4.0	0.0	41.6	4.333333333333333
ERR209440	0.0	0.0	8.7	2.0
ERR209441	1.0	0.0	12.625	0.0
ERR209442	0.0	0.0	11.22222222222222	0.0
ERR209448	2.0	0.0	13.0	0.0
ERR209470	0.0	0.0	45.2	2.6666666666666665
ERR209487	0.0	0.0	8.5	0.0
ERR209519	4.0	0.0	76.3	6.0
ERR209520	0.0	0.0	8.0	0.0
ERR209521	0.0	0.0	8.5	0.0
ERR209648	11.0	0.0	78.4	5.666666666666667
ERR209653	4.0	1.5	90.7	7.666666666666667
ERR209667	5.333333333333333	2.0	81.8	5.333333333333333
ERR209671	7.5	0.0	74.8	2.6666666666666665
ERR209674	7.0	0.0	70.0	4.333333333333333
ERR209679	0.0	0.0	32.75	0.0
ERR209684	0.0	0.0	22.4	1.6666666666666667
ERR209685	3.5	0.0	28.5	1.6666666666666667
ERR209692	9.0	0.0	85.3	5.0
ERR209693	12.0	0.0	85.4	6.0
ERR209694	9.5	0.0	78.0	3.0
ERR209696	4.5	0.0	62.3	5.0
ERR209697	5.5	0.0	89.9	6.333333333333333
ERR209700	5.5	0.0	36.77777777777778	0.0
ERR209701	6.5	0.0	46.44444444444444	0.0
ERR209706	4.5	0.0	82.1	4.0
ERR209707	5.5	0.0	86.4	3.6666666666666665
ERR209710	4.0	0.0	37.2	2.5
ERR209711	5.0	0.0	50.1	2.0
ERR209716	8.5	0.0	83.2	4.333333333333333
ERR209720	7.5	0.0	72.7	7.333333333333333
ERR209722	7.333333333333333	3.5	106.2	7.0
ERR209725	1.5	0.0	5.0	1.0
ERR209726	8.5	0.0	84.0	6.333333333333333
ERR209731	8.0	0.0	48.9	2.0
ERR209732	8.0	0.0	55.1	2.0
ERR209740	9.0	0.0	79.8	6.333333333333333
ERR209745	3.333333333333333	2.0	63.0	7.0
ERR209746	5.666666666666667	3.0	85.9	6.333333333333333
ERR209748	0.0	0.0	49.0	4.0
ERR209749	7.5	0.0	63.8	5.666666666666667
ERR209764	8.0	0.0	63.4	2.6666666666666665
ERR209782	4.0	0.0	55.8	2.333333333333333
ERR209799	3.0	0.0	23.0	2.6666666666666665
ERR209810	6.0	0.0	74.7	7.333333333333333
ERR209811	0.0	0.0	16.3	1.5
ERR209812	3.6666666666666665	1.0	68.1	8.0
ERR209813	1.5	0.0	18.33333333333333	2.333333333333333
ERR209846	9.0	0.0	85.6	4.333333333333333
ERR209854	5.0	2.0	78.7	5.333333333333333
ERR209891	6.0	0.0	50.2	3.333333333333333
ERR209953	0.0	0.0	2.1666666666666665	0.0
ERR210092	0.0	0.0	1.0	0.0
ERR210202	0.0	0.0	1.0	0.0
ERR210366	0.0	0.0	1.6666666666666667	0.0
ERR210495	0.0	0.0	1.5	0.0
ERR210523	0.0	0.0	1.25	0.0
ERR210591	0.0	0.0	3.875	0.0
ERR210594	0.0	0.0	1.4285714285714286	0.0
ERR210695	0.0	0.0	1.0	0.0
SRR5935740	4.0	0.0	50.9	2.6666666666666665
SRR5935745	2.5	0.0	47.3	3.333333333333333
SRR5935749	2.0	0.0	57.333333333333336	3.0
SRR5935752	0.0	0.0	11.75	0.0
SRR5935760	2.0	0.0	32.0	2.6666666666666665
SRR5935764	4.0	0.0	31.6	4.0
SRR5935765	4.0	0.0	51.2	3.6666666666666665
SRR5935767	0.0	0.0	9.125	0.0
SRR5935768	7.0	0.0	56.9	5.0
SRR5935769	4.5	0.0	51.6	3.333333333333333
SRR5935770	3.0	0.0	31.4	4.0
SRR5935771	4.5	0.0	45.6	4.0
SRR5935772	3.5	0.0	55.9	2.333333333333333
SRR5935773	2.0	0.0	47.0	4.666666666666667
SRR5935774	3.5	0.0	36.1	5.333333333333333
SRR5935777	4.0	0.0	22.0	1.0
SRR5935778	4.5	0.0	58.8	5.0
SRR5935780	3.0	0.0	29.7	2.0
SRR5935781	2.0	0.0	15.25	0.0
SRR5935784	4.5	0.0	51.6	3.333333333333333
