Sample	(<i>Z</i>)-butanethiol-<i>S</i>-oxide biosynthesis	(R)- and (S)-3-hydroxybutyrate biosynthesis	1,5-anhydrofructose degradation	2-aminoethylphosphonate degradation I	2-aminoethylphosphonate degradation II	3-methylbutanol biosynthesis	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism	<i>all-trans</i>-farnesol biosynthesis	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	AEROBIC-RESPIRATION	AMINE-DEG	ANAEROBIC-RESPIRATION	AROMATIC-COMPOUNDS-BIOSYN	AROMATIC-COMPOUNDS-DEGRADATION	Acetoin-Biosynthesis	Acetyl-CoA-Biosynthesis	Acetyl-CoA-Butyrate	Acid-Resistance	Activation	Alcohol-Degradation	Aldehyde-Degradation	Amino-Acid-Biosynthesis	Amino-Acid-Degradation	Aminoacyl-tRNAs-Charging	Antibiotic-Resistance	Arsenate-Detoxification	Butanediol-Biosynthesis	C1-COMPOUNDS	C4 photosynthetic carbon assimilation cycle, NAD-ME type	C4 photosynthetic carbon assimilation cycle, NADP-ME type	C4 photosynthetic carbon assimilation cycle, PEPCK type	CARBOXYLATES-DEG	CHEMOAUTOTROPHIC-ENERGY-METABOLISM	CHLORINATED-COMPOUNDS-DEG	Carbohydrates-Biosynthesis	Carbohydrates-Degradation	Cell-Structure-Biosynthesis	Cofactor-Biosynthesis	Cyanide-Detoxification	Electron-Transfer	Entner-Duodoroff-Pathways	Fatty-Acid-and-Lipid-Degradation	GLYCOLYSIS-VARIANTS	HORMONE-DEG	HORMONE-SYN	Hydrogen-Production	Interconversion	Lipid-Biosynthesis	METHANOGENESIS	Mercury-Detoxification	Metabolic-Regulators	NADH repair	NUCLEO-DEG	Noncarbon-Nutrients	Nucleotide-Biosynthesis	OTHER-ENERGY	Other-Degradation	Other-biosynthesis	Pentose-Phosphate-Cycle	Polyamine-Biosynthesis	Polymer-Degradation	Protein-Degradation	Protein-Modification	Pyruvate-Degradation	Rubisco shunt	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-DEGRADATION	Siderophores-Biosynthesis	Steroids-Degradation	TCA-VARIANTS	anaerobic energy metabolism (invertebrates, cytosol)	anaerobic energy metabolism (invertebrates, mitochondrial)	ascorbate glutathione cycle	benzoate fermentation (to acetate and cyclohexane carboxylate)	bisabolene biosynthesis	chitin degradation to ethanol	citrulline biosynthesis	crotonate fermentation (to acetate and cyclohexane carboxylate)	detoxification of reactive carbonyls in chloroplasts	ethylene biosynthesis IV	ethylene glycol biosynthesis	ethylmalonyl pathway	farnesylcysteine salvage pathway	fluoroacetate degradation	glutathione-mediated detoxification II	glyoxylate cycle	heterolactic fermentation	isopropanol biosynthesis	lactate biosynthesis (archaea)	long chain fatty acid ester synthesis for microdiesel production	methyl ketone biosynthesis	methylaspartate cycle	mixed acid fermentation	mycothiol-mediated detoxification	oxidized GTP and dGTP detoxification	photorespiration	photosynthesis light reactions	photosynthetic 3-hydroxybutyrate biosynthesis	pyruvate fermentation to hexanol	sedoheptulose bisphosphate bypass	succinate fermentation to butyrate	superoxide radicals degradation	superpathway of C28 brassinosteroid biosynthesis	superpathway of glycolysis and Entner-Doudoroff	superpathway of glyoxylate cycle and fatty acid degradation
ERR209069	0.0	0.0	0.0	2.0	2.0	10.0	1.0	11.0	11.0	47.333333333333336	53.0	32.666666666666664	100.0	234.1904761904762	111.0	4.0	5.5	16.0	47.0	42.0	45.666666666666664	682.6142857142858	395.49999999999994	16.25	11.333333333333332	8.0	60.0	121.98452380952381	13.6	9.5	14.4	110.5	16.5	21.5	1206.362987012987	551.4654761904762	431.23452380952386	905.8599206349209	0.0	0.0	0.0	92.66666666666667	111.1611111111111	38.0	393.0	7.0	94.33333333333331	922.1949275362321	30.666666666666668	0.0	10.666666666666666	0.0	152.72777777777776	498.8333333333333	446.8727272727272	3.0	66.93333333333334	107.83333333333333	30.33333333333333	217.61666666666665	387.0666666666667	0.0	2.0	159.56666666666666	12.0	5484.3365079365085	574.702380952381	3.0	10.0	61.21666666666666	10.5	9.428571428571429	0.0	0.0	11.0	5.333333333333333	6.5	0.0	23.88888888888889	8.0	0.0	0.0	9.0	0.0	0.0	5.0	10.25	0.0	11.0	0.0	7.666666666666667	8.375	10.545454545454543	0.0	11.0	14.5	4.0	12.0	12.0	0.0	0.0	2.0	0.0	5.5	9.5
ERR209070	0.0	4.0	0.0	1.5	1.5	12.0	0.0	10.0	10.0	58.333333333333336	64.25	39.666666666666664	125.5	276.5	102.0	0.0	4.25	22.0	55.666666666666664	56.00000000000001	54.333333333333336	798.555158730159	452.0333333333333	17.8	11.0	7.333333333333333	76.0	136.4611111111111	11.571428571428571	10.5	12.0	147.16666666666669	22.25	25.5	1394.7561050061051	672.0083333333334	528.2369047619048	1039.2154761904762	0.0	0.0	0.0	161.66666666666669	120.1479797979798	41.5	424.0	16.0	108.0	1073.6164835164836	38.0	0.0	17.5	1.0	178.50833333333333	553.3333333333333	534.1242424242423	6.0	81.53333333333333	112.16666666666667	35.2	257.8666666666667	441.76666666666665	0.0	2.0	165.1	12.75	6361.667063492064	667.4428571428571	0.0	4.0	71.22619047619048	13.0	10.0	0.0	0.0	10.0	6.666666666666667	8.75	0.0	30.22222222222222	11.0	0.0	4.0	12.5	0.0	0.0	6.5	12.125	0.0	13.666666666666666	0.0	12.0	8.1	12.272727272727272	0.0	16.5	11.4	6.0	12.0	13.8	1.0	0.0	3.0	0.0	7.5	10.25
ERR209071	0.0	0.0	0.0	3.0	3.5	11.5	1.0	13.0	13.0	62.0	73.8	42.77777777777778	138.33333333333334	286.70833333333337	103.0	0.0	5.333333333333333	23.0	58.33333333333333	57.0	54.666666666666664	874.9797619047621	504.4111111111112	19.7	10.666666666666666	8.0	68.0	144.1186507936508	11.285714285714286	13.0	12.142857142857142	145.0	32.75	25.5	1475.6699633699634	679.0916666666668	560.0666666666667	1150.5583333333336	1.0	0.0	0.0	120.91666666666667	145.38131313131314	45.0	484.0	22.0	123.0	1193.6791208791208	39.0	0.0	17.75	1.0	181.28257575757573	580.3333333333333	562.9166666666667	6.0	87.16666666666667	129.5	32.06666666666666	274.93333333333334	499.4166666666667	2.0	2.0	181.41666666666663	14.75	6981.42777777778	711.3166666666668	3.0	6.5	75.62380952380953	14.6	10.375	0.0	0.0	13.0	6.666666666666667	9.5	0.0	31.22222222222222	14.0	1.0	0.0	10.5	0.0	0.0	8.5	12.9375	0.0	12.333333333333334	0.0	12.0	9.0	13.272727272727272	0.0	16.5	14.4	5.0	16.0	13.4	1.0	6.25	5.0	0.0	6.0	12.0
ERR209072	0.0	0.0	0.0	3.0	3.0	11.5	1.0	11.0	11.0	64.66666666666666	81.1	38.0	127.66666666666667	296.4583333333333	108.0	0.0	6.0	21.0	56.666666666666664	59.0	56.0	892.9587301587303	489.6888888888889	20.55	13.0	0.0	74.0	152.41468253968256	18.2	12.5	18.8	161.5	32.25	20.5	1479.8341575091574	717.6142857142858	548.7011904761904	1163.061507936508	1.0	0.0	0.0	162.33333333333331	144.05606060606058	48.0	468.5	21.0	125.0	1139.3470695970695	79.91666666666666	1.0	16.75	2.0	201.16428571428574	581.8333333333334	560.680303030303	6.0	86.0	129.16666666666669	36.86666666666667	278.6333333333333	489.05833333333334	2.0	2.0	187.54999999999998	15.25	6839.052777777779	728.25	3.0	5.5	83.68809523809524	21.5	11.25	0.0	1.0	11.0	7.0	9.25	4.666666666666667	34.22222222222222	10.0	1.0	0.0	14.0	0.0	0.0	10.0	13.125	0.0	13.333333333333334	0.0	11.666666666666666	9.5	14.181818181818182	0.0	18.5	15.0	4.0	15.75	14.0	2.0	0.0	4.0	0.0	7.5	12.0
ERR209082	0.0	0.0	0.0	4.0	4.0	5.0	0.0	2.5	2.5	28.33333333333333	29.0	14.25	69.8	116.83333333333333	39.0	0.0	2.0	9.0	25.333333333333336	19.0	27.0	340.9976190476191	188.20833333333331	6.0	7.5	0.0	38.0	56.721825396825395	3.6666666666666665	5.5	4.5	72.5	9.75	4.0	575.3300505050506	264.4702380952381	239.60000000000002	451.86666666666673	0.0	0.0	0.0	22.5	49.512121212121215	21.0	174.0	8.5	45.0	551.5427927927929	16.0	0.0	6.666666666666667	0.0	83.125	256.66666666666663	197.4222222222222	0.0	38.266666666666666	54.833333333333336	12.2	108.0	198.81666666666666	0.0	1.0	78.38333333333333	5.0	3240.464682539682	326.92857142857144	0.0	1.6666666666666667	30.992857142857144	4.4	4.5	0.0	0.0	2.5	0.0	3.75	0.0	12.88888888888889	6.0	0.0	0.0	3.5	0.0	0.0	2.5	4.5	0.0	7.0	0.0	5.0	3.4545454545454546	4.545454545454546	0.0	10.0	5.75	0.0	6.333333333333333	0.0	1.0	0.0	2.0	0.0	2.5	5.75
ERR209083	0.0	1.0	0.0	4.5	6.0	4.0	1.0	5.0	5.0	28.0	34.0	18.5	82.66666666666667	142.0	54.0	0.0	1.5	9.0	33.0	26.0	31.0	393.01547619047625	232.94285714285715	10.55	14.0	0.0	34.0	68.11507936507935	5.857142857142857	7.5	6.142857142857143	78.33333333333334	18.75	8.0	803.1262626262628	355.047619047619	333.95	623.0559523809524	1.0	1.0	14.8	49.416666666666664	72.12020202020202	27.0	273.0	12.0	61.333333333333336	728.7445054945053	22.33333333333333	0.0	12.75	0.0	103.0047619047619	299.6666666666667	271.23333333333335	0.0	42.833333333333336	70.33333333333334	18.333333333333332	155.1	300.5583333333334	2.0	2.0	95.26666666666668	8.25	4205.7972222222215	441.3333333333333	0.0	2.0	38.147619047619045	5.428571428571429	4.857142857142857	0.0	0.0	5.0	2.6666666666666665	4.25	0.0	15.88888888888889	7.0	0.0	0.0	5.5	0.0	0.0	4.5	7.133333333333334	0.0	9.0	0.0	4.75	4.090909090909091	6.545454545454546	0.0	12.0	7.2	1.0	10.333333333333334	5.333333333333333	1.0	0.0	2.0	0.0	4.0	6.0
ERR209084	0.0	0.0	0.0	3.0	2.0	4.0	0.0	6.0	6.0	26.0	27.0	12.444444444444445	66.9	105.57142857142857	48.0	0.0	0.0	11.0	27.0	19.5	24.5	326.2281746031746	192.5	9.65	8.0	0.0	34.0	62.636111111111106	5.75	5.0	0.0	72.5	14.25	6.0	705.0611111111111	290.08928571428567	279.8833333333333	497.1166666666667	1.0	0.0	0.0	44.0	62.76565656565656	23.0	226.0	9.0	50.66666666666666	622.7985347985349	21.5	0.0	8.5	0.0	87.30353535353535	252.16666666666666	228.42222222222225	0.0	31.2	33.5	16.46666666666667	129.13333333333333	195.3	2.0	0.0	105.13333333333333	7.5	3462.1912698412702	315.0	0.0	1.5	24.91904761904762	6.75	3.2857142857142856	0.0	0.0	6.0	0.0	2.75	0.0	12.555555555555555	5.0	0.0	0.0	6.0	0.0	0.0	2.5	6.266666666666667	8.5	9.0	0.0	5.666666666666667	3.1	4.636363636363637	0.0	9.0	4.2	1.0	8.0	0.0	3.0	0.0	2.0	0.0	3.0	2.75
ERR209085	0.0	0.0	0.0	2.0	3.0	5.0	0.0	5.5	5.5	13.666666666666666	31.0	13.333333333333332	37.1	120.875	24.0	2.5	2.333333333333333	6.0	20.333333333333336	26.0	23.0	326.82142857142856	206.96111111111114	8.9	3.0	0.0	24.0	50.669047619047625	4.571428571428571	2.5	5.142857142857143	57.0	14.25	15.0	553.9119047619047	291.6190476190476	195.51666666666665	426.2999999999999	0.0	0.0	0.0	39.08333333333333	57.12222222222222	20.0	198.0	13.0	46.66666666666666	442.2670807453416	17.666666666666668	0.0	7.666666666666667	0.0	85.54166666666666	212.83333333333334	218.45	4.0	28.333333333333332	43.5	9.4	110.4	263.18333333333334	0.0	0.0	92.45	5.0	2757.8384920634926	437.44047619047615	0.0	4.0	29.00952380952381	4.857142857142857	4.25	0.0	0.0	5.5	4.0	3.5	0.0	13.11111111111111	4.0	0.0	0.0	3.5	0.0	0.0	2.5	4.8	0.0	6.5	0.0	4.0	3.2222222222222223	4.727272727272728	0.0	8.0	5.8	0.0	5.5	6.2	0.0	0.0	0.0	0.0	1.0	5.0
ERR209088	1.0	3.0	0.0	2.0	4.5	9.0	0.0	13.0	13.0	47.66666666666666	79.4	42.0	137.46666666666667	321.8095238095238	80.5	7.5	3.5	19.0	70.0	77.16666666666667	54.666666666666664	895.1138888888889	528.6722222222222	22.3	8.0	0.0	64.0	155.16746031746032	13.0	11.5	13.0	201.33333333333334	47.0	39.0	1504.671794871795	754.2940476190475	607.7666666666668	1186.8150793650796	0.0	0.0	26.4	220.8	142.2540404040404	55.0	571.0	40.0	120.66666666666669	1361.6128364389233	93.08333333333334	0.0	12.5	1.0	222.23232323232324	624.0	613.8761904761905	7.0	86.63333333333333	124.66666666666667	29.400000000000002	302.0333333333333	526.55	0.0	1.0	253.48333333333335	14.0	7782.680158730158	851.5999999999999	0.0	66.6	76.58333333333334	10.857142857142858	9.25	0.0	0.0	13.0	6.666666666666667	10.75	0.0	30.88888888888889	13.0	0.0	0.0	10.0	0.0	0.0	8.5	13.4375	13.333333333333334	12.666666666666666	0.0	8.0	8.5	13.090909090909092	1.0	22.5	12.4	11.0	14.0	14.0	2.0	6.0	1.0	0.0	1.5	9.0
ERR209096	0.0	0.0	0.0	1.5	1.5	5.0	1.0	2.5	2.5	26.0	34.0	21.9	45.5	116.28571428571428	39.0	1.3333333333333333	2.333333333333333	8.0	17.666666666666664	34.16666666666667	26.0	272.02777777777777	178.46666666666664	5.45	2.0	5.5	32.0	40.740476190476194	3.125	2.0	3.375	58.91666666666667	6.8	16.0	393.061111111111	234.72142857142856	151.0119047619048	359.58452380952366	0.0	1.0	1.0	65.5	37.62222222222222	7.0	131.58333333333334	5.0	28.33333333333333	447.44761904761907	33.333333333333336	0.0	2.5	0.0	61.61904761904762	265.1666666666667	153.3666666666667	0.0	34.0	43.5	12.2	96.08333333333333	148.76666666666668	0.0	1.0	48.76666666666666	4.222222222222222	2120.58703489493	212.16666666666666	10.0	23.28888888888889	28.439682539682543	4.0	3.25	0.0	0.0	2.5	2.75	2.8	0.0	12.666666666666666	3.0	0.0	0.0	6.0	0.0	9.5	2.0	4.1875	0.0	6.0	0.0	0.0	3.1	4.416666666666667	0.0	11.0	3.5	1.0	4.5	4.166666666666667	2.0	0.0	3.0	0.0	2.5	5.5
