,Healthy,Unhealthy
0,Ruminococcus_champanellensis,Gardnerella_vaginalis
1,Prevotella_sp_CAG_1058,Providencia_alcalifaciens
2,Streptococcus_sanguinis,Centipeda_periodontii
3,Citrobacter_pasteurii,Haemophilus_paraphrohaemolyticus
4,Pseudomonas_fragi,Clostridium_paraputrificum
5,Clostridium_sp_SY8519,Prevotella_oulorum
6,Alistipes_sp_CAG_831,Clostridium_sp_7_2_43FAA
7,Methanosphaera_stadtmanae,Prevotella_buccae
8,Porphyromonas_asaccharolytica,Aggregatibacter_aphrophilus
9,Harryflintia_acetispora,Acinetobacter_johnsonii
10,Alistipes_sp_An31A,Aeromonas_allosaccharophila
11,Bacteroides_salanitronis,Neisseria_macacae
12,Fusobacterium_naviforme,Leptotrichia_sp_oral_taxon_498
13,Clostridium_sp_CAG_510,Staphylococcus_equorum
14,Eubacterium_sp_CAG_274,Aerococcus_urinaeequi
15,Corynebacterium_glutamicum,Lactobacillus_johnsonii
16,Marvinbryantia_formatexigens,Haemophilus_influenzae
17,Parabacteroides_gordonii,Prevotella_sp_CAG_617
18,Actinomyces_oris,Cardiobacterium_hominis
19,Bifidobacterium_catenulatum,Staphylococcus_argenteus
20,Blautia_sp_An249,Clostridium_perfringens
21,Campylobacter_hominis,Streptococcus_pseudopneumoniae
22,Pseudomonas_fluorescens_group,Prevotella_oris
23,Eubacterium_nodatum,Atopobium_vaginae
24,Mycolicibacterium_obuense,Franconibacter_helveticus
25,Actinomyces_sp_HMSC035G02,Neisseria_flavescens
26,Lactobacillus_farciminis,Mycoplasma_hominis
27,Methanosphaera_sp_SHI1033,Prevotella_melaninogenica
28,Megasphaera_elsdenii,Haemophilus_parahaemolyticus
29,Staphylococcus_sciuri,Neisseria_elongata
30,Faecalicatena_orotica,Peptoniphilus_sp_HMSC062D09
31,Prevotella_sp_885,Anaerostipes_caccae
32,Rothia_mucilaginosa,Bacteroides_sp_CAG_661
33,Sporanaerobacter_sp_PP17_6a,Parabacteroides_sp_CAG_409
34,Streptococcus_equinus,Lactobacillus_helsingborgensis
35,Campylobacter_ureolyticus,Citrobacter_koseri
36,Streptococcus_australis,Streptococcus_viridans
37,Clostridium_leptum,Kosakonia_radicincitans
38,Citrobacter_freundii,Tannerella_sp_oral_taxon_HOT_286
39,Pantoea_agglomerans,Streptococcus_sp_oral_taxon_058
40,Bacteroides_caecimuris,Saccharomyces_cerevisiae
41,Prevotella_buccalis,Lautropia_mirabilis
42,Prevotella_sp_CAG_873,Barnesiella_sp_An22
43,Streptococcus_sp_HMSC034E03,Bacteroides_heparinolyticus
44,Acinetobacter_pittii,Bacteroides_sp_CAG_927
45,Cutibacterium_acnes,Fusobacterium_sp_oral_taxon_370
46,Oribacterium_asaccharolyticum,Veillonella_rodentium
47,Bacteroides_sp_43_108,Lactobacillus_saerimneri
48,Enterococcus_gilvus,Peptoniphilus_harei
49,Eubacterium_coprostanoligenes,Lactobacillus_buchneri
50,Lactococcus_garvieae,Campylobacter_concisus
51,Malassezia_restricta,Tetragenococcus_halophilus
52,Bacillus_cereus_group,Aggregatibacter_sp_oral_taxon_458
53,Prevotella_sp_AM42_24,Paludisphaera_borealis
54,Eubacterium_maltosivorans,Lactobacillus_apis
55,Tropheryma_whipplei,Veillonella_sp_T11011_6
56,Akkermansia_muciniphila,Selenomonas_infelix
57,Candidatus_Stoquefichus_sp_KLE1796,Streptococcus_peroris
58,Streptococcus_agalactiae,Streptococcus_sp_HMSC071D03
59,Pseudomonas_aeruginosa_group,Bifidobacterium_pullorum
60,Anaerofustis_stercorihominis,Prevotella_sp_CAG_1185
61,Bacillus_megaterium,Bacteroides_xylanolyticus
62,Lysinibacillus_sp_B2A1,Streptococcus_macedonicus
63,Porphyromonas_uenonis,Lactobacillus_paragasseri
64,Lactobacillus_gallinarum,Treponema_maltophilum
65,Actinomyces_johnsonii,Bifidobacterium_animalis
66,Microlunatus_phosphovorus,Anaerostipes_sp_992a
67,Megasphaera_sp_BV3C16_1,Klebsiella_quasivariicola
68,Parvimonas_micra,Lactobacillus_vaginalis
69,Corynebacterium_variabile,Lactobacillus_sakei
70,Streptococcus_massiliensis,Lactobacillus_iners
71,Prevotella_corporis,Mageeibacillus_indolicus
72,Acinetobacter_ursingii,Bacteroides_faecis_CAG_32
73,Lachnoclostridium_sp_An298,Bacteroides_sp_CAG_633
74,Enterococcus_malodoratus,Klebsiella_michiganensis
75,Enterococcus_faecium,Clostridium_baratii
76,Tissierellia_bacterium_KA00581,Paraclostridium_bifermentans
77,Enterococcus_durans,Campylobacter_jejuni
78,Eubacterium_sp_CAG_786,Lactobacillus_pentosus
79,Dysgonomonas_mossii,Romboutsia_hominis
80,Bacteroides_sp_D2,Treponema_denticola
81,Leuconostoc_garlicum,Lactobacillus_mucosae
82,Megasphaera_cerevisiae,Chlamydia_ibidis
83,Rikenella_microfusus,Prevotella_sp_oral_taxon_306
84,Bacteroides_sp_CAG_598,Bacteroides_faecis
85,Lactococcus_piscium,Anaerococcus_vaginalis
86,Butyrivibrio_crossotus,Lachnoclostridium_sp_An196
87,Providencia_rettgeri,Prevotella_scopos
88,Ruminococcaceae_bacterium_D5,Bacteroides_sp_OM08_11
89,Bifidobacterium_pseudolongum,Selenomonas_sp_oral_taxon_126
90,Christensenella_minuta,Ottowia_sp_oral_taxon_894
91,Bacillus_altitudinis,Morganella_morganii
