,Healthy,Unhealthy
0,Streptococcus_sp_M334,Ruminococcus_champanellensis
1,Prevotella_sp_CAG_1058,Bacteroides_pectinophilus
2,Centipeda_periodontii,Clostridium_sp_CAG_964
3,Streptococcus_sanguinis,Bifidobacterium_merycicum
4,Prevotella_buccae,Pseudopropionibacterium_propionicum
5,Aggregatibacter_aphrophilus,Roseburia_sp_831b
6,Citrobacter_pasteurii,Neisseria_macacae
7,Pseudomonas_fragi,Methylorubrum_populi
8,Aeromonas_allosaccharophila,Anoxybacillus_flavithermus
9,Monoglobus_pectinilyticus,Clostridium_sp_CAG_413
10,Bacteroides_ovatus,Haemophilus_influenzae
11,Bacteroides_eggerthii,Comamonas_kerstersii
12,Streptococcus_sp_oral_taxon_056,Prevotella_stercorea
13,Prevotella_bivia,Eubacterium_sp_CAG_180
14,Staphylococcus_equorum,Clostridium_sp_CAG_632
15,Citrobacter_portucalensis,Peptoniphilus_sp_HMSC062D09
16,Bacteroides_xylanisolvens,Treponema_berlinense
17,Methanosphaera_stadtmanae,Cronobacter_malonaticus
18,Neisseria_flavescens,Clostridium_sp_CAG_510
19,Porphyromonas_asaccharolytica,Streptococcus_pyogenes
20,Streptococcus_vestibularis,Actinomyces_sp_oral_taxon_414
21,Harryflintia_acetispora,Bifidobacterium_ruminantium
22,Alistipes_sp_An31A,Eubacterium_infirmum
23,Bacteroides_salanitronis,Ruminococcus_sp_CAG_403
24,Fusobacterium_naviforme,Ruminococcus_sp_CAG_579
25,Eubacterium_sp_CAG_274,Saccharomyces_cerevisiae
26,Marvinbryantia_formatexigens,Anaerotruncus_sp_CAG_528
27,Corynebacterium_glutamicum,Anaerobiospirillum_thomasii
28,Clostridium_hylemonae,Treponema_succinifaciens
29,Parabacteroides_gordonii,Streptococcus_macedonicus
30,Bacteroides_heparinolyticus,Candidatus_Gastranaerophilales_bacterium_HUM_9
31,Proteus_mirabilis,Ruminococcus_sp_CAG_563
32,Campylobacter_concisus,Phascolarctobacterium_succinatutens
33,Actinomyces_oris,Pseudomonas_fluorescens_group
34,Peptoniphilus_harei,Campylobacter_jejuni
35,Bacteroides_massiliensis,Lactobacillus_pentosus
36,Aggregatibacter_sp_oral_taxon_458,Enterococcus_hirae
37,Streptococcus_gordonii,Streptococcus_gallolyticus
38,Bifidobacterium_pullorum,Firmicutes_bacterium_CAG_95
39,Bifidobacterium_catenulatum,Bacteroides_sp_CAG_530
40,Blautia_sp_An249,Firmicutes_bacterium_CAG_170
41,Atopobium_rimae,Butyrivibrio_sp_CAG_318
42,Macrococcus_caseolyticus,Escherichia_albertii
43,Eubacterium_nodatum,Prevotella_sp_885
44,Paraclostridium_bifermentans,Lactobacillus_agilis
45,Phascolarctobacterium_faecium,Oscillibacter_sp_57_20
46,Actinomyces_sp_HMSC035G02,Rhodococcus_qingshengii
47,Aeriscardovia_aeriphila,Klebsiella_variicola_CAG_634
48,Lactobacillus_farciminis,Corynebacterium_accolens
49,Flavonifractor_plautii,Prevotella_sp_CAG_5226
50,Methanosphaera_sp_SHI1033,Escherichia_marmotae
51,Prevotella_sp_oral_taxon_306,Streptococcus_salivarius_CAG_79
52,Megasphaera_elsdenii,Prevotella_copri
53,Absiella_dolichum,Roseburia_sp_CAG_182
54,Odoribacter_splanchnicus,Weissella_confusa
55,Staphylococcus_sciuri,Prevotella_sp_CAG_873
56,Bacteroides_sp_OM08_11,Lactobacillus_animalis
57,Faecalicatena_orotica,Cutibacterium_acnes
58,Clostridium_bolteae_CAG_59,Streptococcus_infantarius
59,Streptococcus_sp_F0442,Desulfovibrio_piger
60,Morganella_morganii,Holdemanella_biformis
61,Rothia_mucilaginosa,Eubacterium_coprostanoligenes
62,Sporanaerobacter_sp_PP17_6a,Lactococcus_garvieae
63,Streptococcus_equinus,Variovorax_paradoxus
64,Campylobacter_ureolyticus,Lactobacillus_ruminis
65,Prevotella_sp_CAG_485,Escherichia_fergusonii
66,Streptococcus_australis,Brachyspira_pilosicoli
67,Clostridium_leptum,Bifidobacterium_moukalabense
68,Citrobacter_freundii,Prevotella_sp_AM42_24
69,Pediococcus_acidilactici,Zymomonas_mobilis
70,Anaeroglobus_geminatus,Negativicoccus_succinicivorans
71,Parabacteroides_merdae,Treponema_porcinum
72,Phyllobacterium_myrsinacearum,Lactobacillus_equicursoris
73,Bacteroides_caecimuris,Clostridium_sp_CAG_590
74,Prevotella_buccalis,Campylobacter_upsaliensis
75,Blautia_hydrogenotrophica,Oscillibacter_sp_CAG_241
76,Proteus_vulgaris,Blastocystis_sp_subtype_1
77,Parabacteroides_johnsonii,Acinetobacter_towneri
78,Streptococcus_sp_HMSC034E03,Stenotrophomonas_rhizophila
79,Stomatobaculum_longum,Firmicutes_bacterium_CAG_534
80,Staphylococcus_capitis,Firmicutes_bacterium_CAG_110
81,Oribacterium_asaccharolyticum,Staphylococcus_aureus
82,Bacteroides_sp_43_108,Actinomyces_meyeri
83,Lactobacillus_acidophilus,Lactococcus_petauri
84,Enterococcus_gilvus,Eubacterium_sp_CAG_251
85,Firmicutes_bacterium_CAG_646,Helicobacter_cinaedi
86,Malassezia_restricta,Campylobacter_coli
87,Fusobacterium_hwasookii,Coprococcus_eutactus
88,Faecalicoccus_pleomorphus,Pantoea_dispersa
89,Prevotella_jejuni,Gemella_asaccharolytica
90,Fusobacterium_necrophorum,Acinetobacter_ursingii
91,Bacillus_cereus_group,Ruminococcus_sp_CAG_488
92,Alistipes_inops,Neisseria_mucosa
93,Veillonella_denticariosi,Vibrio_cholerae
94,Eubacterium_maltosivorans,Prevotella_sp_CAG_1092
95,Streptococcus_thermophilus,Prevotella_sp_CAG_279
96,Alloscardovia_omnicolens,Helicobacter_pylori
97,Gemella_bergeri,Firmicutes_bacterium_CAG_791
98,Akkermansia_muciniphila,Fusobacterium_equinum
99,Candidatus_Stoquefichus_sp_KLE1796,Leptotrichia_wadei
100,Streptococcus_agalactiae,Eubacterium_sp_CAG_786
101,Bifidobacterium_kashiwanohense,Ruminococcus_obeum_CAG_39
102,Pseudomonas_aeruginosa_group,Cetobacterium_somerae
103,Eubacteriaceae_bacterium_CHKCI005,Catenibacterium_mitsuokai
104,Collinsella_stercoris,Porphyromonas_somerae
105,Bacteroides_clarus,Prevotella_sp_CAG_520
106,Allisonella_histaminiformans,Helicobacter_sp_11_8110
107,Solobacterium_moorei,Streptococcus_lutetiensis
108,Haemophilus_parainfluenzae,Ruminococcus_sp_CAG_330
109,Gemmiger_sp_An194,Butyrivibrio_crossotus
110,Fusobacterium_mortiferum,Acinetobacter_bereziniae
111,Anaerofustis_stercorihominis,Clostridium_ventriculi
112,Bacteroides_intestinalis,Corynebacterium_matruchotii
113,Bacteroides_dorei,Providencia_rettgeri
114,Bacteroides_galacturonicus,Brachyspira_sp_CAG_700
115,Lysinibacillus_sp_B2A1,
116,Mogibacterium_pumilum,
117,Porphyromonas_uenonis,
118,Lactobacillus_gallinarum,
119,Bifidobacterium_saeculare,
120,Bacteroides_fragilis,
121,Lactobacillus_amylovorus,
122,Morococcus_cerebrosus,
123,Streptococcus_salivarius,
124,Parvimonas_micra,
125,Corynebacterium_variabile,
126,Paeniclostridium_sordellii,
127,Bacteroides_coprophilus,
128,Neisseria_sicca,
129,Veillonella_tobetsuensis,
130,Campylobacter_showae,
131,Streptococcus_mitis,
132,Streptococcus_massiliensis,
133,Prevotella_corporis,
134,Eubacterium_ramulus,
135,Actinomyces_graevenitzii,
136,Paraprevotella_xylaniphila,
137,Selenomonas_sp_FOBRC6,
138,Enterococcus_malodoratus,
139,Barnesiella_intestinihominis,
140,Enterococcus_faecium,
141,Bacteroides_thetaiotaomicron,
142,Flavonifractor_sp_An100,
143,Lactobacillus_salivarius,
144,Tissierellia_bacterium_KA00581,
145,Enterococcus_durans,
146,Acidaminococcus_sp_CAG_542,
147,Dysgonomonas_mossii,
148,Bacteroides_sp_D2,
149,Leuconostoc_garlicum,
150,Rikenella_microfusus,
151,Lactococcus_piscium,
152,Desulfovibrio_fairfieldensis,
153,Acidaminococcus_intestini,
154,Peptostreptococcus_stomatis,
155,Raoultella_ornithinolytica,
156,Olsenella_uli,
157,Ruminococcaceae_bacterium_D5,
158,Christensenella_minuta,
159,Actinomyces_turicensis,
160,Eubacterium_limosum,
161,Citrobacter_amalonaticus,
162,Haemophilus_paraphrohaemolyticus,
163,Clostridium_paraputrificum,
164,Megamonas_funiformis,
165,Prevotella_nigrescens,
166,Murimonas_intestini,
167,Lachnoclostridium_sp_An14,
168,Acinetobacter_johnsonii,
169,Cloacibacterium_normanense,
170,Bacteroides_stercoris,
171,Actinomyces_sp_S6_Spd3,
172,Bacteroides_cellulosilyticus,
173,Coprobacter_fastidiosus,
174,Prevotella_sp_oral_taxon_473,
175,Prevotella_sp_CAG_617,
176,Atopobium_vaginae,
177,Synergistes_jonesii,
178,Lactobacillus_parabuchneri,
179,Parabacteroides_sp_CAG_409,
180,Corynebacterium_casei,
181,Enterorhabdus_caecimuris,
182,Coprobacter_secundus,
183,Bacteroides_fluxus,
184,Veillonella_rodentium,
185,Eggerthia_catenaformis,
186,Parascardovia_denticolens,
187,Klebsiella_oxytoca,
188,Dialister_invisus,
189,Terrisporobacter_othiniensis,
190,Blautia_sp_CAG_257,
191,Blautia_wexlerae,
192,Clostridium_innocuum,
193,Lactobacillus_vaginalis,
194,Lactobacillus_sakei,
195,Eubacterium_dolichum_CAG_375,
196,Megamonas_hypermegale,
197,Succinatimonas_hippei,
198,Rothia_dentocariosa,
199,Bacteroides_faecis,
200,Roseburia_intestinalis,
201,Parabacteroides_sp_426_9,
202,Clostridium_sp_chh4_2,
203,Shuttleworthia_satelles,
204,Dialister_succinatiphilus,
205,Clostridium_sp_D5,
206,Corynebacterium_argentoratense,
207,Clostridioides_difficile,
208,Clostridium_butyricum,
209,Veillonella_infantium,
210,Streptococcus_oralis,
211,Desulfovibrio_sp_An276,
212,Prevotella_histicola,
213,Bifidobacterium_scardovii,
214,Lactobacillus_ultunensis,
215,Lactobacillus_crustorum,
216,Alistipes_indistinctus,
217,Enterococcus_italicus,
218,Fusobacterium_ulcerans,
219,Abiotrophia_sp_HMSC24B09,
220,Eisenbergiella_massiliensis,
221,Prevotella_disiens,
222,Dysgonomonas_sp_37_18,
223,Pseudoflavonifractor_sp_An184,
224,Prevotella_denticola,
225,Alkalibacterium_thalassium,
226,Streptococcus_sobrinus,
227,Prevotella_oralis,
228,Clostridium_asparagiforme,
229,Aggregatibacter_segnis,
230,Gemella_morbillorum,
231,Clostridium_lavalense,
232,Bacteroides_faecichinchillae,
233,Vibrio_fluvialis,
234,Actinomyces_hongkongensis,
235,Raoultella_planticola,
236,Fretibacterium_fastidiosum,
237,Oribacterium_sp_oral_taxon_078,
238,Campylobacter_gracilis,
239,Peptoniphilus_duerdenii,
240,Bifidobacterium_adolescentis,
241,[Collinsella]_massiliensis,
242,Actinomyces_sp_oral_taxon_181,
243,Alistipes_onderdonkii,
244,Tyzzerella_sp_An114,
245,Collinsella_intestinalis,
246,Bacteroides_finegoldii,
247,Anaerofilum_sp_An201,
248,Streptococcus_sinensis,
249,Prevotella_salivae,
250,Cardiobacterium_valvarum,
251,Odoribacter_laneus,
252,Mitsuokella_sp_oral_taxon_131,
