,Healthy,Unhealthy
0,Comamonas_aquatica,Phascolarctobacterium_sp
1,Ruminococcus_champanellensis,Clostridium_sp_7_2_43FAA
2,Streptococcus_sp_M334,Candidatus_Methanomassiliicoccus_intestinalis
3,Centipeda_periodontii,Corynebacterium_aurimucosum
4,Sphingopyxis_granuli,Halomonas_boliviensis
5,Streptococcus_sanguinis,Dickeya_fangzhongdai
6,Aggregatibacter_aphrophilus,Moraxella_osloensis
7,Citrobacter_pasteurii,Monoglobus_pectinilyticus
8,Pseudomonas_fragi,Prevotella_sp_CAG_924
9,Aeromonas_allosaccharophila,Serratia_liquefaciens
10,Clostridium_sp_SY8519,Brevibacterium_linens
11,Flavonifractor_sp_An306,Lactobacillus_johnsonii
12,Streptococcus_sp_oral_taxon_056,Alistipes_sp_CAG_831
13,Staphylococcus_equorum,Prevotella_sp_CAG_617
14,Actinobaculum_massiliense,Atopobium_vaginae
15,Pseudoalteromonas_undina,Anaerococcus_lactolyticus
16,Citrobacter_portucalensis,Enterococcus_thailandicus
17,Comamonas_kerstersii,Bacteroides_sp_CAG_443
18,Prevotella_stercorea,Lactobacillus_fuchuensis
19,Clostridium_perfringens,Peptoniphilus_sp_HMSC062D09
20,Methanosphaera_stadtmanae,Bacteroides_sp_CAG_661
21,Kluyvera_intestini,Bacteroides_salanitronis
22,Porphyromonas_asaccharolytica,Arcobacter_butzleri
23,Cronobacter_malonaticus,Bacteroides_fluxus
24,Fusobacterium_naviforme,Eubacterium_sp_68_3_10
25,Clostridium_sp_CAG_510,Prevotella_sp_CAG_755
26,Corynebacterium_glutamicum,Marvinbryantia_formatexigens
27,Clostridium_hylemonae,Bacteroides_sp_CAG_927
28,Pantoea_brenneri,Clostridium_sp_MSTE9
29,Proteus_mirabilis,Streptococcus_peroris
30,Fusobacterium_sp_oral_taxon_370,Bifidobacterium_pullorum
31,Actinomyces_oris,Bacteroides_xylanolyticus
32,Campylobacter_concisus,Lactobacillus_paragasseri
33,Peptoniphilus_harei,Pyramidobacter_piscolens
34,Aggregatibacter_sp_oral_taxon_458,Campylobacter_hominis
35,Klebsiella_aerogenes,Mageeibacillus_indolicus
36,Streptococcus_gordonii,Bacteroides_sp_CAG_633
37,Streptococcus_macedonicus,Clostridium_baratii
38,Atopobium_rimae,Lactobacillus_farciminis
39,Macrococcus_caseolyticus,Aeriscardovia_aeriphila
40,Eubacterium_nodatum,Desulfovibrionaceae_bacterium
41,Pseudomonas_fluorescens_group,Candidatus_Methanomethylophilus_sp_1R26
42,Paraclostridium_bifermentans,Prevotella_sp_oral_taxon_306
43,Campylobacter_jejuni,Lachnoclostridium_sp_An196
44,Actinomyces_sp_HMSC035G02,Desulfovibrio_legallii
