"","b","hub","c"
"Faecalibacterium_prausnitzii",0,1,42
"Lactococcus_lactis",0,2,12
"Actinomyces_sp_ICM47",0,10,2
"Streptococcus_salivarius",0,1,23
"Clostridium_clostridioforme",0,1,35
"Propionibacterium_freudenreichii",0,1,41
"Streptococcus_oralis",0,1,25
"Klebsiella_pneumoniae",0,2,21
"Lachnoclostridium_sp_An118",1.453065969195e-05,9,3
"Prevotella_sp_CAG_520",0.000503729535987601,7,16
"Lachnospira_pectinoschiza",0,1,31
"Prevotella_stercorea",0,2,16
"Firmicutes_bacterium_CAG_110",0,1,39
"Paraprevotella_xylaniphila",0,1,27
"Agathobaculum_butyriciproducens",0,0,42
"Veillonella_atypica",0,1,23
"Oscillibacter_sp_CAG_241",0,0,39
"Streptococcus_parasanguinis",5.81226387678001e-05,0,23
"Firmicutes_bacterium_CAG_238",0,1,37
"Monoglobus_pectinilyticus",0,1,34
"Asaccharobacter_celatus",0,1,33
"Adlercreutzia_equolifaciens",0,0,33
"Atopobium_rimae",0,9,2
"Streptococcus_anginosus_group",0,2,18
"Lactobacillus_paragasseri",0,1,26
"Lactobacillus_gasseri",0,0,26
"Lactobacillus_gastricus",2.90613193839e-05,3,17
"Streptococcus_mutans",0.000581226387678001,3,12
"Lactobacillus_crispatus",0.0001743679163034,2,10
"Lactobacillus_delbrueckii",0,7,3
"Enterococcus_faecium",5.81226387678001e-05,2,22
"Lactobacillus_oris",0,2,12
"Lactobacillus_fermentum",0,0,41
"Prevotella_sp_CAG_755",0,1,38
"Clostridium_sp_CAG_590",0,2,16
"Ruminococcus_sp_CAG_403",0.0001162452775356,2,14
"Parasutterella_excrementihominis",0,1,36
"Roseburia_sp_CAG_182",0.00680034873583261,2,7
"Oscillibacter_sp_PC13",0.004940424295263,5,1
"Proteobacteria_bacterium_CAG_139",0,0,36
"Pseudoflavonifractor_capillosus",0,0,22
"Actinomyces_odontolyticus",0,8,2
"Anaerotruncus_sp_CAG_528",0,1,32
"Bifidobacterium_angulatum",0,1,17
"Blastocystis_sp_subtype_1",0,2,1
"Bacteroides_coprophilus",0.002324905550712,2,7
"Prevotella_bivia",0,3,13
"Paraprevotella_clara",0,0,27
"Firmicutes_bacterium_CAG_555",0,1,28
"Cloacibacillus_porcorum",0.00557977332170881,2,1
"Klebsiella_variicola",0,1,21
"Enterococcus_faecalis",0,1,30
"Prevotella_sp_CAG_1185",0,0,12
"Prevotella_sp_CAG_5226",0,2,16
"Pseudoflavonifractor_sp_An184",0,0,10
"Roseburia_sp_CAG_303",0.0002615518744551,4,1
"Prevotella_sp_CAG_1092",0.0015402499273467,8,16
"Streptococcus_lutetiensis",0,4,9
"Butyricicoccus_pullicaecorum",0,4,8
"Absiella_dolichum",0,7,2
"Eubacterium_dolichum_CAG_375",0,6,2
"Tyzzerella_nexilis",0.0002615518744551,3,1
"Eisenbergiella_massiliensis",0,0,35
"Prevotella_sp_AM42_24",0.0011140172430495,4,16
"Butyrivibrio_sp_CAG_318",0.0012205754141238,1,7
"Megasphaera_elsdenii",0,1,40
"Ruminococcus_sp_CAG_330",0.0001743679163034,2,10
"Anaerotignum_lactatifermentans",0,0,22
"Prevotella_sp_CAG_1320",0.000871839581517001,5,7
"Prevotella_sp_CAG_617",0.000871839581517001,4,7
"Flavonifractor_sp_An10",0,3,8
"Anaerofilum_sp_An201",0.0002712389809164,4,11
"Cloacibacillus_evryensis",0,0,37
"Pyramidobacter_piscolens",0.0001743679163034,4,15
"Lactobacillus_johnsonii",0.0001162452775356,1,14
"Massiliomicrobiota_timonensis",0,7,4
"Pyramidobacter_sp_C12_8",0,2,15
"Dialister_succinatiphilus",0,0,7
"Bacteroides_sp_CAG_530",0,2,16
"Butyrivibrio_crossotus",0,2,16
"Lactobacillus_acidophilus",0,0,38
"Citrobacter_koseri",0,2,19
"Ruminococcus_sp_CAG_563",0,1,1
"Mogibacterium_diversum",0,1,3
"Fretibacterium_fastidiosum",0,0,15
"Streptococcus_australis",0,1,18
"Rothia_mucilaginosa",0.000581226387678001,6,2
"Eubacterium_sp_OM08_24",0,0,2
"Lactobacillus_rogosae",0,0,31
"Hafnia_paralvei",0,7,4
"Hafnia_alvei",0,0,30
"Lactobacillus_sakei",0,3,9
"Christensenella_minuta",0,0,32
"Enterococcus_durans",0,5,6
"Prevotella_sp_CAG_1031",0,0,14
"Bacteroides_sp_CAG_598",0,1,29
"Mitsuokella_multacida",0,0,40
"Megasphaera_sp_DISK_18",0.0035745422842197,3,1
"Klebsiella_quasipneumoniae",0,0,21
"Alloscardovia_omnicolens",0.000224187320961515,8,4
"Streptococcus_infantis",0,0,25
"Streptococcus_sp_A12",0,0,18
"Clostridium_hylemonae",0,4,6
"Ruminococcus_champanellensis",0.000871839581517001,3,7
"Megamonas_hypermegale",0,1,24
"Prevotella_sp_885",0.000503729535987601,2,16
"Firmicutes_bacterium_CAG_791",0.0015402499273467,4,16
"Bacteroides_sp_CAG_462",0,2,11
