"","b","hub","c"
"Actinomyces_sp_ICM47",0,1,29
"Streptococcus_salivarius",0,1,28
"Clostridium_celatum",0.0060126604940014,4,1
"Streptococcus_pasteurianus",0.0193739250085999,10,2
"Propionibacterium_freudenreichii",0,1,1
"Actinomyces_sp_oral_taxon_181",0.0195546721675192,19,3
"Streptococcus_oralis",0,1,4
"Klebsiella_pneumoniae",0,1,12
"Actinomyces_sp_HPA0247",0.00222373188031183,19,3
"Lachnoclostridium_sp_An118",0.0140034613293117,4,1
"Atopobium_parvulum",0.0361556168203136,26,2
"Actinomyces_sp_S6_Spd3",0.00222373188031183,17,3
"Collinsella_aerofaciens",0,1,16
"Prevotella_sp_CAG_520",0,1,27
"Lachnospira_pectinoschiza",0,1,26
"Prevotella_stercorea",0,0,27
"Haemophilus_parainfluenzae",0,1,8
"Veillonella_dispar",0.000298130948285747,4,8
"Veillonella_infantium",2.29331498681344e-05,3,8
"Veillonella_atypica",2.29331498681344e-05,2,8
"Clostridium_perfringens",0.000363712150229766,5,2
"Streptococcus_parasanguinis",0,0,28
"Veillonella_sp_T11011_6",0,0,8
"Asaccharobacter_celatus",0,1,18
"Adlercreutzia_equolifaciens",0,0,18
"Collinsella_stercoris",0,0,16
"Atopobium_rimae",0.0162187145881931,18,4
"Lactobacillus_salivarius",0,1,13
"Streptococcus_anginosus_group",0.00506075526793164,4,4
"Lactobacillus_paragasseri",0,0,13
"Lactobacillus_oris",0.00811833505331957,1,1
"Clostridium_sp_CAG_590",0.00402476780185758,2,6
"Parasutterella_excrementihominis",0,2,11
"Proteobacteria_bacterium_CAG_139",0,1,11
"Methanosphaera_stadtmanae",0,2,10
"Actinomyces_odontolyticus",0.0379849405649199,9,2
"Turicimonas_muris",0,0,11
"Veillonella_parvula",0,0,8
"Bacteroides_pectinophilus",0.0239766081871345,2,6
"Bacteroides_sp_CAG_633",0,1,21
"Streptococcus_sobrinus",0.0162187145881931,17,4
"Klebsiella_variicola",6.87994496044032e-05,1,12
"Streptococcus_gordonii",8.94690677972411e-05,1,4
"Prevotella_sp_CAG_1092",3.43997248022016e-05,1,6
"Streptococcus_lutetiensis",0,2,9
"Butyricicoccus_pullicaecorum",0.0245846755663531,16,2
"Absiella_dolichum",0,1,19
"Eubacterium_dolichum_CAG_375",0,0,19
"Tyzzerella_nexilis",0.00811833505331957,8,2
"Alistipes_sp_An66",0.00874517448304858,3,7
"Prevotella_sp_CAG_617",0,1,17
"Pyramidobacter_piscolens",0.00484311607020879,8,2
"Massiliomicrobiota_timonensis",0,0,17
"Pyramidobacter_sp_C12_8",0.0245846755663531,13,2
"Ruminococcus_sp_CAG_488",0,1,14
"Mitsuokella_jalaludinii",0,1,25
"Prevotella_sp_CAG_924",0,1,9
"Lactobacillus_amylovorus",0,6,2
"Clostridium_sp_CAG_964",0.0307380652065895,8,2
"Lactobacillus_acidophilus",0,1,15
"Varibaculum_cambriense",0.0245846755663531,10,2
"Streptococcus_sanguinis",0.0771624932163281,19,2
"Ruminococcus_sp_CAG_563",0,0,14
"Mogibacterium_diversum",0,1,1
"Streptococcus_australis",0,1,2
"Lactobacillus_rogosae",0,0,26
"Bacteroides_sp_43_108",0,0,9
"Lactobacillus_sakei",0.0466460268317853,2,6
"Mitsuokella_multacida",0,0,25
"Megasphaera_sp_DISK_18",0.000481596147230822,4,2
"Klebsiella_quasipneumoniae",0,0,12
"Alloscardovia_omnicolens",0.00389963894115184,2,4
"Streptococcus_infantis",0.0115166832194696,2,4
"Streptococcus_sp_A12",0,0,2
"Firmicutes_bacterium_CAG_534",0.00402476780185758,0,6
"Actinomyces_graevenitzii",0,0,29
"Megamonas_hypermegale",0,1,23
"Clostridium_sp_CAG_510",0,1,7
"Actinomyces_turicensis",0.00599931200550396,3,2
"Prevotella_melaninogenica",0.00222373188031183,16,3
"Neisseria_flavescens",0.0245846755663531,8,2
"Prevotella_histicola",0.00222373188031183,15,3
"Oribacterium_sinus",0.0245846755663531,7,2
"Prevotella_jejuni",0.00222373188031183,14,3
"Prevotella_salivae",0.00222373188031183,13,3
"Prevotella_buccae",0.0361556168203136,15,2
"Actinomyces_sp_HMSC035G02",0.0245846755663531,5,2
"Fusobacterium_nucleatum",0,1,4
"Clostridium_paraputrificum",0,10,4
"Prevotella_buccalis",0.0374613003095975,4,4
"Finegoldia_magna",0.00266024538470359,4,5
"Megamonas_funiformis",0,0,23
"Alloprevotella_tannerae",0.00222373188031183,11,3
"Morganella_morganii",0.0245846755663531,4,2
"Bifidobacterium_kashiwanohense",0.0160990712074303,3,1
"Prevotella_timonensis",0.06109391124871,2,4
"Anaerococcus_vaginalis",0.00266024538470359,3,5
"Peptoniphilus_sp_HMSC062D09",0.00266024538470359,2,5
