"","b","hub","c"
"Streptococcus_thermophilus",0,9,7
"Blautia_sp_CAG_257",0,1,42
"Clostridium_spiroforme",0,1,30
"Dorea_sp_CAG_317",0,4,9
"Clostridium_innocuum",0,1,34
"Klebsiella_pneumoniae",6.20732464307883e-05,2,23
"Ruthenibacterium_lactatiformans",0,1,14
"Collinsella_aerofaciens",0,1,41
"Prevotella_sp_CAG_520",0,1,37
"Oscillibacter_sp_57_20",0,2,4
"Odoribacter_splanchnicus",0.000124146492861577,2,4
"Slackia_isoflavoniconvertens",0.00037243947858473,7,5
"Dorea_longicatena",0,1,40
"Firmicutes_bacterium_CAG_83",0,1,4
"Parabacteroides_johnsonii",0,1,29
"Clostridium_perfringens",0,5,6
"Eubacterium_hallii",0,0,40
"Alistipes_putredinis",0.000558659217877095,2,4
"Veillonella_sp_T11011_6",0,1,35
"Monoglobus_pectinilyticus",6.20732464307883e-05,2,25
"Alistipes_shahii",0.000124146492861577,1,4
"Asaccharobacter_celatus",0,1,32
"Adlercreutzia_equolifaciens",0,0,32
"Ruminococcaceae_bacterium_D5",0,1,39
"Parvimonas_micra",0,2,18
"Collinsella_stercoris",0,0,41
"Ruminococcus_obeum_CAG_39",0,1,38
"Gemella_morbillorum",0,2,19
"Collinsella_intestinalis",0,3,13
"Streptococcus_milleri",0,3,15
"Harryflintia_acetispora",0,1,28
"Clostridium_symbiosum",0,1,14
"Lactobacillus_salivarius",0,3,16
"Streptococcus_anginosus_group",0,1,27
"Lactobacillus_paragasseri",0.00248292985723153,3,8
"Lactobacillus_gasseri",0.00127250155183116,7,8
"Actinomyces_oris",0,2,7
"Streptococcus_mutans",6.20732464307883e-05,1,27
"Lactobacillus_crispatus",0.00223463687150838,2,16
"Enterococcus_faecium",0,3,10
"Lactobacillus_oris",0,1,8
"Barnesiella_intestinihominis",0.000558659217877095,0,4
"Parasutterella_excrementihominis",0,1,26
"Alistipes_indistinctus",0,0,4
"Gemella_sanguinis",0,1,24
"Proteobacteria_bacterium_CAG_139",0,1,26
"Olsenella_scatoligenes",0,0,5
"Turicimonas_muris",6.20732464307883e-05,0,26
"Clostridium_bolteae",0,0,34
"Anaerotruncus_sp_CAG_528",0,5,5
"Bifidobacterium_angulatum",0,4,5
"Prevotella_bivia",0,1,21
"Sutterella_parvirubra",6.20732464307883e-05,1,21
"Firmicutes_bacterium_CAG_555",0,2,15
"Streptococcus_sobrinus",0,2,17
"Klebsiella_variicola",0,0,23
"Bifidobacterium_catenulatum",0,3,5
"Firmicutes_bacterium_CAG_145",0,0,28
"Streptococcus_lutetiensis",0,2,13
"Absiella_dolichum",0,1,13
"Eubacterium_dolichum_CAG_375",0,0,13
"Acidaminococcus_intestini",0,2,16
"Enorma_massiliensis",0,1,17
"Anaerotignum_lactatifermentans",0,11,2
"Cloacibacillus_evryensis",0,1,15
"Pyramidobacter_piscolens",0,0,27
"Lactobacillus_johnsonii",0,9,3
"Dialister_succinatiphilus",0.000341402855369336,1,16
"Ruminococcus_sp_CAG_488",0,0,39
"Bacteroides_sp_CAG_530",0,2,5
"Mitsuokella_jalaludinii",0,8,3
"Butyrivibrio_crossotus",0,4,6
"Clostridium_sp_CAG_964",0,1,36
"Lactobacillus_acidophilus",0,5,8
"Desulfovibrionaceae_bacterium",0,7,3
"Lactobacillus_rhamnosus",0,4,8
"Ruminococcus_sp_CAG_563",0,3,6
"Prevotella_corporis",0,1,22
"Mogibacterium_diversum",0,1,20
"Streptococcus_australis",0,1,24
"Hafnia_paralvei",0,2,1
