Source,Target,Correlation,Dissimilarity
1,69,0.75,0.2944679535077944
1,92,0.75,0.04937038433267007
1,173,0.75,0.07073278497970338
1,227,0.75,0.19904620806173617
1,635,0.75,0.03273517438787873
3,5,0.9764705882352942,0.26568506417222065
3,58,0.7592566023652966,0.2858831138703319
5,78,0.9764705882352942,0.26695961731340184
6,50,0.9482758620689655,0.2917545966103014
11,193,0.75,0.2946823465730777
11,314,0.75,0.2723309210242126
11,410,0.75,0.2853470612130129
13,41,0.9439607403367862,0.21792614124896392
13,96,0.919223842025064,0.07736483111753352
13,128,0.7333587976225691,0.10948300933107541
13,201,0.85655696808338,0.2840994985918323
19,143,0.75,0.17242033062456777
19,198,0.7592566023652966,0.29997963814672024
27,185,0.75,0.033778991047272326
28,124,0.9534625892455924,0.2541445093524468
28,437,0.7627700713964739,0.05671629857843764
40,49,0.75,0.1320651465027486
40,172,0.75,0.22705668537912796
41,96,0.911825823438008,0.1709006915128218
41,128,0.7627700713964739,0.21479506678445762
45,94,0.75,0.2300776327722903
49,171,0.75,0.07166802902597313
49,203,0.75,0.10614114615813877
49,204,0.75,0.13076183762613744
49,206,0.75,0.28952478003607696
49,223,0.75,0.06804390282455877
49,804,0.75,0.25900841242975925
55,111,0.7755533161038153,0.25353418627049606
56,128,0.8,0.2853138798036687
56,147,0.9219544457292888,0.279152350847715
57,116,0.7627700713964739,0.15888070572697635
58,196,0.75,0.18389340504014842
60,87,0.7342645197929272,0.14933515509656115
60,106,0.7135810121931264,0.1728123687188711
62,85,0.9029731455405516,0.14740463849009244
67,172,0.96875,0.24554236512194996
75,76,0.877185582105945,0.21497362922913252
76,87,0.7859732887924292,0.2849939875439926
76,106,0.8066567963922299,0.27463635454852425
76,140,0.7389335066653341,0.21638922785441464
82,172,0.8,0.22756070615841323
86,188,0.9294117647058824,0.2958871870838944
86,307,0.8677218312746247,0.22426910054408142
86,383,0.8677218312746247,0.2998118517694896
87,106,0.9764705882352942,0.2426725858446491
87,140,0.8677218312746247,0.20917260050397582
91,195,0.8677218312746247,0.24489955423485488
91,239,0.96875,0.19723186084995417
91,307,0.96875,0.22259092123558394
94,100,0.75,0.2910630160244066
95,120,0.96875,0.27333513127558207
96,111,0.7150228013783003,0.05756406954139224
96,128,0.7427813527082074,0.12446480118172334
96,147,0.7150228013783003,0.13833542349493635
96,201,0.9560892129252899,0.2897699120223345
108,116,0.8727272727272727,0.09629357011318941
111,128,0.8677218312746247,0.08046395923289688
117,120,0.75,0.09441197058466921
120,193,0.75,0.1633014596467525
120,314,0.75,0.26697184204592783
120,410,0.75,0.1717366600772425
124,437,0.8,0.285471002509136
128,147,0.8677218312746247,0.024278292815753926
131,437,0.8677218312746247,0.10742549095127148
143,258,0.75,0.2926344479097649
147,201,0.7135810121931264,0.2782051385714195
156,214,0.7592566023652966,0.06751661426186388
171,172,0.75,0.19472523857630628
172,203,0.75,0.20196986800729727
172,204,0.75,0.24125893121459718
172,223,0.75,0.1648733208220763
188,198,0.711764705882353,0.29904976777925113
195,239,0.8406055240472927,0.2204365747504993
198,258,0.7592566023652966,0.19460894610896803
395,542,0.96875,0.29990716835866316
