"x"
"1" "UNINTEGRATED|g__Absiella.s__Absiella_dolichum"
"2" "UNINTEGRATED|g__Acetobacter.s__Acetobacter_sp_CAG_267"
"3" "UNINTEGRATED|g__Acetobacter.s__Acetobacter_sp_CAG_977"
"4" "UNINTEGRATED|g__Acholeplasma.s__Acholeplasma_sp_CAG_878"
"5" "UNINTEGRATED|g__Acidaminococcus.s__Acidaminococcus_intestini"
"6" "UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_idrijaensis"
"7" "UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_lwoffii"
"8" "UNINTEGRATED|g__Actinomyces.s__Actinomyces_europaeus"
"9" "UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_HPA0247"
"10" "UNINTEGRATED|g__Actinomyces.s__Actinomyces_urogenitalis"
"11" "UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens"
"12" "UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens"
"13" "UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila"
"14" "UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii"
"15" "UNINTEGRATED|g__Alistipes.s__Alistipes_indistinctus"
"16" "UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii"
"17" "UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis"
"18" "UNINTEGRATED|g__Alistipes.s__Alistipes_shahii"
"19" "UNINTEGRATED|g__Alistipes.s__Alistipes_sp_An31A"
"20" "UNINTEGRATED|g__Alistipes.s__Alistipes_sp_An66"
"21" "UNINTEGRATED|g__Alistipes.s__Alistipes_sp_CAG_268"
"22" "UNINTEGRATED|g__Alistipes.s__Alistipes_sp_CAG_435"
"23" "UNINTEGRATED|g__Alistipes.s__Alistipes_sp_CAG_514"
"24" "UNINTEGRATED|g__Alistipes.s__Alistipes_timonensis"
"25" "UNINTEGRATED|g__Allisonella.s__Allisonella_histaminiformans"
"26" "UNINTEGRATED|g__Alloscardovia.s__Alloscardovia_omnicolens"
"27" "UNINTEGRATED|g__Anaerocolumna.s__Anaerocolumna_aminovalerica"
