taxon1,taxon2,Spearman Correlation,Bray Curtis Dissimilarity
26,28,0.7082390585830212,0.1257865051971864
167,230,0.7082390585830212,0.260334244469779
167,231,0.7082390585830212,0.278882192770758
167,232,0.7082390585830212,0.27973826146179004
203,531,0.7082390585830212,0.15234469637552617
203,751,0.7082390585830212,0.17070416014209147
295,325,0.8177886110914029,0.29029045905475
350,353,0.8178054134708711,0.15648298745878364
360,1148,0.7082390585830212,0.2116642495098877
360,1410,0.7082390585830212,0.26522969972378074
360,1412,0.7082390585830212,0.23061834526607497
360,1413,0.7082390585830212,0.15289044117239559
363,421,0.9999794543063774,0.1652750552850662
366,373,0.8674031866585693,0.21964535540131566
371,1470,0.8178054134708711,0.19504395089940962
384,629,0.7016193706683543,0.28511487584630146
395,1171,0.7082390585830212,0.16672653106264063
396,1132,0.7082390585830212,0.13023895850264375
396,1142,0.7093767693119922,0.2691488578077339
396,1476,0.7082390585830212,0.11569098449960882
396,1477,0.7082390585830212,0.11525536684770592
408,421,0.9999794543063774,0.1783548837286046
450,453,0.9999862589231119,0.14965219439318211
454,656,0.8151842422738491,0.27430347882132694
463,476,0.7082390585830212,0.28530086838254004
487,1463,0.7516077004197598,0.1292870547670871
515,534,0.7279318283004429,0.11774459253869439
519,532,0.8178054134708711,0.19474114232224968
519,1132,0.7082390585830212,0.22057355210322732
519,1170,0.7082390585830212,0.0654913545502496
519,1476,0.7082390585830212,0.23654491691472362
531,752,0.7082390585830212,0.2180760526950819
531,753,0.7082390585830212,0.2558443119885636
546,755,0.7082390585830212,0.03170037511121569
586,673,0.7082390585830212,0.14958632556516116
614,1520,0.7082390585830212,0.22895063619485292
614,1521,0.7082390585830212,0.12786181588469395
614,1522,0.7082390585830212,0.22683695710752
657,995,0.7082390585830212,0.09797927179549192
659,1521,0.7082390585830212,0.2376526169464016
659,1522,0.7082390585830212,0.10763901416944055
669,686,0.7082390585830212,0.26551715428136385
670,755,0.7082390585830212,0.05494966090508316
670,1359,0.7082390585830212,0.29079114954821694
674,676,0.817788611091403,0.13161812490162936
675,1513,0.7082390585830212,0.24142878729389766
676,1355,0.7082390585830212,0.29756185965548293
681,698,0.8673793482232416,0.0862726347218502
684,1501,0.7082390585830212,0.15778058115895247
684,1503,0.7082390585830212,0.2927945394045145
698,906,0.7770859603152808,0.18984509735140004
700,1059,0.7082390585830212,0.14611863683217188
700,1393,0.7082390585830212,0.1717930177820425
715,719,0.7082390585830212,0.25962603110611115
719,721,0.7082390585830212,0.11734279900873248
721,722,0.7082390585830212,0.24925561193640333
721,726,0.7082390585830212,0.25733616362395606
723,726,0.7082390585830212,0.05273648070009291
724,726,0.7082390585830212,0.036986213677940825
725,726,0.7082390585830212,0.02198931321919067
726,727,0.7082390585830212,0.04339489697187123
726,728,0.7082390585830212,0.04537591772185017
726,729,0.7082390585830212,0.1080406693313657
726,730,0.7082390585830212,0.11487540943727388
726,731,0.7082390585830212,0.12544682418815914
731,733,0.7082390585830212,0.2933326481033862
732,733,0.7082390585830212,0.11783522602532323
733,734,0.7082390585830212,0.12722426520249952
734,736,0.7082390585830212,0.2390592136907328
736,737,0.7082390585830212,0.1264940478753624
736,740,0.7082390585830212,0.2600781083343704
742,745,0.7082390585830212,0.22171605056358598
744,745,0.7082390585830212,0.19153908989392598
745,746,0.7082390585830212,0.27020701286702065
750,915,0.7754255316372544,0.2647178914840743
751,752,0.7082390585830212,0.12144217843869862
751,753,0.7082390585830212,0.16066173399995082
751,754,0.7082390585830212,0.20717283059281044
755,1354,0.7082390585830212,0.2845299584842839
755,1355,0.7082390585830212,0.26994624593404853
755,1357,0.7082390585830212,0.1319154715475582
755,1358,0.7082390585830212,0.10438637244556431
755,1360,0.7082390585830212,0.05313088248926613
755,1361,0.7082390585830212,0.06932879935592293
755,1362,0.7082390585830212,0.07065938067151048
755,1363,0.7082390585830212,0.11820909218581843
791,1042,0.7082390585830212,0.1309100353577942
796,1529,0.7082390585830212,0.25579988306150225
797,898,0.7048294823292232,0.2806365718645869
825,1455,0.7082390585830212,0.14454743097862258
825,1464,0.7082390585830212,0.23634799131903778
825,1466,0.7082390585830212,0.08486986217878936
825,1467,0.7082390585830212,0.14354639948294184
825,1468,0.7082390585830212,0.21833671950574435
833,1459,0.7082390585830212,0.07090549508095273
845,846,0.7082390585830212,0.20778610358011593
846,849,0.7082390585830212,0.19986499105070857
898,1466,0.7082390585830212,0.28975444762696106
898,1467,0.7082390585830212,0.21895805476170657
898,1468,0.7082390585830212,0.14573785842169576
898,1472,0.7082390585830212,0.10472962596286825
908,909,0.8673793482232417,0.07186979463747284
908,910,0.9999862589231119,0.05007357727372054
908,911,0.777043248323563,0.24654430892732812
909,910,0.8673674290055777,0.11717228509889152
910,911,0.7770539263214925,0.23384092811552087
914,915,0.8655616675295079,0.15468805628987264
930,1403,0.7082390585830212,0.24936235812592375
982,1135,0.7082390585830212,0.04021660535282469
982,1375,0.7082390585830212,0.11650737133143402
982,1376,0.7082390585830212,0.11365114270462814
982,1378,0.7082390585830212,0.10497056537989713
982,1379,0.7082390585830212,0.05170929384743427
982,1380,0.7082390585830212,0.17903501245245182
982,1381,0.7082390585830212,0.27111192913547333
982,1382,0.7082390585830212,0.27479917481511884
994,2089,0.7082390585830212,0.261723833686613
995,1353,0.7082390585830212,0.20928542286262283
995,1354,0.7082390585830212,0.24534278923028846
995,1355,0.7082390585830212,0.2606360792039603
996,998,0.7082390585830212,0.28325925257435386
997,998,0.7082390585830212,0.2969768670864414
999,1181,0.7082390585830212,0.21964601560972088
999,1366,0.7082390585830212,0.19981658647605582
999,1367,0.7082390585830212,0.19133078853516508
999,1368,0.7082390585830212,0.200109593902215
999,1369,0.7082390585830212,0.2264049771824582
999,1371,0.7082390585830212,0.2557161269295777
1017,1022,0.709362194674227,0.2950488694856596
1050,1298,0.7082390585830212,0.11821948646731069
1053,1157,0.7082390585830212,0.22706565495912193
1059,1143,0.7082390585830212,0.1574147561683996
1059,1389,0.7082390585830212,0.21828622352690227
1059,1394,0.7082390585830212,0.050573259957805525
1059,1395,0.7082390585830212,0.11513023972775643
1059,1396,0.7082390585830212,0.1432305207508884
1059,1398,0.7082390585830212,0.1607809028029496
1067,1530,0.7082390585830212,0.24920703745188386
1067,1531,0.7082390585830212,0.12798054953027174
1067,1533,0.7082390585830212,0.07014149442494813
1093,1409,0.7082390585830212,0.20362779534547074
1093,1410,0.7082390585830212,0.2637324528306032
1121,1496,0.7082390585830212,0.0943232026619244
1132,1475,0.7082390585830212,0.06458758708596503
1142,1475,0.7071031258206076,0.2576871456710233
1143,1393,0.7082390585830212,0.15417835946608377
1149,1477,0.7082390585830212,0.2919359784306232
1149,1479,0.7082390585830212,0.1867860212005834
1169,1483,0.7082390585830212,0.2546570616149729
1170,1475,0.7082390585830212,0.24103301421285817
1187,1575,0.7082390585830212,0.032857841808843026
1187,1762,0.7082390585830212,0.25947968479957306
1205,1206,0.7082390585830212,0.22527367489957048
1209,1575,0.7082390585830212,0.047497633112793
1209,1762,0.7082390585830212,0.24856411790115235
1231,1235,0.7082390585830212,0.2965277573418857
1232,1235,0.7082390585830212,0.05759551411572442
1232,1239,0.7082390585830212,0.22249744396192006
1233,1235,0.7082390585830212,0.027781303551197296
1233,1239,0.7082390585830212,0.19849034761794715
1235,1236,0.7082390585830212,0.007255129384436977
1235,1237,0.7082390585830212,0.021093358034076706
1235,1240,0.7082390585830212,0.11299332271532167
1235,1241,0.7082390585830212,0.1757748381925409
1235,1242,0.7082390585830212,0.21219093646730727
1236,1239,0.7082390585830212,0.17516188784741468
1237,1239,0.7082390585830212,0.1641133863089485
1239,1240,0.7082390585830212,0.13713372762334308
1239,1241,0.7082390585830212,0.19943561110791214
1239,1242,0.7082390585830212,0.2354860558911635
1240,1243,0.7082390585830212,0.2411091766139225
1241,1243,0.7082390585830212,0.18173666723555568
1242,1243,0.7082390585830212,0.14615995879015972
1243,1244,0.7082390585830212,0.08291186007216998
1243,1245,0.7082390585830212,0.15644502365091803
1275,1294,0.7082390585830212,0.2409316802654722
1275,1427,0.7082390585830212,0.13656800627106877
1298,1491,0.7082390585830212,0.2904307193357677
1327,1426,0.7082390585830212,0.26138257220127464
1343,1346,0.7082390585830212,0.2675998951883868
1344,1346,0.7082390585830212,0.1622515956770639
1345,1346,0.7082390585830212,0.16092530608095373
1350,1510,0.7082390585830212,0.054297924634488376
1350,1512,0.7082390585830212,0.250943967289695
1351,1352,0.7082390585830212,0.2477814455052964
1356,1501,0.7082390585830212,0.23114117591832944
1358,1359,0.7082390585830212,0.29722586276745894
1359,1360,0.7082390585830212,0.2925525881575127
1374,1575,0.7082390585830212,0.2707734572037216
1385,1505,0.7082390585830212,0.21462956658689883
1385,1507,0.7082390585830212,0.07225935517251733
1385,1508,0.7082390585830212,0.13670292181195098
1389,1393,0.7082390585830212,0.21392553236060569
1393,1394,0.7082390585830212,0.07680642166075126
1393,1395,0.7082390585830212,0.14103806910194208
1393,1396,0.7082390585830212,0.1689287723058911
1393,1398,0.7082390585830212,0.18632740595974046
1400,1403,0.7082390585830212,0.2903391392813234
1401,1403,0.7082390585830212,0.28546338283175976
1413,1416,0.7082390585830212,0.2592047353423053
1420,2110,0.7082390585830212,0.24004445013381515
1421,1479,0.7082390585830212,0.21382287676390616
1422,1477,0.7082390585830212,0.22470744764732806
1422,1479,0.7082390585830212,0.2616910675639274
1458,1459,0.7082390585830212,0.2174388587749334
1458,1460,0.7071031258206076,0.2898887859846281
1459,1462,0.7082390585830212,0.18564150444771962
1468,1470,0.7082390585830212,0.2367995875113054
1470,1472,0.7082390585830212,0.11579021316197911
1475,1476,0.7082390585830212,0.08134960300096367
1475,1477,0.7082390585830212,0.1714895154953859
1486,2004,0.7082390585830212,0.2213457667448736
1493,1970,0.817788611091403,0.2993265151434085
1497,2092,0.7082390585830212,0.2240160144359878
1510,1513,0.7082390585830212,0.26952945116941623
1512,1513,0.7082390585830212,0.10201008703291066
1513,1514,0.7082390585830212,0.13959830819373015
1527,1528,0.7082390585830212,0.1393571692005515
1528,1529,0.7082390585830212,0.07416098350790716
1531,1532,0.7082390585830212,0.2599370261211962
1532,1533,0.7082390585830212,0.14039695860672585
1696,1710,0.7082390585830212,0.224779724797794
1706,1970,0.7082390585830212,0.23699143927301866
1733,1895,0.9253163244889677,0.17959812813010279
1952,2003,0.7082390585830212,0.27806034051151945
1976,2039,0.7082390585830212,0.152958829273435
