taxon1,taxon2,Spearman Correlation,Bray Curtis Dissimilarity
5,9,0.8185793620542086,0.09852203744797626
7,10,0.7786484431333877,0.2460707164848083
9,10,0.8185793620542084,0.21547952162822445
20,47,0.8185793620542084,0.26728573809254397
26,47,0.8185793620542084,0.2529947551185209
32,47,0.8185793620542084,0.15003857421569727
43,47,0.8185793620542084,0.2530768062622343
43,72,0.9999457465277779,0.22059723543096493
70,72,0.9999457465277779,0.0882345966673866
70,113,0.9999457465277779,0.2347566659276278
72,80,0.9999457465277779,0.24351894769253013
80,113,0.9999457465277779,0.2323328742565957
80,132,0.9999457465277779,0.2664936534968633
88,129,0.7525903185132393,0.19202602397748242
93,1923,0.8171145467152129,0.2517854361638073
113,117,0.7070970899466644,0.21490025287153988
117,157,0.7525903185132393,0.2321573371848918
132,136,0.8186237752364589,0.2050136686255433
132,151,0.8186237752364589,0.21392473199091483
242,271,0.7107991689516207,0.2234778057251736
261,1037,0.8186237752364588,0.1979929642504944
271,469,0.7089458136322316,0.27573886992515706
271,472,0.7089458136322316,0.22856902679322497
271,476,0.7089458136322316,0.08639232158744634
282,400,0.7089458136322316,0.20955262503319183
285,1037,0.8186237752364588,0.1642876177749722
286,350,0.7089458136322316,0.24540499171201202
286,354,0.7089458136322316,0.1979995792644209
286,355,0.7089458136322316,0.18208610948705364
286,358,0.7089458136322316,0.2114664427648741
296,843,0.7089458136322316,0.2827972700177974
309,311,0.7089458136322316,0.09625564939191958
309,314,0.7089458136322316,0.19372548411015472
309,315,0.7089458136322316,0.20835982591759813
309,319,0.7089458136322316,0.2772540282127066
311,312,0.7089458136322315,0.05431212000556029
312,314,0.7089458136322316,0.12072063815420911
312,315,0.7089458136322316,0.1357206774154611
312,319,0.7089458136322316,0.2067867343800416
319,320,0.7089458136322315,0.2718007896970363
319,323,0.7089458136322315,0.281547022213206
323,325,0.7089458136322316,0.19067979790268905
328,335,0.7089458136322315,0.2170409980627123
335,350,0.7089458136322316,0.2557042505033902
339,350,0.7089458136322316,0.291622178716234
351,1895,0.7786201332770684,0.28434664179593105
353,700,0.7089458136322316,0.1502009787809568
362,376,0.9999338697233551,0.10962568540380005
362,886,0.8031246555714758,0.14431873952295723
366,1970,0.8031246555714758,0.28291161469526743
368,373,0.8368172249510654,0.24477610619889875
376,886,0.8030585252948308,0.17841580099126575
378,381,0.7089458136322315,0.29315399302282524
380,381,0.7089458136322315,0.26842766516806305
383,1159,0.7070970899466644,0.27316878019107904
390,886,0.7089680450535527,0.2853529886860162
395,396,0.7089458136322315,0.07135248545422825
396,400,0.7089458136322316,0.18964477531584328
