Sample	2-Aminoethylphosphonate-Degradation	Activation-Inactivation-Interconversion	All-Trans-Farnesyl-PP-Biosynthesis	Biosynthesis	Citrulline-Biosynthesis	Degradation	Detoxification	Energy-Metabolism	Fermentation	Macromolecule-Modification	Metabolic-Clusters	Photosynthesis	Respiration	Super-Pathways
ERR209069	4.0	141.33333333333331	11.0	10928.842546583852	6.5	3396.7373015873018	46.33333333333333	353.2527777777778	379.3621212121212	2.0	34.888888888888886	56.0	80.0	36.42857142857143
ERR209070	3.0	163.66666666666666	10.0	12685.004767454768	8.75	4014.003968253968	55.83333333333333	421.5075036075036	398.5477272727273	2.0	46.72222222222222	51.471428571428575	98.0	39.75
ERR209071	6.5	181.33333333333331	13.0	13867.514957264957	9.5	4204.229004329004	58.166666666666664	470.5717893217893	418.21022727272725	2.0	47.72222222222222	55.82857142857143	104.77777777777777	44.375
ERR209072	6.0	181.66666666666666	11.0	13668.902403152402	9.25	4338.4154761904765	54.0	519.0274891774892	438.3568181818182	2.0	52.72222222222222	68.5	102.66666666666666	52.166666666666664
ERR209082	8.0	70.33333333333333	2.5	6016.524033774033	3.75	1726.7039682539682	22.0	166.90952380952382	170.8287878787879	1.0	22.88888888888889	19.416666666666668	42.58333333333333	19.083333333333332
ERR209083	10.5	94.33333333333334	5.0	7964.322752247752	4.25	2243.251984126984	31.5	253.7420634920635	209.2073593073593	2.0	27.88888888888889	27.7	46.5	25.19047619047619
ERR209084	5.0	77.66666666666666	6.0	6595.384645909646	2.75	1751.7670274170275	28.0	209.16803751803752	204.78636363636363	0.0	21.555555555555557	15.95	38.44444444444444	17.035714285714285
ERR209085	5.0	66.99999999999999	5.5	5326.672239475501	3.5	1912.5396825396826	12.5	192.1706349206349	163.3677489177489	0.0	21.11111111111111	18.014285714285712	27.0	15.75
ERR209088	6.5	190.66666666666669	13.0	15122.50328210437	10.75	4864.925577200577	40.0	594.8873737373738	458.8688852813853	1.0	53.388888888888886	60.9	89.66666666666666	33.75
ERR209096	3.0	45.99999999999999	2.5	4232.703304736199	2.8	1556.8055555555557	34.0	159.80079365079365	138.87083333333334	1.0	23.666666666666664	13.0	47.9	15.75
