sample Group Biosynthesis_of_Cofactors_and_Vitamins Carbohydrate_metabolism Cellular_Structure_and_Modification_of_Macromolecules Central_metabolism_and_energy Lipid_metabolism Metabolism_of_Alcohols_and_Aldehydes Metabolism_of_Aromatic_Compounds_and_Xenobiotics Metabolism_of_Carboxylic_Acids Metabolism_of_amino_acids_and_derivatives Nucleotide_and_Nucleic_Acid_Metabolism Signaling_and_Regulation_Metabolism Specialized_and_Miscellaneous_Routes
train_10 H 0.00076409551 0.00028386665 0.00026948638 0.00044408691 0.00028040611 7.46097e-06 0.00026582659 0.00018569032 0.00089229838 0.00098204488 0 0.00032579151
train_100 NP 0.00922592307 0.005600570445 0.00366378167 0.008371513489 0.00280873674 0.000217785556 0.00332387879 0.00244451355 0.012592970046 0.01211642676 5.27231e-05 0.00465830648
train_1000 H 0.00796156816 0.00390911667 0.0028455731 0.00402757836 0.00322085238 5.98064267e-05 0.002581743626 0.001943976549 0.00961629364 0.01073124278 9.37357e-06 0.003943129163
train_1001 H 0.00890336414 0.003879357533 0.00336748918 0.005160646875 0.00391338977 0.00011624186 0.00236461995 0.00180631006 0.010391435978 0.0111537223 2.0421e-05 0.003890070211
train_1002 H 0.00878017107 0.003402716364 0.00351643154 0.005179453858 0.00340169082 0.00013333604 0.002204493205 0.00174007443 0.010302942507 0.010944482774 1.527804e-05 0.004616331543
train_1003 H 0.010964013834 0.006975967311 0.00416887709 0.008351429858 0.00437285392 0.000321389564 0.003552504441 0.0024703278 0.014398283187 0.0145137556 6.62669e-05 0.0049405125
train_1004 H 0.00776765723 0.003595344973 0.003262239968 0.00401215609 0.002279211317 0.000124499273 0.002304142821 0.00167630968 0.008511964058 0.010134091651 2.326756e-05 0.003684969698
train_1005 H 0.00851733624 0.006145839113 0.00305093364 0.005003186975 0.0033655079 0.000100367545 0.002726871523 0.002026421543 0.00916024966 0.0112002181 1.18932e-05 0.004230572787
train_1006 H 0.009704685024 0.003891410318 0.00291694813 0.005140784986 0.004171602817 0.00010286734 0.00265587544 0.00181004251 0.00980090336 0.01060412517 2.174921e-05 0.004081489831
train_1007 H 0.009296766678 0.00536464623 0.003183909276 0.005667247478 0.004220778863 0.000163334547 0.003128638972 0.00232259553 0.011850960037 0.01221852154 1.464364e-05 0.004540337361
train_1008 H 0.009416160204 0.004269123134 0.00300599046 0.005131093828 0.0045988847369 0.000116247136 0.003415473953 0.001625322228 0.010685892872 0.01248800225 2.03051e-06 0.004186665518
train_1009 H 0.00949055158 0.003577822072 0.0032658648 0.00391079678 0.00384782449 8.223077e-05 0.0030438769 0.00212763279 0.0093184431 0.01206813997 0 0.00368425868
train_101 NP 0.009337955003 0.005338976743 0.0028154722 0.009363838125 0.0059824455 0.00050850407 0.002893616177 0.002535829193 0.01177052593 0.010216558 0.0001142921 0.00536428486
train_1010 H 0.00872873376 0.004173798657 0.0024537551 0.00689970715 0.00507286267 0.00030423095 0.002641810494 0.001863800443 0.00976365266 0.01008675056 6.11394e-05 0.004449448875
train_1011 H 0.00950007335 0.00505937538 0.00342723874 0.00667512308 0.00375678572 0.000235478702 0.002812208402 0.0023140863 0.010978732341 0.01140927238 5.405253e-05 0.004571450342
train_1012 H 0.01064224 0.005272790853 0.00279049415 0.00928394122 0.00754841723 0.00049992427 0.002646247791 0.002749408538 0.011390624654 0.01011005762 0.0001168519 0.00579235919
train_1013 H 0.009014608137 0.00355261359 0.0028419331 0.004368686491 0.00477264726 0.00010586894 0.002541062278 0.00144742075 0.009522221322 0.01085851155 6.12244e-06 0.00386813768
train_1014 H 0.009287185486 0.00489060806 0.00303600738 0.005622707832 0.004579930598 0.00018508457 0.00293611261 0.00180876388 0.010863545479 0.01081673023 2.239387e-05 0.004231942274
train_1015 H 0.007610050205 0.00387084509 0.003069196176 0.00477464043 0.00277720375 0.00014242076 0.00237291087 0.00164565145 0.008546130498 0.01076842229 1.663172e-05 0.003702264198
train_1016 H 0.00802294877 0.00380135661 0.0027607036 0.00447088983 0.00409950452 0.00011040376 0.0022175182 0.0015649537 0.00896025101 0.00981478653 4.72728e-06 0.00363279789
train_1017 H 0.00926137112 0.00395119506 0.0030191535 0.00447745574 0.00339257884 9.554129e-05 0.00222949163 0.00162333082 0.00976999851 0.01047696898 9.80766e-06 0.00421451904
train_1018 H 0.00800692746 0.00491532428 0.00490946582 0.00356024713 0.00184138294 8.534601e-05 0.00206143883 0.0016885052 0.01065362916 0.0096523285 3.46992e-05 0.00362538158
train_1019 H 0.009893069255 0.003817721213 0.003187487112 0.004809894389 0.004941555137 8.4042344e-05 0.002758022622 0.00198630648 0.010709229507 0.0104499746 1.56611e-05 0.004279708386
train_102 NP 0.01059015117 0.006631947323 0.0042420902 0.008367658217 0.002340330163 0.000338403706 0.002370365973 0.003071153517 0.014198783822 0.01161346678 0.000106524 0.003936270014
train_1020 H 0.00772421286 0.003128013268 0.00379174963 0.003807830498 0.002165670335 6.2148578e-05 0.00265799144 0.001505190763 0.008846450661 0.01112609207 1.381541e-05 0.003953537407
train_1021 H 0.00840303637 0.00454471366 0.00294359574 0.00552545406 0.003148218576 0.00014352001 0.00293741741 0.00182234417 0.010852293312 0.0110036878 6.5319e-06 0.004209077374
train_1022 H 0.00729810015 0.00320118473 0.0023816455 0.00343878975 0.00318954283 6.5863112e-05 0.0023120475 0.0012862169 0.008136746081 0.00999060662 1.14784e-05 0.00334388862
train_1023 H 0.00773646905 0.00425451654 0.00454129942 0.00355756247 0.0025810589 3.596802e-05 0.0022091961 0.00133337248 0.01049915284 0.01142552371 2.28291e-06 0.00425787048
train_1024 H 0.0084758064 0.00484514753 0.00288677988 0.00773241522 0.005114287371 0.00036009412 0.002771317406 0.00213573535 0.01054177252 0.00983916391 5.85574e-05 0.00495231737
train_1025 H 0.00965813957 0.00427791693 0.0032719776 0.00426614084 0.00470242493 9.858576e-05 0.002871721 0.00207360328 0.01076217077 0.01177560725 0 0.00436450361
train_1026 H 0.00735339273 0.00417870498 0.0024740748 0.00777798759 0.00461007511 0.00038656225 0.002499836943 0.00180557676 0.00930412129 0.00936967738 4.642285e-05 0.004496107144
train_1027 H 0.01018180501 0.00516000411 0.002708103 0.01079284885 0.00735347385 0.00061124064 0.002680528958 0.00253459452 0.01179018418 0.010270733566 0.0001325 0.005978782747
train_1028 H 0.00724834823 0.003706933581 0.00250760966 0.00646388006 0.00362117498 0.0002165197 0.002121710511 0.00172950877 0.008998291073 0.00948068459 4.71497e-05 0.004292445851
train_1029 H 0.008085816058 0.004286856944 0.002996595087 0.00611992811 0.003124793516 0.000174329344 0.00317048065 0.00205413693 0.010460053614 0.01186122982 3.85101e-05 0.0045326595647
train_103 NP 0.0088284801 0.005124675636 0.00350307587 0.008275483047 0.004324040304 0.00031923469 0.00272067225 0.0026015438 0.011973526171 0.01092344335 7.88326e-05 0.00476704103
train_1030 H 0.00883452988 0.00470178159 0.00367255019 0.00477630632 0.00322755317 5.742469e-05 0.002541749632 0.00211376576 0.0108213113 0.0111765704 1.28973e-05 0.00396054398
train_1031 H 0.0094807195 0.00430664434 0.00281906996 0.00751047534 0.00537746596 0.00033534994 0.0024651179 0.0021681904 0.01029390372 0.0096791933 6.71974e-05 0.00437273262
train_1032 H 0.00892823143 0.00389119553 0.00306021335 0.00403224137 0.00350956939 9.96868e-05 0.0027045502 0.00153169194 0.00988575589 0.01161556298 2.66486e-06 0.004168655705
train_1033 H 0.00939107733 0.005063110847 0.00261124705 0.01004487943 0.006568316927 0.00051020248 0.00308658421 0.00228397674 0.01096355691 0.01024004532 9.32624e-05 0.005482680256
train_1034 H 0.009295992 0.00444663263 0.00318538937 0.00461032261 0.004034994853 6.1475178e-05 0.003128692388 0.00156793645 0.009053245599 0.01243440084 6.97511e-07 0.004423801047
train_1035 H 0.00738285706 0.00318876133 0.00307877819 0.00457260591 0.00292403204 0.000137108763 0.002179176732 0.00134643075 0.008791305968 0.00967255724 1.94897e-05 0.004064137136
train_1036 H 0.00965132078 0.00392520244 0.00303552332 0.00439033401 0.00349834422 3.945836e-05 0.00277428534 0.00222806229 0.01022851741 0.01211482166 6.78642e-06 0.00411311605
train_1037 H 0.0063822811 0.003431848045 0.00237081122 0.004433432196 0.0026593673 0.000138574922 0.00183332859 0.00152063505 0.007610535819 0.00861442059 2.823602e-05 0.003058075084
train_1038 H 0.00810617803 0.00466529158 0.0030160084 0.005158435376 0.00225432489 9.800891e-05 0.00229438535 0.0020704019 0.00974204704 0.00971387336 3.00708e-05 0.00364745282
train_1039 H 0.00580149332 0.00307894055 0.0027508703 0.0047160061 0.00141082628 9.414384e-05 0.0022895403 0.0015301077 0.00790589801 0.009629285 1.84508e-05 0.0033998871
train_104 NP 0.00867617172 0.00589153236 0.0044412613 0.00759235077 0.0018111180598 0.000203472487 0.002965811299 0.002486841112 0.013647322816 0.01230373956 0.000101362925 0.004154509079
train_1040 H 0.00771561131 0.00389672331 0.00294747062 0.00504210931 0.00194155833 0.00011555908 0.00211925804 0.00234540193 0.01015907549 0.01052979807 4.34439e-05 0.00360697458
train_1041 MD 0.00646783758 0.00379971714 0.00277382752 0.00543345782 0.00165658705 0.00015501364 0.00216076891 0.00182546838 0.00939795771 0.0102428656 5.00241e-05 0.00353940447
train_1042 H 0.00437384727 0.00238599138 0.0018732186 0.00367464912 0.0011105854 7.319889e-05 0.0015520807 0.00114230317 0.0064435806 0.0071334743 3.83603e-05 0.00225210803
train_1043 H 0.007066555778 0.00422232095 0.00264965961 0.005484845298 0.00248753411 0.000167548306 0.00223704093 0.0017015432 0.00869519584 0.00904528542 2.896666e-05 0.003821809619
train_1044 MD 0.007535309409 0.004195521582 0.003008595 0.00604154692 0.002110732022 0.00016046382 0.002028618994 0.001774455382 0.00966006719 0.0097434549 6.27124e-05 0.003612457944
train_1045 H 0.00737457682 0.00495174597 0.0032274978 0.00760135795 0.00451511404 0.00034600082 0.00239299907 0.0022366574 0.01013487384 0.01027727252 6.2632e-05 0.004564064784
train_1046 H 0.00889140384 0.00551064461 0.003560113171 0.00584482927 0.002414039293 0.000131480202 0.002269950734 0.0027120182 0.011703618916 0.01127487056 4.790343e-05 0.00420203264
train_1047 H 0.009259432508 0.00514889709 0.0034415124 0.005993456962 0.002601291863 0.000156825913 0.00254729072 0.00282442416 0.01152854518 0.011541177868 4.0235118e-05 0.0041425800975
train_1048 MD 0.008222768101 0.004330613044 0.00309337953 0.005319644531 0.0028619573 0.000136926442 0.002103322795 0.00182264997 0.009920590921 0.00966908561 2.0225398e-05 0.004022733437
train_1049 MD 0.00818964287 0.00467411256 0.0032288544 0.00631639307 0.002368862954 0.000119432456 0.00237480505 0.002203486673 0.01004328135 0.01016311658 3.8630776e-05 0.00387948151
train_105 NP 0.00817742316 0.0050099174 0.00392522606 0.006663392711 0.002242967492 0.000227872559 0.0026723965 0.00248163334 0.012729655709 0.01173355281 6.88388e-05 0.004136606414
train_1050 H 0.00809337005 0.00461107054 0.0034532487 0.00543151291 0.00205907896 0.00011083403 0.002458820478 0.002439228213 0.01051234073 0.01117391989 2.96033e-05 0.003877010669
train_1051 H 0.00600389932 0.00304219268 0.00275062306 0.00457731028 0.001615765 9.182418e-05 0.0021864644 0.00147851787 0.00738953508 0.00960852199 1.26185e-05 0.003445917819
train_1052 H 0.00948214019 0.005685157609 0.0029209189 0.010630765209 0.0063872976 0.00081323932 0.00274068135 0.002721902884 0.012326049239 0.01107797028 0.0001311665 0.005745848667
train_1053 H 0.00805324939 0.00442868561 0.0031522387 0.00576844139 0.00200692735 0.0001447114 0.00187930044 0.00224266452 0.01064863783 0.00975366492 4.68094e-05 0.00328948394
train_1054 H 0.008738334746 0.004741318595 0.003149437246 0.005594154702 0.002315250267 0.000124875275 0.00224668561 0.002643470283 0.011161850858 0.01050319221 3.44981e-05 0.003934923011
train_1055 MD 0.00767547025 0.00476675978 0.00298624813 0.00770245987 0.00435194627 0.00031520588 0.0028378957 0.00230646279 0.010251516752 0.01058469284 7.699e-05 0.00448205059
train_1056 MD 0.00808577225 0.00451471514 0.002858077077 0.00599378137 0.00371989592 0.000227012062 0.001948227808 0.00166700844 0.00902972238 0.0093829211 4.25831e-05 0.003993817152
train_1057 H 0.00724206349 0.00378805255 0.00239776412 0.006600066914 0.00369674692 0.00032546601 0.0020016638 0.00189433 0.00895613173 0.00891370287 7.13263e-05 0.00398993283
train_1058 H 0.00732884957 0.00411719826 0.002839071 0.00521367018 0.00181185377 0.0001419334 0.00204682087 0.00213692454 0.00929677578 0.00938376057 5.51168e-05 0.00320051865
train_1059 MD 0.00680962795 0.00394968311 0.0027043615 0.00537782774 0.00152224971 0.00014156274 0.0019966692 0.0019549073 0.00896945878 0.00904016006 8.75021e-05 0.003288283151
train_106 NP 0.0104719195 0.00648229857 0.00345101461 0.011575791795 0.00640892808 0.00070651241 0.003195583823 0.003091706 0.014099572126 0.01172757667 0.0001863523 0.00620860271
train_1060 MD 0.00740543596 0.00448077716 0.00294817553 0.00471798952 0.0016640952 0.00016838966 0.00163625055 0.00232153341 0.01026821716 0.00882470946 6.18814e-05 0.003163862035
train_1061 H 0.00609488426 0.00383681324 0.00177507277 0.00754252305 0.00423368158 0.0004894195 0.001317264567 0.0017829944 0.007951282134 0.00698370459 9.59271e-05 0.00351397445
train_1062 MD 0.007198732922 0.004421928302 0.002814003474 0.006441473924 0.002233420018 0.000213688715 0.0026810856 0.001937913614 0.00979932779 0.00936169457 3.9892e-05 0.00376437119
train_1063 MD 0.00717917932 0.00362657399 0.0029055343 0.00484793631 0.00173466176 0.000113101794 0.00239597014 0.00167405348 0.00916963203 0.01079050704 2.35365e-05 0.003828844448
train_1064 MD 0.00730644963 0.00435258339 0.00279188421 0.00536027849 0.002103701577 9.848754e-05 0.00222169903 0.0021900783 0.00969322228 0.00892739746 2.87201e-05 0.00342906762
train_1065 MD 0.00837859015 0.00443754633 0.0024551159 0.00774112911 0.00488057368 0.00036460765 0.001971223008 0.0022847528 0.0091224355 0.00838590762 0.0001252991 0.004268106565
train_1066 MD 0.00756694145 0.00461296319 0.00269513369 0.006780623942 0.003171939346 0.00023973441 0.0026554082 0.0020103808 0.0098963284 0.0093625426 7.02049e-05 0.00384245213
train_1067 MD 0.00622444773 0.00413653399 0.0024941891 0.00468618915 0.00137926014 0.000139789098 0.0017209714 0.0017679172 0.00875035007 0.0084801179 9.70905e-05 0.00286760389
train_1068 MD 0.0083405007 0.00486458203 0.00289967981 0.00647073532 0.002344912942 0.00022029864 0.001848281667 0.00214409705 0.010801646918 0.0092150974 8.823487e-05 0.003305533047
train_1069 MD 0.00656710119 0.00346437101 0.0024904628 0.00588786777 0.00139851542 0.00024164339 0.00200335463 0.00182757522 0.00962761103 0.01003309018 8.62988e-05 0.00317686702
