	CD_path_merge_hub.txt	DD_path_merge_hub.txt	H_path_merge_hub.txt	ID_path_merge_hub.txt	MBD_path_merge_hub.txt	MD_path_merge_hub_major8.txt	NP_path_merge_hub.txt
AST-PWY	Metabolism of amino acids and derivatives	NA	NA	Metabolism of amino acids and derivatives	Metabolism of amino acids and derivatives	NA	NA
FAO-PWY	Lipid metabolism	NA	NA	NA	NA	NA	NA
GLYCOLYSIS-TCA-GLYOX-BYPASS	Central metabolism and energy	Central metabolism and energy	Central metabolism and energy	Central metabolism and energy	Central metabolism and energy	Central metabolism and energy	Central metabolism and energy
GLYOXYLATE-BYPASS	Central metabolism and energy	NA	Central metabolism and energy	Central metabolism and energy	Central metabolism and energy	NA	NA
KETOGLUCONMET-PWY	Metabolism of Carboxylic Acids	NA	NA	Metabolism of Carboxylic Acids	Metabolism of Carboxylic Acids	NA	NA
P105-PWY	Central metabolism and energy	Central metabolism and energy	Central metabolism and energy	Central metabolism and energy	Central metabolism and energy	NA	Central metabolism and energy
PWY-5136	Lipid metabolism	NA	NA	NA	NA	NA	NA
PWY-561	Central metabolism and energy	Central metabolism and energy	Central metabolism and energy	Central metabolism and energy	Central metabolism and energy	NA	Central metabolism and energy
PWY-5675	Specialized and Miscellaneous Routes	NA	NA	Specialized and Miscellaneous Routes	Specialized and Miscellaneous Routes	NA	NA
PWY-5723	Central metabolism and energy	NA	Central metabolism and energy	Central metabolism and energy	Central metabolism and energy	NA	NA
PWY-5838	Biosynthesis of Cofactors and Vitamins	NA	NA	Biosynthesis of Cofactors and Vitamins	NA	Biosynthesis of Cofactors and Vitamins	NA
PWY-5840	Biosynthesis of Cofactors and Vitamins	NA	NA	NA	NA	NA	NA
PWY-5850	Biosynthesis of Cofactors and Vitamins	NA	NA	NA	NA	NA	NA
PWY-5860	Biosynthesis of Cofactors and Vitamins	NA	NA	NA	NA	NA	NA
PWY-5896	Biosynthesis of Cofactors and Vitamins	NA	NA	NA	NA	NA	NA
PWY-5897	Biosynthesis of Cofactors and Vitamins	NA	NA	NA	NA	NA	NA
