	short	complete_path
1	AST-PWY	AST-PWY:_L-arginine_degradation_II_(AST_pathway)
2	FERMENTATION-PWY	FERMENTATION-PWY:_mixed_acid_fermentation
3	FUC-RHAMCAT-PWY	FUC-RHAMCAT-PWY:_superpathway_of_fucose_and_rhamnose_degradation
4	GALACTARDEG-PWY	GALACTARDEG-PWY:_D-galactarate_degradation_I
5	GLUCARDEG-PWY	GLUCARDEG-PWY:_D-glucarate_degradation_I
6	GLUCARGALACTSUPER-PWY	GLUCARGALACTSUPER-PWY:_superpathway_of_D-glucarate_and_D-galactarate_degradation
7	GLYCOLYSIS-TCA-GLYOX-BYPASS	GLYCOLYSIS-TCA-GLYOX-BYPASS:_superpathway_of_glycolysis,_pyruvate_dehydrogenase,_TCA,_and_glyoxylate_bypass
8	GLYOXYLATE-BYPASS	GLYOXYLATE-BYPASS:_glyoxylate_cycle
9	KETOGLUCONMET-PWY	KETOGLUCONMET-PWY:_ketogluconate_metabolism
10	P105-PWY	P105-PWY:_TCA_cycle_IV_(2-oxoglutarate_decarboxylase)
11	P4-PWY	P4-PWY:_superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_I
12	P441-PWY	P441-PWY:_superpathway_of_N-acetylneuraminate_degradation
13	P461-PWY	P461-PWY:_hexitol_fermentation_to_lactate,_formate,_ethanol_and_acetate
14	PWY-4702	PWY-4702:_phytate_degradation_I
15	PWY-561	PWY-561:_superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation
16	PWY-5675	PWY-5675:_nitrate_reduction_V_(assimilatory)
17	PWY-5723	PWY-5723:_Rubisco_shunt
18	PWY-5838	PWY-5838:_superpathway_of_menaquinol-8_biosynthesis_I
19	PWY-5861	PWY-5861:_superpathway_of_demethylmenaquinol-8_biosynthesis
20	PWY-5971	PWY-5971:_palmitate_biosynthesis_II_(bacteria_and_plants)
21	PWY-6151	PWY-6151:_S-adenosyl-L-methionine_cycle_I
22	PWY-6284	PWY-6284:_superpathway_of_unsaturated_fatty_acids_biosynthesis_(E._coli)
23	PWY-6285	PWY-6285:_superpathway_of_fatty_acids_biosynthesis_(E._coli)
24	PWY-6531	PWY-6531:_mannitol_cycle
25	PWY-6608	PWY-6608:_guanosine_nucleotides_degradation_III
26	PWY-6628	PWY-6628:_superpathway_of_L-phenylalanine_biosynthesis
27	PWY-6803	PWY-6803:_phosphatidylcholine_acyl_editing
28	PWY-7254	PWY-7254:_TCA_cycle_VII_(acetate-producers)
29	PWY0-781	PWY0-781:_aspartate_superpathway
30	SALVADEHYPOX-PWY	SALVADEHYPOX-PWY:_adenosine_nucleotides_degradation_II
31	TCA-GLYOX-BYPASS	TCA-GLYOX-BYPASS:_superpathway_of_glyoxylate_bypass_and_TCA
