Object-ID	Pathway	Common-Name	Ontology-pathway_type	Parental-Ontology-pathway_type	General_Pathway_Type
PWY-7112	4-hydroxy-2-nonenal_detoxification	4-hydroxy-2-nonenal_detoxification		Degradation_Utilization_Assimilation	Specialized_and_Miscellaneous_Routes
GLYCOL-GLYOXDEG-PWY	superpathway_of_glycol_metabolism_and_degradation	superpathway_of_glycol_metabolism_and_degradation	Alcohol_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Alcohols_and_Aldehydes
GOLPDLCAT-PWY	superpathway_of_glycerol_degradation_to_1,3-propanediol	superpathway_of_glycerol_degradation_to_1,3-propanediol	Alcohol_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Alcohols_and_Aldehydes
HEXITOLDEGSUPER-PWY	superpathway_of_hexitol_degradation_(bacteria)	superpathway_of_hexitol_degradation_(bacteria)	Alcohol_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Alcohols_and_Aldehydes
PWY-6531	mannitol_cycle	mannitol_cycle	Alcohol_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Alcohols_and_Aldehydes
PWY-7616	methanol_oxidation_to_carbon_dioxide	methanol_oxidation_to_carbon_dioxide	Alcohol_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Alcohols_and_Aldehydes
PWY66-389	phytol_degradation	phytol_degradation	Alcohol_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Alcohols_and_Aldehydes
METHGLYUT-PWY	superpathway_of_methylglyoxal_degradation	superpathway_of_methylglyoxal_degradation	Aldehyde_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Alcohols_and_Aldehydes
ARG+POLYAMINE-SYN	superpathway_of_arginine_and_polyamine_biosynthesis_(from_L-glutamate)	superpathway_of_arginine_and_polyamine_biosynthesis_(from_L-glutamate)	Amide,_Amidine,_Amine,_and_Polyamine_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
P101-PWY	ectoine_biosynthesis	ectoine_biosynthesis	Amide,_Amidine,_Amine,_and_Polyamine_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
POLYAMINSYN3-PWY	superpathway_of_polyamine_biosynthesis_II	superpathway_of_polyamine_biosynthesis_II	Amide,_Amidine,_Amine,_and_Polyamine_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
POLYAMSYN-PWY	superpathway_of_polyamine_biosynthesis_I	superpathway_of_polyamine_biosynthesis_I	Amide,_Amidine,_Amine,_and_Polyamine_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
