	short	complete_path
1	AST-PWY	AST-PWY:_L-arginine_degradation_II_(AST_pathway)
2	FAO-PWY	FAO-PWY:_fatty_acid_&beta;-oxidation_I
3	GLYCOLYSIS-TCA-GLYOX-BYPASS	GLYCOLYSIS-TCA-GLYOX-BYPASS:_superpathway_of_glycolysis,_pyruvate_dehydrogenase,_TCA,_and_glyoxylate_bypass
4	GLYOXYLATE-BYPASS	GLYOXYLATE-BYPASS:_glyoxylate_cycle
5	KETOGLUCONMET-PWY	KETOGLUCONMET-PWY:_ketogluconate_metabolism
6	P105-PWY	P105-PWY:_TCA_cycle_IV_(2-oxoglutarate_decarboxylase)
7	PWY-5136	PWY-5136:_fatty_acid_&beta;-oxidation_II_(peroxisome)
8	PWY-561	PWY-561:_superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation
9	PWY-5675	PWY-5675:_nitrate_reduction_V_(assimilatory)
10	PWY-5723	PWY-5723:_Rubisco_shunt
11	PWY-5838	PWY-5838:_superpathway_of_menaquinol-8_biosynthesis_I
12	PWY-5840	PWY-5840:_superpathway_of_menaquinol-7_biosynthesis
13	PWY-5850	PWY-5850:_superpathway_of_menaquinol-6_biosynthesis_I
14	PWY-5860	PWY-5860:_superpathway_of_demethylmenaquinol-6_biosynthesis_I
15	PWY-5896	PWY-5896:_superpathway_of_menaquinol-10_biosynthesis
16	PWY-5897	PWY-5897:_superpathway_of_menaquinol-11_biosynthesis
17	PWY-5918	PWY-5918:_superpathay_of_heme_biosynthesis_from_glutamate
18	PWY-5920	PWY-5920:_superpathway_of_heme_biosynthesis_from_glycine
19	PWY-7254	PWY-7254:_TCA_cycle_VII_(acetate-producers)
20	PWY-821	PWY-821:_superpathway_of_sulfur_amino_acid_biosynthesis_(Saccharomyces_cerevisiae)
21	PWY0-1415	PWY0-1415:_superpathway_of_heme_biosynthesis_from_uroporphyrinogen-III
22	SULFATE-CYS-PWY	SULFATE-CYS-PWY:_superpathway_of_sulfate_assimilation_and_cysteine_biosynthesis
23	TCA-GLYOX-BYPASS	TCA-GLYOX-BYPASS:_superpathway_of_glyoxylate_bypass_and_TCA
