specie,mean,std
Veillonella_parvula,-10.687415186232432,6.529477742057478
Parvimonas_micra,-15.901241823204225,2.643805158522221
Sellimonas_intestinalis,-14.304973076566371,5.015501171686797
Streptococcus_gordonii,-14.674100072329727,4.372022570654266
Clostridium_innocuum,-12.649471166304453,5.662539955514096
Anaerostipes_hadrus,-2.571391020534604,5.682965547619232
Actinomyces_sp_ICM47,-14.918751998753695,3.8857945479499176
Fusobacterium_nucleatum,-16.410967056743967,1.511048592531662
Ruthenibacterium_lactatiformans,-5.380605894608453,5.637870695021589
Agathobaculum_butyriciproducens,-3.568724625723102,5.111603815005092
Streptococcus_parasanguinis,-8.917765843956277,6.551550348264088
Eisenbergiella_tayi,-14.17409149794967,4.849526304699783
Clostridium_sp_CAG_58,-11.538668677637157,6.859160613796026
Dorea_formicigenerans,-4.676737073874472,6.146898664409147
Actinomyces_sp_oral_taxon_181,-15.818012462111517,2.6649362476385727
Collinsella_intestinalis,-12.909284078738084,5.209389002224974
Atopobium_parvulum,-16.29828181800464,1.734913927343096
Bulleidia_extructa,-16.539854067498894,0.7611328457333172
Actinomyces_oris,-16.02110490193099,2.3656210034712872
Rothia_mucilaginosa,-14.13409806118818,4.579243560165779
Collinsella_aerofaciens,-3.9081931288792693,6.663420734118197
Anaerotruncus_colihominis,-12.714374554675668,5.603656384445236
Gemella_morbillorum,-16.101918407656157,2.2482953293227435
Blautia_sp_CAG_257,-13.67308025436404,5.593925213532223
Clostridium_scindens,-15.895680794962297,2.636470433072842
Flavonifractor_plautii,-4.642006863575738,5.8962001877363095
Eubacterium_hallii,-4.084372084052787,5.786303165403632
Erysipelatoclostridium_ramosum,-12.319081304108018,6.370166023592135
Actinomyces_sp_HPA0247,-16.203352875723194,2.0163712625155434
Eubacterium_ramulus,-7.4981069487725795,6.629966897612927
Lawsonibacter_asaccharolyticus,-8.927547473445463,6.44101539444663
Blautia_obeum,-4.69819489607442,6.072531933687835
Blautia_hydrogenotrophica,-15.372152927449466,3.6424330080274423
Bacteroides_sp_CAG_144,-14.67130969803064,5.199312484483269
Ruminococcus_torques,-5.277481999302428,7.233381833729772
Dorea_longicatena,-3.3030150131726534,6.011495211121536
Actinomyces_sp_HMSC035G02,-15.698476640960608,2.8395649535852967
Gemella_sanguinis,-13.473912005923713,4.970306107515101
Collinsella_stercoris,-10.969269663574426,5.510408922922617
Mogibacterium_diversum,-14.912743429583799,3.8773026546033855
Actinomyces_graevenitzii,-16.025155062094086,2.3656494945856554
Firmicutes_bacterium_CAG_145,-13.788330980514754,5.338560243079777
Ruminococcaceae_bacterium_D16,-15.017312794392947,4.023524691719685
Hungatella_hathewayi,-12.41067091231184,5.748249518762636
Coprococcus_catus,-7.729280771383246,6.815594427691337
Bifidobacterium_adolescentis,-9.024572401335364,8.235657961223193
Harryflintia_acetispora,-15.852174250020594,2.69832367719917
Slackia_isoflavoniconvertens,-13.389175219509994,5.8562307955804656
Streptococcus_mutans,-15.757548769024039,3.1470017857082495
Coprococcus_comes,-4.9713379818924786,7.015392037662983
Peptostreptococcus_stomatis,-16.359071682477857,1.6239047980472872
Enorma_massiliensis,-14.39686574970773,4.279780645992766
Phascolarctobacterium_succinatutens,-12.779709309925202,7.1546473542467
Streptococcus_anginosus_group,-15.074994761532883,3.9891005253871494
Clostridium_bolteae,-9.96922450511086,6.512418734662949
Clostridium_clostridioforme,-14.18920818413284,5.127712552547651
Methanobrevibacter_smithii,-13.394707198219402,6.295766923371495
Bifidobacterium_dentium,-14.726174791076746,4.521193688256075
Enterorhabdus_caecimuris,-14.33623091145591,4.03080647431341
Streptococcus_australis,-14.545877260828927,4.310887390917095
Solobacterium_moorei,-16.17293280743103,2.020633842315452
Streptococcus_oralis,-14.121542016042198,4.757022216627812
Allisonella_histaminiformans,-14.74841248606196,4.245092824196682
Clostridium_spiroforme,-14.167932143751274,4.968812507703736
Actinomyces_sp_S6_Spd3,-15.940619629850746,2.47587796906409
Clostridium_symbiosum,-12.614644877818469,5.8700122416575375
Dialister_pneumosintes,-16.39049653698026,1.7012720903911223
Anaerotignum_lactatifermentans,-14.814605059711372,4.716179635973434
Streptococcus_infantis,-14.718300175348,4.20571575668895
Streptococcus_mitis,-13.51715696923567,5.075659463702668
Streptococcus_vestibularis,-14.909666368362904,4.206008359079031
Clostridium_citroniae,-11.518614930739814,5.8548783402659845
Ruminococcus_gnavus,-7.666393289627827,7.491274818478776
Anaeromassilibacillus_sp_An250,-13.490200040711354,5.256615708208809
Clostridium_saccharolyticum,-14.675816087944478,4.599123926368355
Bifidobacterium_longum,-5.466254060277201,7.335276634387404
Clostridium_leptum,-10.884740707004886,6.234671949003853
Clostridium_lavalense,-14.150815185392585,4.671390291952472
Eggerthella_lenta,-9.812109243629529,6.6102972291150595
Actinomyces_odontolyticus,-14.606411287135408,4.077451889787737
Streptococcus_thermophilus,-12.155341478823782,6.59594580127186
[Collinsella]_massiliensis,-14.87892070513386,3.8506691354182894
Gordonibacter_pamelaeae,-9.814314588521789,5.9805438709612115
Olsenella_scatoligenes,-14.984697486371338,4.044389661845089
Eubacterium_sulci,-15.464044470845513,3.2022007552389526
Streptococcus_salivarius,-5.464734186345775,5.835086899535356
Streptococcus_sanguinis,-14.82554815300284,4.155642521048437
Firmicutes_bacterium_CAG_94,-14.476156758180029,4.82454623803301
Gemella_haemolysans,-15.541435590619106,3.2091369463889468
