feature	coefficient	fold
T2	0.13135705009009047	0
Q	0.14418721978155408	0
Combined Index	-0.052572811798570096	0
GMHI	-0.3184597595177219	0
Biosynthesis_of_Cofactors_and_Vitamins	-0.13352318994142623	0
Carbohydrate_metabolism	-0.10616474957269832	0
Cellular_Structure_and_Modification_of_Macromolecules	-0.20426012508290728	0
Central_metabolism_and_energy	0.2836556281650195	0
Lipid_metabolism	-0.12050294600434615	0
Metabolism_of_Alcohols_and_Aldehydes	-0.0007302199900036228	0
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	-0.03576666921942903	0
Metabolism_of_Carboxylic_Acids	-0.3203845300174499	0
Metabolism_of_amino_acids_and_derivatives	0.26395039774968726	0
Nucleotide_and_Nucleic_Acid_Metabolism	0.08675263200655596	0
Signaling_and_Regulation_Metabolism	0.17401057814201326	0
Specialized_and_Miscellaneous_Routes	-0.11243818241403124	0
T2	0.14264841402035683	1
Q	0.16608011290636251	1
Combined Index	-0.04428455428187454	1
GMHI	-0.34708131765610706	1
Biosynthesis_of_Cofactors_and_Vitamins	-0.1033516393164544	1
Carbohydrate_metabolism	-0.19567539755319105	1
Cellular_Structure_and_Modification_of_Macromolecules	-0.22852660115331655	1
Central_metabolism_and_energy	0.35820847216843543	1
Lipid_metabolism	-0.18000100210609185	1
Metabolism_of_Alcohols_and_Aldehydes	0.07859784155123374	1
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	-0.11021716257330033	1
Metabolism_of_Carboxylic_Acids	-0.30232865478292686	1
Metabolism_of_amino_acids_and_derivatives	0.2043151264204645	1
Nucleotide_and_Nucleic_Acid_Metabolism	0.2744081258599144	1
Signaling_and_Regulation_Metabolism	0.16236132553435498	1
Specialized_and_Miscellaneous_Routes	-0.1324448942940019	1
T2	0.11939930150023167	2
Q	0.1487624838157479	2
Combined Index	-0.04450583796845546	2
GMHI	-0.3085013851261091	2
Biosynthesis_of_Cofactors_and_Vitamins	0.1171244213497551	2
Carbohydrate_metabolism	-0.0895504681473005	2
Cellular_Structure_and_Modification_of_Macromolecules	-0.23875395635996272	2
Central_metabolism_and_energy	0.3715450745198894	2
Lipid_metabolism	-0.26229469345837786	2
Metabolism_of_Alcohols_and_Aldehydes	0.044228101998068856	2
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	-0.12868784993685994	2
Metabolism_of_Carboxylic_Acids	-0.25949121243830825	2
Metabolism_of_amino_acids_and_derivatives	0.034948969338415216	2
Nucleotide_and_Nucleic_Acid_Metabolism	0.21397858010046633	2
Signaling_and_Regulation_Metabolism	0.1658401016490314	2
Specialized_and_Miscellaneous_Routes	-0.18434695252826247	2
T2	0.12128813865195022	3
Q	0.17911504156832875	3
Combined Index	-0.053660265716271804	3
GMHI	-0.3197713769701159	3
Biosynthesis_of_Cofactors_and_Vitamins	-0.020664022299991945	3
Carbohydrate_metabolism	-0.16294505090563485	3
Cellular_Structure_and_Modification_of_Macromolecules	-0.13959288776107376	3
Central_metabolism_and_energy	0.29675708558053604	3
Lipid_metabolism	-0.18337987371575898	3
Metabolism_of_Alcohols_and_Aldehydes	0.18023077715049118	3
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	-0.13940578862820696	3
Metabolism_of_Carboxylic_Acids	-0.2346915334144349	3
Metabolism_of_amino_acids_and_derivatives	0.12745154850574136	3
Nucleotide_and_Nucleic_Acid_Metabolism	0.1793597279068615	3
Signaling_and_Regulation_Metabolism	0.11460223354388052	3
Specialized_and_Miscellaneous_Routes	-0.21137048172060938	3
T2	0.13588130281293417	4
Q	0.16891142358928224	4
Combined Index	-0.03321871726112162	4
GMHI	-0.307740104051607	4
Biosynthesis_of_Cofactors_and_Vitamins	-0.00960740872645952	4
Carbohydrate_metabolism	-0.14854757166321503	4
Cellular_Structure_and_Modification_of_Macromolecules	-0.22392419626915006	4
Central_metabolism_and_energy	0.3420846269663513	4
Lipid_metabolism	-0.18377193459674213	4
Metabolism_of_Alcohols_and_Aldehydes	0.1421688533687753	4
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	-0.15449029560645242	4
Metabolism_of_Carboxylic_Acids	-0.34986881638817807	4
Metabolism_of_amino_acids_and_derivatives	0.19729113145165103	4
Nucleotide_and_Nucleic_Acid_Metabolism	0.2958812887354621	4
Signaling_and_Regulation_Metabolism	0.15250964566817354	4
Specialized_and_Miscellaneous_Routes	-0.20655301621657715	4
