feature	coefficient	fold
T2	0.22316730852575356	0
Q	0.16538119632389975	0
Combined Index	0.0018256869313112024	0
GMHI	-2.005647395367379	0
Biosynthesis_of_Cofactors_and_Vitamins	1.2853193360456918	0
Carbohydrate_metabolism	0.3031024433480031	0
Cellular_Structure_and_Modification_of_Macromolecules	0.07376312772308136	0
Central_metabolism_and_energy	-1.0578249433255553	0
Lipid_metabolism	0.0005592907658024189	0
Metabolism_of_Alcohols_and_Aldehydes	-0.005015074235848781	0
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	0.06327310499576685	0
Metabolism_of_Carboxylic_Acids	0.15955018344554953	0
Metabolism_of_amino_acids_and_derivatives	-1.147596790688294	0
Nucleotide_and_Nucleic_Acid_Metabolism	-0.5440817550079855	0
Signaling_and_Regulation_Metabolism	-0.39629103085930373	0
Specialized_and_Miscellaneous_Routes	0.13543756279722627	0
T2	0.13798665670266488	1
Q	0.30022216970822235	1
Combined Index	-0.0987146701292175	1
GMHI	-2.2498329106779225	1
Biosynthesis_of_Cofactors_and_Vitamins	1.126811220750691	1
Carbohydrate_metabolism	0.02204635834789095	1
Cellular_Structure_and_Modification_of_Macromolecules	0.02297306390997886	1
Central_metabolism_and_energy	-0.8363908892927902	1
Lipid_metabolism	0.3980875082932406	1
Metabolism_of_Alcohols_and_Aldehydes	-0.09457102470499744	1
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	0.32387335826654157	1
Metabolism_of_Carboxylic_Acids	-0.31140637874072796	1
Metabolism_of_amino_acids_and_derivatives	-0.7946233155632079	1
Nucleotide_and_Nucleic_Acid_Metabolism	-1.0359218514944357	1
Signaling_and_Regulation_Metabolism	-0.7987600704044553	1
Specialized_and_Miscellaneous_Routes	0.650157063217488	1
T2	0.18107611651289662	2
Q	0.20117373157624463	2
Combined Index	0.006804609163213418	2
GMHI	-2.3203784273257506	2
Biosynthesis_of_Cofactors_and_Vitamins	1.204622009793029	2
Carbohydrate_metabolism	0.5440583602919525	2
Cellular_Structure_and_Modification_of_Macromolecules	-0.04418800505099032	2
Central_metabolism_and_energy	-1.123622286467425	2
Lipid_metabolism	0.05129655799648287	2
Metabolism_of_Alcohols_and_Aldehydes	0.0668805682826813	2
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	-0.014672788793435056	2
Metabolism_of_Carboxylic_Acids	-0.2751624661953161	2
Metabolism_of_amino_acids_and_derivatives	-1.0992392693292417	2
Nucleotide_and_Nucleic_Acid_Metabolism	-0.2494655790821448	2
Signaling_and_Regulation_Metabolism	-0.4061235747693568	2
Specialized_and_Miscellaneous_Routes	0.3843351026672847	2
T2	0.14298009012359833	3
Q	-0.03929757716262043	3
Combined Index	0.06555793204578314	3
GMHI	-2.1087827596319753	3
Biosynthesis_of_Cofactors_and_Vitamins	1.2125207110396938	3
Carbohydrate_metabolism	0.15679570851850658	3
Cellular_Structure_and_Modification_of_Macromolecules	0.05167761948238289	3
Central_metabolism_and_energy	-1.0488970232017893	3
Lipid_metabolism	0.299953589924747	3
Metabolism_of_Alcohols_and_Aldehydes	-0.315474215138247	3
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	-0.23774244548777143	3
Metabolism_of_Carboxylic_Acids	-0.051308178664612215	3
Metabolism_of_amino_acids_and_derivatives	-1.2291641511303255	3
Nucleotide_and_Nucleic_Acid_Metabolism	-0.10807207879864277	3
Signaling_and_Regulation_Metabolism	-0.4570697790174885	3
Specialized_and_Miscellaneous_Routes	0.3812563260273222	3
T2	-0.08526396518594398	4
Q	-0.13255058350544202	4
Combined Index	0.06597917873522664	4
GMHI	-2.475319053563275	4
Biosynthesis_of_Cofactors_and_Vitamins	1.182762066844456	4
Carbohydrate_metabolism	0.37598362176815664	4
Cellular_Structure_and_Modification_of_Macromolecules	-0.14717803924742215	4
Central_metabolism_and_energy	-0.9013356295191017	4
Lipid_metabolism	0.2823080374590221	4
Metabolism_of_Alcohols_and_Aldehydes	-0.46825068911100537	4
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	0.25190442281558356	4
Metabolism_of_Carboxylic_Acids	-0.03467906198034285	4
Metabolism_of_amino_acids_and_derivatives	-1.0530245556883489	4
Nucleotide_and_Nucleic_Acid_Metabolism	-0.6756594530068968	4
Signaling_and_Regulation_Metabolism	-0.31082092728569644	4
Specialized_and_Miscellaneous_Routes	0.287676838021142	4
