feature	coefficient	fold
T2	0.06001636435585028	0
Q	-0.06765004057008496	0
Combined Index	0.8735992551416355	0
GMHI	-2.6473431124966322	0
Biosynthesis_of_Cofactors_and_Vitamins	0.2482005830649158	0
Carbohydrate_metabolism	-0.5430932144118029	0
Cellular_Structure_and_Modification_of_Macromolecules	0.07744597441912357	0
Central_metabolism_and_energy	0.02669667879533434	0
Lipid_metabolism	0.4793340131080825	0
Metabolism_of_Alcohols_and_Aldehydes	-0.11472054967130707	0
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	0.8882959551355837	0
Metabolism_of_Carboxylic_Acids	-0.3467442362572407	0
Metabolism_of_amino_acids_and_derivatives	0.5562036107437217	0
Nucleotide_and_Nucleic_Acid_Metabolism	-0.9697697027329193	0
Signaling_and_Regulation_Metabolism	-0.14148111643933248	0
Specialized_and_Miscellaneous_Routes	0.43939345044199696	0
T2	0.06738747523668837	1
Q	0.0884079550133719	1
Combined Index	0.9653775993950375	1
GMHI	-2.4864078553344378	1
Biosynthesis_of_Cofactors_and_Vitamins	-0.2623858060731636	1
Carbohydrate_metabolism	-0.04908680111013586	1
Cellular_Structure_and_Modification_of_Macromolecules	-0.329853510917098	1
Central_metabolism_and_energy	-0.053086316764885885	1
Lipid_metabolism	0.6086500326693308	1
Metabolism_of_Alcohols_and_Aldehydes	-0.05004084324082762	1
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	0.9843047072558668	1
Metabolism_of_Carboxylic_Acids	-0.2760016216093335	1
Metabolism_of_amino_acids_and_derivatives	0.6169186961852078	1
Nucleotide_and_Nucleic_Acid_Metabolism	-0.9896076588784458	1
Signaling_and_Regulation_Metabolism	-0.3773523759502901	1
Specialized_and_Miscellaneous_Routes	0.4513289604133229	1
T2	0.05555568735391476	2
Q	0.10060800305837511	2
Combined Index	0.8787902361336442	2
GMHI	-2.3716002762341684	2
Biosynthesis_of_Cofactors_and_Vitamins	0.2539415546168329	2
Carbohydrate_metabolism	-0.4063223981316318	2
Cellular_Structure_and_Modification_of_Macromolecules	-0.1615571656729476	2
Central_metabolism_and_energy	-0.26844383314130915	2
Lipid_metabolism	0.4895163651419874	2
Metabolism_of_Alcohols_and_Aldehydes	0.0025209674142991434	2
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	0.7150914044992487	2
Metabolism_of_Carboxylic_Acids	-0.4207597962780931	2
Metabolism_of_amino_acids_and_derivatives	0.8789167493931939	2
Nucleotide_and_Nucleic_Acid_Metabolism	-0.8561498755630238	2
Signaling_and_Regulation_Metabolism	-0.13025183433421192	2
Specialized_and_Miscellaneous_Routes	0.37308673556318384	2
T2	0.26554998694415305	3
Q	0.10105636874959407	3
Combined Index	0.798755765649202	3
GMHI	-2.6283832397668885	3
Biosynthesis_of_Cofactors_and_Vitamins	-0.037076023609829124	3
Carbohydrate_metabolism	0.08792451709332438	3
Cellular_Structure_and_Modification_of_Macromolecules	0.06313950603796586	3
Central_metabolism_and_energy	-0.3038253908477788	3
Lipid_metabolism	0.4320399569597779	3
Metabolism_of_Alcohols_and_Aldehydes	-0.00393347948724653	3
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	0.4179291017218954	3
Metabolism_of_Carboxylic_Acids	-0.17724525770895014	3
Metabolism_of_amino_acids_and_derivatives	0.29638683787206105	3
Nucleotide_and_Nucleic_Acid_Metabolism	-1.0010440219951282	3
Signaling_and_Regulation_Metabolism	-0.0179566050149036	3
Specialized_and_Miscellaneous_Routes	0.5480558286648354	3
T2	0.2923562649422269	4
Q	0.5444088572843421	4
Combined Index	0.7403198175274119	4
GMHI	-2.1345217165734067	4
Biosynthesis_of_Cofactors_and_Vitamins	0.31531648845208293	4
Carbohydrate_metabolism	-0.3621843434474269	4
Cellular_Structure_and_Modification_of_Macromolecules	0.037344512017353976	4
Central_metabolism_and_energy	-0.3086841911914895	4
Lipid_metabolism	0.6181734934873869	4
Metabolism_of_Alcohols_and_Aldehydes	0.1448691727544537	4
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	0.9827195867896921	4
Metabolism_of_Carboxylic_Acids	-0.5528812399980049	4
Metabolism_of_amino_acids_and_derivatives	0.653027523050846	4
Nucleotide_and_Nucleic_Acid_Metabolism	-1.1898889527329783	4
Signaling_and_Regulation_Metabolism	-0.10170305828465889	4
Specialized_and_Miscellaneous_Routes	0.20641743512470992	4
