"","train_367","train_368","train_378","train_379","train_380","train_385","train_389","train_390","train_393","train_394","train_395","train_399","train_400","train_401","train_402","train_403","train_404","train_407","train_408","train_409","train_410","train_411","train_412","train_413","train_414","train_415","train_416","train_417","train_427","train_428","train_429","train_430","train_431","train_432","train_433","train_434","train_435","train_436","train_437","train_438","train_451","train_452","train_453","train_454","train_455","train_456","train_457","train_458","train_459","train_460","train_461","train_462","train_463","train_464","train_470","train_483","train_484","train_486","train_487","train_492","train_493","train_494","train_495","train_496","train_497","train_498","train_499","train_500","train_501","train_502","train_503","train_504","train_505","train_507","train_508","train_509","train_510","train_511","train_512","train_513","train_514","train_524","train_525","train_526","train_527","train_528","train_529","train_530","train_531","train_532","train_536","train_537","train_542","train_545","train_546","train_547","train_548","train_549","train_550","train_551","train_552","train_553","train_554","train_555","train_556","train_557","train_558","train_559","train_560","train_561","train_562","train_563","train_564","train_565","train_566","train_567","train_568","train_569","train_570","train_571","train_572","train_573","train_574","train_579","train_580","train_581","train_582","train_583","train_584","train_585","train_589","train_590","train_591","train_592","train_593","train_594","train_599","train_600","train_601","train_602","train_603","train_604","train_606","train_608","train_610","train_611","train_612","train_613","train_623","train_624","train_625","train_631","train_639","train_640","train_641","train_642","train_643","train_644","train_649","train_1041","train_1044","train_1049","train_1055","train_1059","train_1060","train_1063","train_1064","train_1067","train_1073","train_1075","train_1077","train_1078","train_1079","train_1080","train_1081","train_1082","train_1083","train_1084","train_1086","train_1088","train_1089","train_1090","train_1092","train_1093","train_1095","train_1097","train_1100","train_1102","train_1103","train_1104","train_1106","train_1110","train_1114","train_1118","train_1124","train_1131","train_1132","train_1133","train_1136","train_1144","train_1146","train_1150","train_1159","train_1160","train_1166","train_1167","train_1169","train_1567","train_1621","train_1727","train_1778","train_1824"
"Bacteroides_vulgatus",4.02061,3.23972,2.14962,2.01877,3.7305,0.01304,6.31905,9.76756,0.0142099999999999,0.02901,0,8.49976,4.66076,11.5108,4.21622,4.28824,3.69461,26.53304,25.06929,10.7216,10.33979,14.51004,13.92095,11.79579,11.50822,10.79038,29.18705,28.35975,28.67256,41.22244,41.12198,9.44562,5.97934,5.40532,3.44499,3.10534,14.46623,13.64407,8.01229,6.01577,6.59516,6.46616,5.98128,4.49549,4.66684,2.06393,1.49752,0.23021,0.18818,0.24328,0.18535,0.02443,0,0.19956,6.44299,3.8619,5.08361,0,0,10.26339,9.66868,0.63069,0.42965,0.30956,38.97425,29.12051,28.47367,22.68594,27.5826,23.26283,18.70999,16.95498,17.7552,24.98111,22.72574,22.86068,19.81305,20.57582,19.65025,24.20995,25.26583,23.07162,23.10509,1.90028,1.71107,1.23876,0.06258,0,0,18.44776,4.08169,0.00674,0,9.30873,9.90964,9.30873,25.06808,25.06808,25.09255,25.09255,34.82676,34.82676,33.60659,33.60659,7.43904,7.43904,0.0277199999999999,0.00091,0.0277199999999999,0.06914,0.02111,0.06914,23.59445,23.59445,15.20147,15.20147,17.52698,17.52698,15.66693,15.66693,2.67772,3.0135,3.0135,15.87998,20.23388,17.11054,21.4024,20.26562,12.92952,12.45825,19.83418,20.38223,23.26327,23.89284,28.98508,30.57259,24.05555,28.2473,23.58888,19.09563,25.51792,15.4961,43.57129,0,1.37033,0,0,0,0,0.32671,1.91081,1.1417,2.26161,1.0975,0.63747,1.63538,5.9045,2.80906,3.62474,1.59507,0,0.55375,1.29623,2.18479,1.38618,0.06738,2.12084,0.08537,3.12645,1.1343,1.70699,2.46549,10.7335,0.00031,5.11581,1.29972,0.25918,0.11594,2.22018,1.06791,1.24557,0.54316,0,9.69219,7.89334,0.00079,3.6522,0,3.90826,8.925,0,0.0013,0.73527,3.02452,0.78623,1.17515,0.42141,2.488,0.39672,1.37822,1.26294,0,1.20759,0.41201,11.77509,0,12.60997,0.15692,7.5258,10.50596,8.09148,1.90702
"Roseburia_faecis",0,0,0,0,0,0.08647,0,0,7.53512,7.41589,0,0,0,0,0,0,0,0.00942,0,0.80278,0.76935,0,0,0,0,0,0,0,0,0.09449,0.05845,0.01204,0,0,0,0,3.84808,3.85049,0,0,0.86695,0.88586,0.80668,0.24741,0.03895,0.14383,0,0.49266,0.46974,0.33059,3.3066,3.02433,1.78187,0.70089,0,0,0,1.55638,1.27048,1.48989,1.61638,0,0.48197,0.12797,1.25009,0.81624,0.6913,2.70362,0.64804,1.63319,1.75825,0.8163,3.50584,0.30014,1.18264,0.00499,2.39567,1.27638,0.31303,2.08026,1.83011,0,0,0.0619299999999999,0.32378,0.2655,0.82732,0.66559,0.09792,0.9421,0.77654,0,0,3.41146,3.47033,3.41146,1.42151,1.42151,0.1507,0.1507,0,0,0.22317,0.22317,0.13027,0.13027,21.92407,21.92988,21.92407,23.39553,22.31544,23.39553,8.42188,8.42188,2.89543,2.89543,9.80673,9.80673,1.19745,1.19745,2.90132,6.30887,6.30887,2.77341,0.12008,0.19624,2.07539,2.1482,3.00425,2.99031,2.02961,1.51516,1.03812,1.34459,1.06116,1.97229,2.24959,5.09787,2.48791,2.65881,1.65722,0.39147,0,0,0.70609,0,0.05305,2.77971,0,0.02352,0.00868,2.00112,0,0,0,0,0,0,0.73446,0,0,10.11679,0.03764,6.09394,0.2008,0.7606,5.52174,2.97932,0.87863,1.76844,0,4.99608,4.01227,0.00156,0,18.90665,0.33935,0.01801,5.25319,0.09309,2.91661,0.1911,0,7.01913,0.03327,1.40059,8.35496,23.41354,4.43834,0.47727,0,12.03696,11.46635,13.90264,1.43826,4.75602,1.14002,0.17127,10.69404,5.30429,0.19869,8.99778,1.94472,0.6998,6.94817,1.67288,6.00458,2.16302,0.80636,3.59218,0.9124,1.72173
"Ruminococcus_gnavus",0,0,0,0,0,0.00497,0,0,0,0,0,0,0,0,0,0,0,0.00083,0,0.00121,0,0,0,0,0,0,0.0105,0,0,0.03585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69237,0.47127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03464,0,0,0,0,0,0,0,0,0,0.09043,0.12263,0.73463,0.67861,0.73463,0.20731,0.20731,0.86618,0.86618,0.02643,0.02643,0.2948,0.2948,0.09739,0.09739,0.65185,0.66763,0.65185,0.42777,0.49971,0.42777,0.15772,0.15772,0,0,0,0,0,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56123,0.00166,0,0.00851,0.01813,0,0.0535799999999999,0,0.04154,0.0036,0.0291,0.07736,0.0054399999999999,0.00199,0.01165,0.00965,0,0.03086,0,0,0,0,0.02844,0,0.01442,0,0,0.06461,0,0.12398,0.07784,18.97169,0.09968,0,0.00591,0.03921,0,3.78778,0.13739,0,0.71128,1.26205,2.27213,0.04191,0,0,0.19769,0,0,0.05676,0.00567,0.00295,0.2199,0,0,0,0.0478,0,0,0,0,0.03192,0,0,0.06517,0,0,0,0,0
"Roseburia_intestinalis",0,0,0,0,0,0.3278,0,0,1.4498,1.32619,0,0,0,0.04535,0.39808,0.38507,0.37621,0,0,0,0,0,0,0.7103,0.68282,0.63457,0,0,0,0,0,0,0,0,0.01439,0,0,0,0,0,0.17737,0.15635,0.10855,0.34232,0.18002,0.10868,0,0,0,0,0,0,0,0,0.05118,0,0,0.94834,1.19289,0,0,0,0,0,0,0.18596,0,0.01062,0,0,0,0,0,0,0.0200699999999999,0,0.19913,0.0945299999999999,0.29847,0.84114,0.82395,0,0,0.56662,0,0,0.1496,0.07362,0.08757,0,0,4.58626,0.01609,0.82306,0.83739,0.82306,0.18614,0.18614,0.05414,0.05414,0.0257699999999999,0.0257699999999999,0.44737,0.44737,0.4339,0.4339,0,0,0,0,0,0,0,0,2.01268,2.01268,0.90217,0.90217,0.88734,0.88734,0,3.09894,3.09894,1.06307,0,0.02374,1.08656,1.02816,1.35507,1.34395,1.81762,0.75636,0.00893,0,0.20547,0.31402,0.02126,0.85501,0.57581,0.75829,1.27643,0.22784,0,1.06419,0,0.48056,1.83747,2.79542,1.12218,0,0.13158,1.3404,0.31814,0.07044,0,0,0.03721,0.51157,0.0066599999999999,0,0.47557,1.94519,0.20267,0.19516,0.38336,0.16826,0.77252,0.04419,0,0.24666,0.7769,0.02694,2.75786,0.00103,0.00446,0,0.25453,0,2.20454,0,0,0.02031,0.36428,2.26808,5.54721,0.11786,0.0129,0.56824,4.16789,0.06175,1.22517,0.75153,0.13119,7.46146,5.0066,0.77236,0.01367,0.10991,2.79967,1.79249,1.13007,0.00224,0.35806,0.21459,0,0.16104,1.72913,0.41901,0.0365,4.88765,0.24216,0.53622
"Blautia_wexlerae",0.451,0.46641,0.0439,0.10451,0,0.61949,0.11333,0.2129,0.29703,0.24001,0.23167,0.07265,0.01188,0.0150099999999999,0,0,0,0.32981,1.32585,0.33059,0.91391,0.10394,0.06699,0.03458,0.02235,0,0.14945,0.80339,0.28873,0.00276,0.18373,0.06562,0.1171,0.23232,0.0437699999999999,0.09192,0.02363,0.05917,0.15897,0.10111,0.08661,0.0578399999999999,0.24152,0.02601,0,0.01879,0,0.966,1.02341,0.95499,0.38516,0.32967,0.10035,0,0.02555,2.2288,0.44532,1.18533,2.23472,0.01087,0,0,0.0291699999999999,0,0.22681,0.2748,0.65895,0.65136,0.37426,0.83915,0.99045,0.54576,0.48616,0.10395,0.29287,0.22171,0.27635,0.11186,0.30375,0.75904,0.68904,0.26298,0.16395,0.21886,0.0298699999999999,0.06485,1.21625,0.67037,0,0.0186199999999999,0.0422899999999999,1.97351,0.04622,4.2152,4.12296,4.2152,1.95635,1.95635,1.6591,1.6591,0.63001,0.63001,0.69105,0.69105,2.17221,2.17221,1.05093,1.05019,1.05093,0.86228,0.95644,0.86228,0.29956,0.29956,0.82933,0.82933,0.83559,0.83559,0.3835,0.3835,0.26769,0.22151,0.22151,0.45697,0.23033,0.278,0.23998,0.53516,0.5351,0.70911,0.99533,0.46973,0.77337,0.30365,0.77819,0.9348,1.10008,0.62393,0.33228,0.5992,0.5254,0.42283,1.87804,0.04188,0.00634,0.09719,0.32266,0.97854,0.0819999999999999,0.27699,0.2165,0.11515,0.20747,0.30813,0.0527,0.05012,0.0473899999999999,0.17269,0.00672,0.00638,0.14407,1.14232,0.28098,0.60315,0.43697,0.0272,0.00189,0.37441,0.11531,0.57595,0.50744,0.23104,1.33008,0.11784,0.01164,1.26131,1.26406,2.17363,0.16405,0.03845,0.0837,0.03159,25.19412,1.68989,0.56898,0.45244,0.00536,0.13379,0.04564,0.01531,0.19602,0.33009,0.3347,0.3697,0.20773,0.12644,0.16803,0.26975,1.0473,0.54931,0.15574,1.02829,0.23369,0.57734,0.13382,0.01736,0.4084,0.00812,0.0311,0.03688,0.07092,0.00587
"Eubacterium_eligens",2.76652,2.15115,0,0,0,0.42757,1.01054,0.47192,0,0,0,0.48017,0.04123,0.14073,0.13869,0.11926,0.08794,0.93222,0.82609,1.3651,1.10176,7.28304,6.65145,5.49511,5.30951,4.64868,0.98281,0.70994,0,0.16645,0.04464,0.14072,3.24885,2.81867,1.15362,0.94797,0.58735,0.4048,0.26392,0.18193,1.56624,1.46574,1.20439,1.10445,0.80188,4.40506,3.43429,0.93892,0.84852,0.56498,6.22079,5.25924,2.73583,1.76745,0.0398699999999999,0,0.10557,0.01018,0,0.15632,0.13568,0.24757,0.80087,0.58211,1.30623,0.82952,1.59111,0.1528,0.1005,0.47657,0.1929,0.015,0.04509,0.43182,1.66618,2.47675,2.19326,0.30674,2.68785,1.57334,1.22114,0.97902,0.9127,2.32729,5.61388,5.31507,2.91436,2.47075,0.81635,0.1031,0,0.19784,2.29322,0,0,0,0,0,0.21586,0.21586,3.75539,3.75539,1.00192,1.00192,0.18964,0.18964,1.11806,1.17784,1.11806,0.28121,0.30815,0.28121,0.66888,0.66888,0.34191,0.34191,1.17534,1.17534,0.83476,0.83476,0.61002,7.19154,7.19154,1.65184,0.73904,0.94302,2.05468,1.87749,0.4081,0.34727,1.76902,1.62981,0.56014,1.29163,1.74445,1.56855,1.32112,1.94435,0.65607,0.35856,0.68767,1.4575,0,1.3492,0.09001,3.86867,4.35212,0.21258,0.22233,0,0,0.12708,0.58588,0.85898,0.51581,0,0.03854,0.69928,0.37486,0,4.92847,0.35555,0.25951,1.44464,0.63214,1.28846,0.17983,0.90046,2.33105,0,5.14078,0.04436,2.8752,0.00145,6.14222,1.77451,3.66748,0.01462,3.28751,0.37346,1.16522,0.27485,0,0,1.26362,0.16667,0,0.03112,1.49608,0.12052,0,3.21728,0,2.20316,0.23309,0.71267,0.60282,4.59727,0.00147,1.79758,0.89206,0,0.8049,0.047,1.39711,0.02824,0.88479,4.48934,2.31823,0.86097,0.09998,1.44277
"Bacteroides_thetaiotaomicron",0,0,0.01054,0,0.14272,0.60178,0.13719,0.23198,0,0,0,1.46925,0.80135,1.7367,1.09153,1.10661,1.00006,0.76585,0.70234,1.06267,0.94606,0.98315,0.93044,1.05647,0.96691,0.88899,1.19901,0.98603,0,0.04923,0,0.0307899999999999,0.11882,0.0539899999999999,0.19478,0.1514,0.27716,0.2124,0.14319,0.10329,0.70294,0.68434,0.58594,0.20196,0.05051,0.00674,0,0.03712,0.03637,0,0.36267,0.28368,0.86154,0.43252,1.15841,0,0,0.67103,0.38329,0.90614,0.81337,0,0.2416,0,0,0,0,0.00993,0.0142099999999999,0.02221,0.0030399999999999,0.0042899999999999,0.00166,0.02864,0,0,0,0.00629,0.02105,0.00123,0.01828,0.71063,0.60374,0.3147,0.35766,0.22534,0.50003,0.31263,0.42503,2.15158,0.11178,0.24745,1.02208,1.67587,1.77606,1.67587,4.60004,4.60004,1.10772,1.10772,5.2173,5.2173,1.39629,1.39629,4.91566,4.91566,0,0,0,0,0,0,0.797,0.797,0,0,0,0,0,0,1.165,0.38805,0.38805,0.11349,0.94217,0.81539,0.37909,0.31752,0.86981,0.79359,0.22966,0.41807,0.09162,0.0961,0,0,0,0,0,0.03126,0.1582,0.63963,3.87849,0.62504,0.2201,0.49994,0.40515,0.59044,1.69691,0.90829,0.78288,0.36182,0.94306,0.22322,0.10461,0.20399,0.65295,0.36425,0.25802,0,0,0.29991,0.0266,0.46014,0.09732,0.18882,0.07303,0.84903,0.00453,0.00683,0.27314,0.0996,0.48311,0.11275,0.47881,0,0.03395,0.02663,0.70024,0.06892,0.00802,0.00568,0,1.32061,0.47276,2.59718,0.08359,0,0.71053,0.10843,0.43012,0.79456,0.07586,0.31242,0,0.21956,0.01331,1.8827,0.50721,0.18476,0.04106,0.22622,0.01066,0,0.00366,0,0,0,0.13064,0.0886,1.53032,0.02487
"Faecalibacterium_prausnitzii",6.11955,6.55967,1.4878,1.50092,4.54754,7.22229,5.03962,11.65408,2.52141,2.98908,0.03996,5.97242,0.15051,1.19871,0.73321,0.71831,0.86122,10.97261,12.85817,15.77507,17.25097,3.31977,3.72672,6.39935,6.59291,6.56282,6.78012,8.64745,0.39479,0.70022,0.86204,0.35668,6.25651,6.5078,4.36735,4.79099,2.11962,2.6269,2.07635,2.0876,6.21961,6.24864,7.97051,4.67905,5.07375,7.27458,7.7473,2.99144,2.98915,3.2742,10.12684,10.4854,3.99727,4.7021,0.27207,2.11205,1.96435,2.58073,1.78345,2.01959,2.15798,11.34842,8.28765,8.54847,3.15451,1.82446,3.79144,4.5581,3.29675,3.92414,4.3221,4.01146,3.70237,1.63893,3.72665,3.99083,3.67245,1.76335,2.45679,3.57214,2.0654,3.33216,4.02636,5.19923,2.33712,2.78834,2.98009,3.52858,0.1966,0.85385,0.87303,7.07606,2.82664,2.8928,2.30179,2.8928,2.60976,2.60976,2.08859,2.08859,4.50511,4.50511,4.12651,4.12651,4.25711,4.25711,0.83785,0.77482,0.83785,2.23416,1.81339,2.23416,0.34073,0.34073,3.34559,3.34559,4.42667,4.42667,3.36463,3.36463,2.17476,7.21822,7.21822,2.54226,2.1456,3.10906,2.08261,2.40649,2.35538,2.90443,1.97782,3.15114,2.68332,4.39671,3.2077,3.54202,4.43678,2.68299,6.32005,5.13721,2.57163,5.85052,1.27716,1.83097,1.76506,4.44382,6.46413,3.37385,8.7024,3.34421,1.49724,3.79807,2.62423,4.6171,1.21228,1.67758,0.66016,1.2768,1.79756,2.09263,0.03359,7.80757,5.0922,7.23159,20.54376,5.864,11.72056,5.8347,10.50266,0.60455,6.73389,11.5676,8.00652,0.46645,0.89418,11.61027,8.65181,3.09109,20.35944,0.96163,3.49703,0.27499,1.78237,3.56718,6.17463,3.42713,8.30119,6.54504,7.58887,2.51002,0.01242,14.49924,4.2372,25.10259,11.70924,13.31936,7.04355,4.75855,5.05329,23.23421,24.50103,10.01337,8.15099,9.10093,6.05332,0.12702,3.77725,3.27297,8.87049,11.34683,3.04678,3.734
"Coprococcus_comes",0.41582,0.33471,0.15672,0.10717,0.15048,0.16814,0.19014,0.37897,0.66061,0.62685,0.22109,0.50407,0,0.11619,0.09298,0.09059,0.0321199999999999,0,0,0,0,0,0,0,0,0,0,0,0.39736,0.17725,0.06444,0.06586,0.32321,0.19882,0.11997,0.06745,0.091,0.0294199999999999,0.2891,0.27815,0.19701,0.1891,0.16778,0.40382,0.1997,0.58585,0,0.97476,0.92135,0.68533,0.28601,0.1297,0,0,0.04936,0.66456,0.88991,0.93376,0.69858,0.3279,0.311,0,0.08507,0,0.10155,0.03171,0.06335,0.10713,0.05166,0.07697,0.16375,0.0668,0.12176,0.22599,0.28544,0.25645,0.12936,0.04806,0.12602,0.12901,0.17658,0,0,0.53639,0.23101,0.08346,0.16787,0.0634899999999999,0.82586,0.31052,0.13812,0.66692,0.17257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70347,0.70347,0.66628,0.66628,0.41577,0.41577,1.04897,1.51954,1.51954,0.0873,0,0.02768,0.31213,0.24161,0.09483,0.08012,0.17767,0.11389,0.0446,0.15045,0.09285,0.08113,0.19186,0.04145,0,0,0.07078,0.02913,0,0.03528,0.02439,0.05108,0.38811,0.06469,0.22652,0.31502,0.3422,0,0,0,0,0,0,0,0.1141,2.47536,1.865,1.26871,0.26703,0.83941,0.84461,1.52307,0.98553,0.70816,1.89538,0,1.20175,3.19939,3.63548,0.60205,3.21638,0.32838,0.7568,0.1896,1.82216,1.61013,1.19495,1.43301,0,3.96229,2.92035,0,2.82442,1.0677,0,1.15867,0.7793,0,1.04743,0.06592,2.68344,1.00533,0.81621,1.02832,1.59193,1.05382,2.47086,0.61921,2.10395,0,1.17739,0.01615,2.06755,0.34541,0.48894,0.49437,0.37559,0.73817
"Ruminococcaceae_bacterium_D16",0.0408399999999999,0.0205699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146,0,0.00622,0,0.00724,0,0,0.00223,0,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045,0.0017699999999999,0,0,0,0,0,0,0,0.04723,0,0,0,0,0,0.00213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206,0.0206,0.06599,0.06599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00234,0,0,0,0,0,0,0,0,0,0.02735,0.01378,0.00304,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0.13977,0.24942,0,0,0.03453,0.00034,0,0,0,0,0,0,0.04025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05021,0,0,0,0.00376,0,0
