"","train_1198","train_1204","train_1230","train_1308","train_1381","train_1386","train_1388","train_1389","train_1392","train_1393","train_1394","train_1396","train_1397","train_1398","train_1400","train_1401","train_1402","train_1403","train_1405","train_1406","train_1408","train_1409","train_1410","train_1411","train_1412","train_1413","train_1415","train_1416","train_1417","train_1420","train_1421","train_1424","train_1425","train_1426","train_1428","train_1431","train_1433","train_1434","train_1435","train_1436","train_1437","train_1439","train_1441","train_1443","train_1446","train_1448","train_1449","train_1694","train_1696","train_1698","train_1703","train_1707","train_1708","train_1711","train_1712","train_1715","train_1717","train_1719","train_1720","train_1725","train_1728","train_1736","train_1742","train_1744","train_1746","train_1747","train_1748","train_1755","train_1759","train_1761","train_1765","train_1767","train_1768","train_1769","train_1773","train_1774","train_1776","train_1782","train_1783","train_1784","train_1786","train_1790","train_1796","train_1800","train_1803","train_1804","train_1805","train_1813","train_1816","train_1821","train_1828","train_1837","train_1844","train_1854","train_1855","train_1860","train_1861","train_1862","train_1873","train_1874","train_1877","train_1884","train_1890","train_1892","train_1893","train_1894","train_1901","train_1904","train_1905","train_1909","train_1910"
"Bacteroides_vulgatus",13.49642,2.371,10.7144,6.61259,18.3646,4.86203,5.73213,9.96803,0.15425,8.21406,7.71226,4.86268,0,16.40253,1.88412,10.42645,0.41173,12.95215,1.25025,0.99135,0,5.57845,22.18197,0.59816,6.66371,6.97664,4.04736,4.48403,7.40962,5.75538,11.61372,23.28209,11.27915,1.1189,0.14779,0,1.98095,2.09158,1.8111,0.26696,2.2866,11.07514,2.82857,0,9.78515,5.60924,0.0257,0.86666,7.00353,2.79823,3.78568,0,6.14,9.53864,7.96745,3.60204,23.42652,4.28685,1.80893,9.53813,0,8.48934,18.54151,0.00978,10.17235,2.41134,2.35971,0,12.06226,3.02383,3.80609,2.99672,2.61608,1.31766,0.0019,1.62352,2.4977,0.88209,8.49255,10.42745,0,0,4.0567,0,5.45709,8.40786,0.50516,28.9037,8.20403,0,7.42511,4.97123,4.60049,2.96476,15.43621,0.25995,2.86578,17.36493,10.733,2.13106,0,0.6079,1.29207,13.58935,6.42318,2.84717,9.03325,2.51347,1.56331,0.85579,0
"Roseburia_faecis",0,1.1785,0.37275,0.109,0.31772,1.53984,0.30069,2.81799,1.10244,4.8447,12.29069,0.71383,0.25907,0.52478,1.06326,0.73504,0.5659,0.21496,0.42571,1.38211,4.31946,1.70364,2.32291,0.33814,0.62025,0,0.25691,3.31757,0.06942,0.30757,0.18434,0.29461,0.2427,0.61888,0.36501,12.3807,0,1.02018,0.55887,0.65636,0.01375,3.44634,0.84012,0,5.15843,0.18961,3.90056,1.23768,6.29127,2.1161,0.91548,5.61,2.02028,2.65587,2.20728,0.8412,0.48234,2.21943,1.11799,4.75561,4.02061,2.6778,3.16663,0.58367,0,5.56331,0,0,7.17715,1.14943,10.77651,1.03219,4.22419,0.58304,0,0,4.92363,0.04824,5.78782,3.06753,4.66645,0,1.25444,0,3.24201,0.55891,21.14354,0,17.15477,4.65141,0,0.92221,0.79946,1.0444,8.23642,1.11813,0,9.20822,0,0.48358,2.63555,1.70511,0.85898,0.92086,1.30058,7.9411,9.32595,1.53387,3.55106,0.29158,3.19394
"Ruminococcus_gnavus",0.11639,0,0.09642,0.02259,0.09013,0,0,0,0,0,0,0.11571,0,0.00229,0.04188,0.00527,0,0,0,0,0.0163,0,0.01684,0,0,0,0,0,0.02828,0,0,0,0,0,0.00305,0,0,0,0,0,0,0,0,0.24239,0.04442,0,0,0,0,0,0,0.00058,0,0.07936,2.40982,0,0,5.066,0,0,0.12235,0.03925,0,0.06571,0,0,0,0,0,0,0,0,0,0,0,0,0.7487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01191,0.13553,0.0072,0,0,0,0,0
"Roseburia_intestinalis",1.62083,0.02511,0.58291,0.7585,0.05347,2.06183,0.2152,0,0.04752,1.72015,0.91572,0.00236,0.52547,5.28936,0.58895,1.07804,0.06707,4.99463,0.07687,1.3492,6.13687,0.01822,0.95118,0.01512,0.15139,1.09656,0.16438,0.36428,0.02157,0.85901,0.1444,0.4522,0.29297,0,0.27507,0.00274,0,0.03624,0.00629,0.49779,0.50995,1.00648,0.05111,2.34491,0.62147,0.08608,0.74764,0.20007,0.11758,0.03199,4.07071,0.99635,1.87336,0.06572,2.18749,3.91231,2.16404,0,0.2125,0.07477,0.16407,0.13368,0.02772,0.20215,0.11971,0.04929,0.01471,2.43607,1.37652,0.53002,0.19641,0,0,0,0,2.45197,0.03226,0.24477,3.70661,0.44391,1.35931,1.52785,3.24239,0,19.99019,0,0,0.44409,0.61698,0.00354,4.05078,0.09045,1.9581,0,0.12579,0.87813,0,2.40092,0,0,1.90175,0.15525,6.49831,0.36057,2.39224,0.20583,4.2471,0.0197,0.16447,0.03719,0.98688
"Blautia_wexlerae",0.00902,0,0.00828,0.11121,0.08506,0.28587,0.07593,0.11134,0.00242,0.04096,0.02,0,0.02099,0.11825,0.01942,0.0017,0,0.0274,0,0.04346,0.06331,0,0.00687,0.01275,0.02707,0.12746,0.00725,0.10214,0.20637,0.09118,0.04567,0.03251,0.00988,0.48026,0,0.01578,0.00394,0.01064,0.04172,0.05313,0.10605,0,0.01732,0.80883,0.01811,0,0,0.00458,0,0.1223,0.0504,0.33025,0.07941,0.02904,0,0.0038,0.00202,0.12517,0.01803,0.0528,1.24643,0.00523,0.00779,0,0,0.05724,0.07372,0.42602,0.0637,0.58286,0.03185,0.00584,0,0,0.02547,0.01884,0,0.04217,0.10773,0.01678,0,0.03026,0,0.99162,0.31986,0.13463,0,0.07894,0.22651,0.03014,0.08557,0.00543,0.13616,0.14397,0.06236,0.24801,0.00439,0.06652,0.14145,0.00462,0.00253,0.00696,0.31688,0.03334,0.38459,0.09559,0.07691,0.03592,0.0212,0.27783,0.02674
"Eubacterium_eligens",0,6.18797,1.20806,0.0057,2.28911,1.0783,2.59254,0,2.94159,0.04411,0.32461,3.28151,1.48958,7.97725,1.49242,2.80485,0.65196,0.61778,0.43201,2.57425,4.42124,0.53036,0,4.86755,3.05628,3.96144,0.54469,0.3754,6.8085,2.22949,4.7277,2.36905,1.55352,1.09892,0.4092,5.26438,0.20112,0.09513,1.91449,4.71197,0,4.82484,7.4688,6.59318,0.63663,7.85965,0.37465,2.07599,6.84555,3.26223,1.80482,8.20363,0.97087,0,1.00967,0.68401,0.24835,0,1.15317,0.48503,2.63666,0.35761,0.91342,2.18948,0.25147,0.25214,0.29186,5.37798,3.22011,3.98385,0.15898,1.11348,0.84305,0.00524,2.15983,1.19436,0.2832,3.04484,7.5435,8.15636,0,2.42627,2.21874,0.76077,3.35979,1.40842,0.36715,0.04012,0,1.27928,3.92254,1.29623,4.77087,1.97369,0.01014,0.61571,0,0.311,1.28369,2.58321,3.93074,0.19553,0.04704,3.72165,4.89938,2.5139,0.5539,0.11072,2.32422,1.41681,4.19696
"Bacteroides_thetaiotaomicron",0.40189,0.00555,1.41891,1.35973,1.35922,0.37481,0.11005,0.46106,0.02814,0.44771,0.88767,1.96599,1.08281,2.1749,0.07973,0.16216,1.0033,3.6968,1.21977,0.03376,1.34407,1.12473,0.71471,1.2281,0,0.25943,0,0,0.03464,0.00959,0.65478,3.13212,0.28381,0.03211,0.09936,0.43582,0,0.03424,0,0,0.06738,0,0.0281,0.52868,0,0,0,0.69246,2.15345,0.19053,0.53279,6.05612,0.16525,0.88032,0.87573,0.51182,0.16927,0.36185,0.29329,0.58671,0,1.71193,0.67574,1.29239,0.13268,0,0.27383,0,0.8107,0,0,0,0.21856,0.34005,0.81699,2.6744,0.13833,0.14827,1.68856,0.27392,0,0.00176,0.70726,1.59114,0.4603,2.25752,0.26766,1.91238,0,0.0954,0.59991,0.05067,0.37782,0.22738,3.15741,1.04589,1.8876,2.94381,2.50673,0.5333,0,0.9311,0.52468,0.02862,0,0.23559,0.41473,2.1321,0.17076,0.05123,0.93407
"Faecalibacterium_prausnitzii",1.51348,5.05995,0.77763,3.70138,3.42043,4.39499,4.27761,20.44381,5.90521,8.63117,7.84157,12.11268,5.27871,9.82725,10.58755,3.99719,7.60236,7.48853,5.23662,16.49857,7.18247,9.9139,9.1224,4.66275,6.61271,2.51773,7.47271,4.79684,7.06139,10.40662,8.38036,10.84154,14.5768,12.72516,4.28464,12.32363,5.50638,2.34722,16.26885,2.75974,6.44589,3.40573,2.98707,5.89415,5.78061,8.25268,5.41817,3.33509,9.81856,5.65064,11.24927,20.25621,15.91577,1.9956,5.37769,7.9104,7.05321,0,4.07347,5.72095,6.66507,7.77884,5.40996,8.0374,3.59341,16.4301,4.01721,5.99908,8.67646,6.9428,13.43765,9.95971,7.91396,1.07091,4.89429,7.87677,5.81864,3.1427,9.4248,5.84405,8.43284,14.11195,3.60957,4.08504,19.97877,9.80072,6.63348,7.09186,15.39961,8.10133,15.95428,4.68762,5.36734,1.46892,10.55512,9.87992,1.79646,9.95473,18.69674,7.39045,4.89225,1.97054,10.08705,9.37617,1.47389,4.88828,11.66859,14.67792,5.16414,4.7637,7.24267
"Coprococcus_comes",0.09414,0.31037,0.31314,0.43995,0,0.11551,0.39721,0.42588,0.06395,0.04582,0.27618,0.53599,0.55801,0.22508,0.27319,0.28882,0.46734,0.30781,0.15613,0.66544,0,0.36902,0,0.01471,0.31679,0.76817,0.46486,0.81929,0.38462,0.21527,0.06521,0.39193,0.34191,1.32473,0.0394,0.40238,0.27737,0.0374,0.36589,0.11471,0.30088,0.59511,0.15155,0,0,0.27143,0.14282,0.03468,0.45481,0.09298,0.21668,0.66824,0.25884,1.17616,0.40251,0.26254,0.27532,0.22678,0.0704,0.66727,0.20947,0.2699,0.42259,0.64446,0.13164,0.34394,0.38382,0.13449,0.23434,0.54406,0.71059,0.16396,0.65635,0.15147,0.08946,0.55973,0.14894,0.32658,0.11693,0.24893,0,0.21318,1.09485,0,0.42818,0.3807,0.72971,0.33764,0.16792,0.08984,0.49845,0.14336,0.48672,0.22781,0.20113,0.68645,0,0.87089,0.28944,0.06413,0.04138,0.12975,0.32629,0.62635,0,0,0.4183,0.44992,0.19247,0.2686,0.36899
"Ruminococcaceae_bacterium_D16",0,0,0,0.22486,0,0,0,0,0,0,0,0,0,0,0,0.00411,0,0,0.08874,0,0.00611,0,0.02118,0,0,0,0,0,0.02088,0,0.00402,0,0,0,0,0,0,0,0,0,0,0,0,0.08331,0.01974,0,0,0,0,0,0,0.00092,0,0,0,0,0,0.00099,0,0,0.0088,0.00204,0.01116,0,0,0,0,0,0,0,0,0,0.00393,0,0,0,0,0.13763,0,0,0,0,0,0,0,0,0,0,0.01634,0,0,0.00266,0,0,0,0,0,0,0,0,0.00085,0,0,0,0,0,0,0,0,0.02559,0
"Streptococcus_thermophilus",0,0,0,0.3677,0,0.09668,0.0444,0.24131,0,0.00941,0.0271,0,0,0.65723,0,0.01584,0.08338,0,0,0.18825,0,0,0.1109,0.06789,0.02014,0.00464,0.2524,0.02444,0.08962,0,0,0,0.02568,0.01592,0.05576,0,0.13127,0,0.02074,0.0111,0,0.0543,0,0,0,0.01308,0.0391,0,0,0.01032,0,0.11738,0,0,0.24377,0.03376,0,0.08314,0,0,0.0067,0,0,0,0,0.02983,0.2053,0.12578,0,0.01546,0,0,0,0,0.01331,0,0.44765,0,0,0.17344,0.06706,0,0,0,0,0,0,0.00175,0,0,0,0,0,0,0,0,0,0,0,0,0.09024,0,0,0,0.08815,0,0,0,0,0,0
"Dialister_invisus",0,0,0,0,0,0,0,0.07872,0,0,0,0,3.00076,0.16553,0,0,0,0.27341,0,0,0,0,0.47227,0,0,0,0,0,0,0,0,0,1.54682,0,0,0,0,0,0,0,0,0,0.02293,0,0,0,0,0,0,0,0.5557,0.28921,0.98167,0,0.27269,0,0,0,0,0,1.44439,0.18203,0,0,0,0,0,0,0.62182,0,0,0.24742,0,0,0,0.27244,0,3.74217,0,0,0,0.40531,0,0,0,0,0,0,0,0,0,0,0,0.0324,0,0,2.29576,0,0.32686,0,0,0.43032,0,0.9815,0,0,0,0.43515,0,0,0
