id	GMHI	Shannon_taxonomy	Shannon_pathways
Sample10a	-3.16536317854824	2.8729910720209393	2.307400581010095
Sample10b	-1.71696380967436	2.531401297087834	1.8700400158766894
Sample19a	0.0	0.31773521868970517	0.2651639571471321
Sample19b	0.0	0.2493663827790059	0.26750385425512446
Sample1a	-1.87719507647386	1.45417666841947	1.6824190474206842
Sample1b	0.0	2.4275020193095536	2.0652017216619796
Sample20a	0.0	2.41009131729066	1.73578599640362
Sample20b	0.0	2.0076128325693725	1.3230979280659023
Sample23a	2.79615474381152	2.958520094985456	2.096243290321962
Sample23b	3.21525445811462	2.8242050510452223	1.8512769419657602
Sample25a	-2.48154166938233	2.772074898218918	1.849202585943693
Sample25b	0.0	2.3739214535495874	1.84935515585391
Sample26a	-2.06284334288672	1.843845982333147	1.783512090152262
Sample26b	-2.30053668262044	1.8374188900244188	1.4664099512741586
Sample27a	-2.93525246868319	3.213608544595518	1.2258524995401494
Sample27b	3.62308915293601	2.531654893098606	1.9690913523063063
Sample34a	0.0	0.7044355011394247	1.1244144469943762
Sample34b	0.0	0.37803864924063263	1.0476625609379249
Sample36a	1.69346927170951	2.8492464350583893	1.9340495152742498
Sample36b	1.94848452449891	2.6865465808196447	1.901849751537843
Sample38a	-2.15390099784328	3.7701460106554947	1.5708273057752193
Sample38b	0.0	2.485655371237074	2.1437253519621784
Sample3a	0.0	3.2530513387203004	2.6836367364564553
Sample3b	-2.08827755149084	3.163308534925893	1.8051978327884608
Sample40a	0.0	3.5303715894835377	2.1745008653767073
Sample40b	0.0	3.5574450927067147	2.3228153588841525
Sample50a	0.0	1.8160649527170092	1.5267255179031898
Sample50b	0.0	2.339596202525854	1.3536273823697227
Sample56a	1.20691978998724	3.3549143416192884	2.628349051729389
Sample56b	-3.33631745576354	3.269541403507723	2.244407657347384
Sample5a	-2.56069870168263	3.3352814418478047	1.776765683739009
Sample5b	-3.05346602126017	3.277573046185404	1.880724827143432
Sample60a	-1.30370353336228	3.118084159156538	2.1774074309861517
Sample60b	0.0	1.7648285186835533	1.6944642227372197
Sample63a	3.00642041938105	3.1515622561711827	2.3345558373811754
Sample63b	-0.866482811503585	3.2898604506713887	2.4129180901840854
Sample69a	0.531398020025075	1.8198245962127506	1.9270222900153329
Sample69b	2.35571824503144	3.3550023015589776	1.8431849547135009
Sample6a	-2.37542435106023	2.902021638201984	1.6648942292392432
Sample6b	-3.09169990497123	3.117244572477308	2.338296332945316
Sample73a	3.45317752580644	3.1804821888954575	1.341210100711807
Sample73b	1.93033877456291	3.710092406921539	2.7118961113490423
Sample77a	0.0	2.7867897586974224	1.7767974976496475
Sample77b	0.0	2.974977686632604	2.048212118647372
Sample78a	2.81354667746516	2.9571395679970878	0.41107789796083666
Sample78b	3.59908705079731	3.2844866161901316	0.6947538372710186
Sample7a	0.0	2.5296352017084907	1.5259438201874016
Sample7b	0.0	2.576048213662232	1.7960277052516347
Sample80a	-1.97039519079309	1.8625261262395194	1.7197992242371762
Sample80b	-2.2867836171238	1.9599577896470701	1.7816154458106304
Sample81a	-1.82972883231981	2.5914648513067036	2.049191807777232
Sample81b	-2.59985377640894	2.593362206135069	2.4702955970605402
Sample82a	2.67887983504208	3.3502330590944935	2.316280696958085
Sample82b	3.08464714148253	3.0368630839334467	2.5642379819376764
Sample83a	2.77834466534821	3.6680321014489152	1.8289226349655041
Sample83b	2.33940208804112	3.39857105110143	1.7992212716832774
Sample84a	2.99868411239757	2.8999186436708633	1.0162998118074693
Sample84b	3.24260113490991	3.151874641600491	1.1166531921042584
Sample90a	-2.62823927259972	0.7649900408673527	0.9096660725649115
Sample90b	-2.12225297340328	1.1140667698916809	1.1469259941687915
Sample91a	0.0	2.599597157876385	1.8753726587682364
Sample91b	0.0	2.4458433187193656	1.1530057587789897
Sample93a	3.25674713451074	3.148884943470847	1.4723423597756429
Sample93b	3.11082236810078	3.2277545427726992	2.0860807207443752
Sample95a	3.15621065541782	3.4619194418232393	2.2852671335933525
Sample95b	2.48502783017206	3.4648790297460845	1.818162285347935
Sample96a	2.35930250319786	3.2803221536815026	2.015825477229404
Sample96b	3.35014075560161	2.954671090073636	2.0844890823146587
Sample98a	-2.16350708964294	3.1130719260919038	1.2981329924501812
Sample98b	-2.315982792322	3.068846185011726	1.6464659621203828
