Healthy,Unhealthy
Butyricimonas_paravirosa,Hungatella_hathewayi
GGB3175_SGB4191,Veillonellaceae_bacterium
Butyricicoccus_sp_AM29_23AC,Citrobacter_freundii
GGB9616_SGB15052,Mediterraneibacter_glycyrrhizinilyticus
Clostridiaceae_bacterium_Marseille_Q4145,Enterocloster_bolteae
Oscillospiraceae_bacterium_Marseille_Q3528,Anaerostipes_caccae
GGB80011_SGB15267,Blautia_producta
GGB9708_SGB15234,Blautia_caecimuris
Clostridium_sp_AF34_10BH,Escherichia_coli
Coprococcus_eutactus,Clostridium_butyricum
GGB33469_SGB15237,Enterocloster_aldenensis
GGB9495_SGB14892,Tyzzerella_nexilis
GGB47687_SGB2286,Eggerthella_lenta
Eubacterium_ramulus,Clostridium_sp_AT4
GGB51269_SGB5062,Intestinibacter_bartlettii
Blautia_luti,Clostridium_spiroforme
Blautia_faecis,Klebsiella_pneumoniae
Roseburia_sp_AF02_12,Escherichia_marmotae
GGB9635_SGB15106,Clostridium_paraputrificum
Roseburia_hominis,Proteus_mirabilis
GGB3653_SGB4964,Clostridium_symbiosum
Ruminococcus_sp_BSD2780120874_150323_B10,Blautia_hansenii
GGB13404_SGB14252,Ruminococcus_gnavus
GGB9296_SGB14253,Faecalimonas_umbilicata
Candidatus_Gastranaerophilales_bacterium,Erysipelatoclostridium_ramosum
Dorea_sp_AF24_7LB,Enterocloster_clostridioformis
