	Object.ID	cluster	hub	Pathway	Common.Name	Ontology.pathway_type	Parental.Ontology.pathway_type	General_Pathway_Type
1	1CMET2-PWY	#6A3D9A	2	folate_transformations_III_(<i>E._coli</i>)	folate_transformations_III_(E._coli)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
2	ARG-POLYAMINE-SYN	#D9D9D9	1	superpathway_of_arginine_and_polyamine_biosynthesis_(from_L-glutamate)	superpathway_of_arginine_and_polyamine_biosynthesis_(from_L-glutamate)	Amide,_Amidine,_Amine,_and_Polyamine_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
3	ARGDEG-PWY	#DF65B0	2	superpathway_of_L-arginine,_putrescine,_and_4-aminobutanoate_degradation	superpathway_of_L-arginine,_putrescine,_and_4-aminobutanoate_degradation	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
4	ARGININE-SYN4-PWY	#1F78B4	0	L-ornithine_biosynthesis_II	L-ornithine_biosynthesis_II	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
5	ARGSYN-PWY	#6A3D9A	4	L-arginine_biosynthesis_I_(via_L-ornithine)	L-arginine_biosynthesis_I_(via_L-ornithine)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
6	ARGSYNBSUB-PWY	#6A3D9A	5	L-arginine_biosynthesis_II_(acetyl_cycle)	L-arginine_biosynthesis_II_(acetyl_cycle)	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
7	ARO-PWY	#6A3D9A	5	chorismate_biosynthesis_I	chorismate_biosynthesis_I	Carboxylic_Acid_Biosynthesis	Biosynthesis	Metabolism_of_Carboxylic_Acids
8	AST-PWY	black	26	L-arginine_degradation_II_(AST_pathway)	L-arginine_degradation_II_(AST_pathway)	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
9	BIOTIN-BIOSYNTHESIS-PWY	#33A02C	4	biotin_biosynthesis_I	biotin_biosynthesis_I	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
10	BRANCHED-CHAIN-AA-SYN-PWY	#D9D9D9	1	superpathway_of_branched_chain_amino_acid_biosynthesis	superpathway_of_branched_chain_amino_acid_biosynthesis	Metabolic_Clusters	Biosynthesis	Specialized_and_Miscellaneous_Routes
11	CALVIN-PWY	#D9D9D9	1	Calvin-Benson-Bassham_cycle	Calvin-Benson-Bassham_cycle	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
12	CATECHOL-ORTHO-CLEAVAGE-PWY	#D9D9D9	0	catechol_degradation_to_&beta;-ketoadipate	catechol_degradation_to_beta-ketoadipate	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
13	CENTFERM-PWY	#D9D9D9	0	pyruvate_fermentation_to_butanoate	pyruvate_fermentation_to_butanoate	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
14	CITRULBIO-PWY	#D9D9D9	1	L-citrulline_biosynthesis	L-citrulline_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
15	COA-PWY	#6A3D9A	2	coenzyme_A_biosynthesis_I_(bacteria)	coenzyme_A_biosynthesis_I_(bacteria)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
16	COA-PWY-1	#6A3D9A	4	superpathway_of_coenzyme_A_biosynthesis_III_(mammals)	superpathway_of_coenzyme_A_biosynthesis_III_(mammals)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
