	short	complete_path
1	AST-PWY	AST-PWY:_L-arginine_degradation_II_(AST_pathway)
2	GLYCOLYSIS-TCA-GLYOX-BYPASS	GLYCOLYSIS-TCA-GLYOX-BYPASS:_superpathway_of_glycolysis,_pyruvate_dehydrogenase,_TCA,_and_glyoxylate_bypass
3	GLYOXYLATE-BYPASS	GLYOXYLATE-BYPASS:_glyoxylate_cycle
4	KDO-NAGLIPASYN-PWY	KDO-NAGLIPASYN-PWY:_superpathway_of_(Kdo)2-lipid_A_biosynthesis
5	KETOGLUCONMET-PWY	KETOGLUCONMET-PWY:_ketogluconate_metabolism
6	P105-PWY	P105-PWY:_TCA_cycle_IV_(2-oxoglutarate_decarboxylase)
7	PWY-561	PWY-561:_superpathway_of_glyoxylate_cycle_and_fatty_acid_degradation
8	PWY-5675	PWY-5675:_nitrate_reduction_V_(assimilatory)
9	PWY-5723	PWY-5723:_Rubisco_shunt
10	PWY-6285	PWY-6285:_superpathway_of_fatty_acids_biosynthesis_(E._coli)
11	PWY-6803	PWY-6803:_phosphatidylcholine_acyl_editing
12	PWY-7254	PWY-7254:_TCA_cycle_VII_(acetate-producers)
13	PWY-821	PWY-821:_superpathway_of_sulfur_amino_acid_biosynthesis_(Saccharomyces_cerevisiae)
14	TCA-GLYOX-BYPASS	TCA-GLYOX-BYPASS:_superpathway_of_glyoxylate_bypass_and_TCA
