"","train_1913","train_1914","train_1919","train_1920","train_1926","train_1929","train_1931","train_1932","train_1933","train_1934","train_1939","train_1942","train_1944","train_1945","train_1948","train_1949","train_1950","train_1951","train_1954","train_1955","train_1957","train_1958","train_1960","train_1961","train_1963","train_1966","train_1968","train_1972","train_1973","train_1975","train_1978","train_1982","train_1984","train_1986","train_1989","train_1990","train_1991","train_1993","train_1997","train_1998","train_2000","train_2001","train_2003","train_2004","train_2005","train_2006"
"Bacteroides_vulgatus",0.12682,0.18109,12.07754,3.49324,17.16982,11.19041,11.40946,14.1103,29.21674,32.07567,14.0182,8.97284,0.09507,0.12362,7.5314,0.26471,0.07012,10.29404,0.73495,0.09059,0.93559,12.57782,11.13903,29.20707,44.86158,0.34832,0.11011,4.56978,0.315,10.71468,0.96248,42.00446,27.40125,9.39132,38.41118,79.02643,14.509,7.46724,0.22025,15.53314,23.419,0.30982,0.04595,42.14069,25.04283,8.31326
"Roseburia_faecis",0.63717,0.33843,0.01104,0.60878,0.01016,0.02628,3.98492,0.06242,0.12727,0.07421,0.02346,0.56726,0.86335,0.05155,7.18273,0.20196,0.17159,13.86298,0.00086,0.52077,0.42497,0.28456,0.00839,0.75716,0.55724,0.35247,0.00079,0.03364,4.20006,0,0.02042,0.00403,0.74524,12.94647,0.04841,1.57763,1.12669,1.31324,2.92823,0.01873,0.76407,6.45941,0.00483,0.02898,0.04678,0.99305
"Ruminococcus_gnavus",0.00628,0.07758,0.07299,0.01116,0,0.07162,0.01348,0.21461,0.07282,0.09038,0.2108,0.04548,0.01019,0.06343,0.09248,0.0163,0.81782,0.28562,0,0.00013,0.00418,0,0.00308,0.08288,0.00887,1.07414,0.00395,0.29631,0.0677,0.03998,0.00967,1.25292,0.26905,0.00894,0.12414,0.05644,0.21239,0,0.42549,0.1511,0,0,6.95201,0.11455,0.09399,0
"Roseburia_intestinalis",0.01203,0.01542,0.60979,1.00326,0.39681,0.20169,0,0.04345,0.15193,0,0.02123,0.42879,5.18813,0.02733,12.38365,0.08785,0.04264,0.0261,0,0.02031,0.3258,0.76188,0.00287,0,2.40085,0.2421,0.0069,2.26006,0.01128,0.87003,0.05204,0,0.58635,0.13917,0.0153,0.06487,3.70816,0.28005,0.07924,0.10741,0,6.6769,0.00516,0.06243,1.88208,0.37948
"Blautia_wexlerae",0.14369,0.08983,0.2322,0.02694,0.06655,0.00582,0.01418,0.06729,0.0073,0.01236,0.01428,0.33597,0.07352,0.42121,0.95895,1.74425,0.04902,5.78524,0,0.06807,0.01442,0.68898,0.14989,0.38542,0.01749,0.11099,0.01264,0.46828,0.36559,0.06029,0,0.04993,0.0103,0.02847,0.01681,0.01213,0.89816,0.01752,0.33835,0.4531,0.75051,0.21454,1.19439,0.30624,0.00732,0.45654
"Eubacterium_eligens",3.09338,0.01562,0.00807,0.29806,1.26324,0,0.04731,0,0.00896,0.22064,0.01072,1.0625,7.22324,0.01421,0.00861,0.04768,0.00737,0.01807,0,3.03304,0.02202,2.15749,0.00734,0,6.78515,0.72838,0,2.29918,3.32813,0,0.15202,0.00614,0,2.03107,0.00331,1.3925,0.68746,0.18039,0.23635,0.0305,0.02355,0.05798,1.40676,0,0.02082,1.63892
"Bacteroides_thetaiotaomicron",0.03136,1.17085,1.08296,1.82554,0,0.25776,1.10109,4.47698,1.71195,5.86278,0.01017,0.09567,6.14599,1.05174,0.01042,6.53787,1.62153,1.03811,0.02465,0.00857,0.20162,2.71375,0.03605,0.66289,3.68357,0.01691,0.01553,4.28977,0.02408,0,0,0.00767,4.7238,0.01655,7.82843,0.03156,0.45412,0.00633,0.76513,4.73373,1.32063,0.00378,0,0.00659,9.63682,0.04032
"Faecalibacterium_prausnitzii",9.82341,13.62278,1.91635,1.54298,5.16859,12.83519,5.04994,2.57733,1.25647,0.35408,0.06748,1.06166,10.7892,8.90549,1.72106,0.2571,0.13348,0.04045,0.78436,0.09927,1.35305,2.56901,3.19318,0.0026,6.78477,0.73969,7.57174,3.41527,1.67422,0.59505,4.63826,0.0437,0.09191,8.00649,0.06565,3.63166,4.14041,1.35763,1.6609,0.67836,1.1746,12.06377,3.44907,0.35177,0.39467,0.38802
"Coprococcus_comes",0.15347,0.78834,0,0.14556,0.08784,0.12331,0.02909,0.12504,0.39572,0.13973,0,0.00455,0.12726,0.29343,0.28026,0.01024,0.00386,2.63911,0.29363,0.26692,0.54866,0,0,0,0.00578,0,0.00866,0.00891,0.00415,0,0.05632,0,0,0.33386,0,0.0043,0.25444,0.26316,0.18035,0.00283,0.84179,0.36105,0,0,0.0019,0
"Ruminococcaceae_bacterium_D16",0.01887,0,0,0.08109,0,0,0.00101,0,0.12249,0,0,0.02239,0,0,0,0,0,0,0,0,0,0.03096,0.00308,0,0.01087,0,0,0.0021,0,0,0.00357,0,0,0,0,0,0,0.0134,0,0,0,0,0,0,0.00405,0
"Streptococcus_thermophilus",0,0,0.04903,0.00569,0,0.15487,0,0.27652,0,0,0.01004,0.00693,0.16714,0.0091,0.09966,1.24456,0,1.398,0.18141,0.03701,0,0,0.02099,0,0,0.00368,0.01548,0.01788,0.05393,0.07558,0,0.20027,0.01704,0.0297,0.00204,0.09041,0.03011,0.00068,0,0,0,0,0.15066,0.00088,0,0
"Dialister_invisus",0.02701,1.10183,0,0,0,0,0.15379,0,0.03198,0,0,0.06648,1.65706,0.00584,0.00299,0.03526,0.00021,4.19225,1.62456,0.00828,0,0,0,0,0.24717,0.03134,0.00061,0,0.13219,0.11907,0,0,0,0,0,0.33768,0,0,0,0,0,0,0.15523,0.00034,0,0
"Blautia_sp_CAG_257",0.09534,0,0.03493,0,0,0.00487,0,0.00827,0.01546,0,0.17852,0.06142,0.19391,0.02916,0.02633,2.51025,6.15675,1.00473,0,0.00246,0.00538,0.06415,0,0.04291,0.02185,0.01913,0,0.09654,0.06195,0.09622,0,0,0.40786,0,0.06306,0,0.00593,0.01957,0.00928,0.05181,0.28711,0,0.34721,0.04772,0.15275,0.08422
"Flavonifractor_plautii",0.03171,0.14235,0.04962,0.09692,0.00542,2.50837,0.06323,0.2795,0.79623,0.34938,0.39097,1.07145,0.97329,0.09649,0.46763,2.53717,0.95922,0.38267,0.38404,0.02191,0.09367,0,0.04621,0.18726,0.30038,0.50878,1.01571,0.62433,0.27572,0.73147,1.50305,0.01326,0.60877,0.43278,0.82867,0.19139,0.20125,0.38759,0.73504,0.98707,2.03089,0.04113,1.09341,0.8222,0.06558,1.13299
"Lactococcus_lactis",0,0.00125,0,0,0,0.01695,0,0.00992,0.01232,0,0,0.01618,0.15547,0.0955,0,0,0.0129,0.05908,0.94859,0.02201,0,0,0,0,0,0.00115,0,0.07307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-04,0,0
"Escherichia_coli",0.02301,0.0734,0,0,0,0.01265,0,0,4.70574,0,0.04404,0.03747,0.03721,0.01253,0.01121,2.94998,2.24172,0.0044,2.47741,0.36484,0.07141,0,0.01995,0.14308,0.00585,1.67559,0.11389,0,0,0,1.40322,1.50662,5.16173,0.7689,0.09553,0.26939,0,0.00499,0.00429,0,0.75342,0,0.70913,3.91919,0.08039,0.04898
"Firmicutes_bacterium_CAG_94",0.03107,0,0,0,0,0,0,0.07561,0,0,0,0.25486,0,0,0,0.56284,0,9e-04,0,0,0,0.01484,0.01174,0,0,0.23548,0,0,0,0,0,0,0,0.0454,0,0.00508,0.00154,0.00704,0,0.00082,0,0,0.00031,0.00023,0,0.00305
"Turicibacter_sanguinis",0,0.01723,0,0,0,0,0,0,0,0.00093,0.00042,0.0178,0,0.00529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08446,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridium_ramosum",0,0.00034,0.07874,0,0,0,0.00129,0,0,0,0,0,0,0,0.0783,0.03008,0.01217,0.04035,0,0.02854,0,0,0,0.01615,0.00122,0.2344,0,0.15871,0.04312,0.07931,0,0.34131,0.04948,0,0.05973,0.0176,0,0,0,0.09701,0,0,0.10002,0.02599,0,0.04009
