"","train_2667","train_2668","train_2669","train_2670","train_2671","train_2672","train_2673","train_2674","train_2675","train_2676","train_2677","train_2678","train_2679","train_2680","train_2681","train_2682","train_2683","train_2684","train_2685","train_2686","train_2687","train_2688","train_2689","train_2690","train_2691","train_2692","train_2693","train_2694","train_2695","train_2696","train_2697","train_2698","train_2699","train_2700","train_2701","train_2702","train_2703","train_2704","train_2705","train_2706","train_2707","train_2708","train_2709","train_2710","train_2711","train_2712","train_2713","train_2714","train_2715","train_2716","train_2717","train_2718","train_2719","train_2720","train_2721","train_2722","train_2723","train_2724","train_2725","train_2726","train_2727","train_2728","train_2729","train_2730","train_2731","train_2732","train_2733","train_2734","train_2735","train_2736","train_2737","train_2738","train_2739","train_2740","train_2741","train_2742","train_2743","train_2744","train_2745","train_2746","train_2747","train_2748","train_2749","train_2750","train_2751","train_2752","train_2753","train_2754","train_2755","train_2756","train_2757","train_2758","train_2759","train_2760","train_2761","train_2762","train_2763","train_2764","train_2765","train_2766","train_2767","train_2768","train_2769","train_2770","train_2771","train_2772","train_2773","train_2774","train_2775","train_2776","train_2777","train_2778","train_2779","train_2780","train_2781","train_2782","train_2783","train_2784"
"Bacteroides_vulgatus",10.48434,24.93227,5.02923,0.0547299999999999,5.64715,10.82437,1.73734,19.6797,1.84287,3.56382,0.0736899999999999,1.58985,10.60769,11.26627,1.50567,1.08503,28.18616,8.61405,4.62957,38.15479,12.94838,48.45607,17.94816,8.93898,42.76929,15.08316,0.15308,4.72886,0.02836,0.09201,10.67006,12.68775,0.03453,14.20731,0.02156,0.42004,4.29074,7.91546,26.86736,0.17663,0.67065,5.15589,2.44058,24.2692,26.63743,0.09382,4.00574,27.09539,6.62191,20.11616,19.5739,34.04641,0.09352,4.92475,1.52843,1.56545,27.59617,0.34611,0.09526,1.76746,45.25492,0.0773799999999999,45.73666,0.44421,5.86089,0.14019,0.33847,13.30938,11.56713,28.79102,1.00804,0.0069599999999999,13.72652,7.86778,34.05078,0.09443,26.28222,17.8243,31.14352,9.33829,3.96785,7.72566,23.41573,0.19336,0.12648,26.25081,41.72316,33.69687,23.33397,0.15617,12.68283,17.21026,0.15649,7.49849,14.50328,47.08308,1.02119,0.43918,0.2556,0.63419,0.27295,18.19571,59.88832,26.26487,0.20534,31.28929,27.15426,6.08208,0.50297,30.70517,7.07558,14.6561,8.71275,4.13421,28.29695,0.0237199999999999,8.91231,4.96221
"Roseburia_faecis",0,0,0.06501,6.13767,0.14215,0.77306,0.60501,0.04103,0.03048,0,0.00069,0.00091,0,0.00307,0.32935,0.0047,0,2.72879,0.77923,0.00179,0,0,0.00066,0.0013599999999999,0.00186,0.0481399999999999,17.47692,1.69287,0.00899,0,0,0.49717,0.09325,0.00373,5.60776,0.58013,0.44164,0.00415,0.01719,0.01769,0,0.6602,0,0.00226,0,0.00399,0,0.08002,0.00155,1.31001,3.54749,0.00336,0.00702,0,0.01518,0.01449,0,0,1.29358,0.88445,0,0.00083,0.0052899999999999,3.59397,0,0,0.01174,1.43558,4.97065,0.00379,1.33208,0.00128,10.36125,4.90997,0.0019199999999999,0.0235,0.02873,6.19638,0.06813,0.00592,0.00511,0.02831,0.00602,4.38069,0.00375,0,0.00243,0.14704,0.00564,0.37064,1.73121,0.03603,0,0.0283199999999999,0,0.0069999999999999,0,1.27601,0.01766,0.46602,0,0,0,0.00658,2.53397,0.10607,0,4.90921,0.0127599999999999,0.0033399999999999,0.66646,0.0066099999999999,0,0.0073799999999999,0.08646,0,0.00221,0.67223
"Ruminococcus_gnavus",0.06235,0.27994,0.00278,0.04058,0.01363,0.0442399999999999,0.09222,0.76039,2.40375,0.3789,0,1.12813,1.36885,0.3829,0.01195,11.30991,0.05056,0.03366,0.03001,1.01607,0.21101,0.52876,0.14661,0.0287899999999999,1.75248,0.1404,0.41318,0.01822,0.04631,1.44638,1.41798,0.00073,0.10344,0.03371,0.03585,1.5771,0.0228699999999999,0.05173,2.26869,0.0199699999999999,0.40199,0.00044,0.01089,2.35954,4.47969,0.04693,1.59457,2.07139,1.10118,0.21223,0.00675,0.88334,0.00069,0.25613,0.0018,0.02839,6.29268,7.0352,1.93529,0.03041,1.56357,0.22781,1.27308,0.01179,0.39115,1.49706,0.396,0.0484,0.15467,0.24723,2.10613,7.77165,0.08387,0.08946,0.36938,0.47113,0.42365,0.01044,3.95327,0.16806,0.25037,0.0313899999999999,0.13563,4.1862,3.99039,0.51241,1.37922,0.13845,2.89504,0.27365,1.00316,0.02077,1.55888,0.00231,0.75301,1.24551,25.33345,0.03154,0.4369,0.16713,4.64602,5.26912,1.22642,1.43863,1.98533,0.00552,1.82314,0.17958,7.76277,0.29569,0.08422,0.27568,1.83567,0.71981,0.30627,0.5244,0.16972,0.01078
"Roseburia_intestinalis",0,0.00134,0.15121,0,0.11451,0.1119,0.78941,1.32825,0.01758,0.00234,0,0,0.0786,0.14718,0,0,0,0,0.01145,0.00379,0,0.00629,0,0.02931,0,0.66524,0.02294,0.11084,0.02608,0.01348,6.46665,0.46083,0.00584,0,0.17574,0.1642,0,0.13072,0.13158,0.00306,0.01376,0.23937,0.01234,0,0,0.17657,1.45303,0.03259,0.01111,0.16287,0,0.17456,0.0001699999999999,0,0,0.01673,0.00688,0.0092,14.11643,0.04802,0.01564,0,0.01009,0.32726,0.03725,3.86561,0.04515,0.17071,0,0.09913,0.02404,0,0,0.27221,0,0,0.00288,0.00088,0.63717,0.12912,0,0.09687,0.00516,0.04856,0,0.3395,0.0028399999999999,1.20407,0.0074099999999999,3.48497,4.25672,0.00193,0,0.02616,0.44331,0.00303,0,0.01351,0,0.09097,0.0225,0,0,0,5.05072,3.29716,0,0.04527,3.83329,1.42011,3.11509,0.64661,0.0309,0.07364,0.1488,0,0.00634,0.00893
"Blautia_wexlerae",0.13052,0.15711,0.08146,0.05676,0.00697,0.0784,0.08541,0.03191,0.001,0.05935,0.01079,0.55926,0.09823,0.01891,0.0878299999999999,0,0.25032,0.09012,0.21297,0.04072,0.04916,0.24379,0.1156,0.03202,0.40137,0.00586,0.47822,0.99213,0.23783,0.63344,0.05587,0.03344,0.01626,0.0319,0.11864,0.10713,0.03596,0.05392,0.01343,0.00112,0.00571,0.06556,0.14331,0,0.18604,0.01119,0.06095,0.06812,0.07063,0.03626,0.48825,0.44001,0,0,0.15291,0.00606,0,0,0.17265,0.0356,0.06118,0.66211,0.1089,0.03129,0.39091,0.09693,0.34281,0.32715,0.07265,0.17683,0.03754,1.34172,0.02433,0.03934,0.0679299999999999,0.11378,0.01524,0.09319,0.22787,0.09477,0.04075,0.03342,0.00476,3.90455,0.0528299999999999,0.23501,0.05395,0.0220199999999999,0.01074,0.25614,0.07521,0.0155199999999999,0,0.15313,0.21083,0.05292,0,0,0.12488,0.01231,0.00241,0.01835,0.01081,0.08517,0.46598,0.97778,0,0.02416,0.40065,0.03783,0.25664,0.44401,0.02356,0.17404,0.02194,0,0,0.09958
"Eubacterium_eligens",14.63743,0.01885,10.81008,9.17177,0.3011,0.02836,0.16119,0.20828,3.21549,0.00491,0.0004599999999999,0.10418,0.16658,0.02516,2.39539,0.00976,7.376,0.20453,2.28009,0.07019,0.00585,0.08129,0.00896,7.98867,0.1091,10.3949,0.26384,11.94456,0.0698299999999999,3.26774,0.32041,17.11277,8.69664,0,0.0077599999999999,0.00162,1.39795,1.62283,0.93373,0.00692,0.03278,19.14472,4.27549,1.63616,0,1.88411,0.03428,1.10915,0.01182,16.97628,17.65345,0.02039,0.0202,0.00996,3.61994,1.96725,0,0.0066,1.15969,6.58408,0.00618,21.44466,0.05211,1.78193,1.60126,0.01734,5.68349,9.85769,1.12962,4.02824,0.09715,0,8.6631,0.14599,0,5.48475,1.01363,0.23207,0.01223,0.50214,15.07308,3.52943,0.01232,5.08945,0.04242,14.81795,0.03348,0.01185,0.43182,0.05023,10.15819,1.452,0.00801,7.73895,0.01374,0.01075,0.05319,1.86621,0.00099,3.30311,0.08952,0.01155,0.01993,0.73338,1.27247,0.60717,0.10467,22.28392,0.11639,0.05049,2.01215,0.18202,0.02787,2.53374,0.66489,0.02034,0.0619399999999999,2.58997
"Bacteroides_thetaiotaomicron",0.67445,0.49953,0.70995,4.88468,1.07641,3.54343,0.53655,0.35874,0.63738,0.5748,0.21505,0.13173,0.22146,2.80745,1.72372,1.10534,4.10574,1.43751,0.25273,9.93017,2.02725,0.95737,4.62671,3.50333,1.39058,1.16286,0.0076599999999999,0.26167,0.10161,11.24535,1.14724,0.81453,0.0016899999999999,3.45583,1.02924,0.71574,0.01943,4.2787,1.39255,0.00977,0.43315,4.69346,1.06852,2.4512,0.78697,1.20097,2.99229,1.80811,4.89529,0.51415,1.72095,0.9801,0.00556,0.56436,0.27818,0.09013,8.12273,0.09275,0.81417,0.18531,6.05864,5.20601,5.7324,0.03635,7.40716,6.15756,0.21407,5.48311,0.27158,2.76005,0.23498,1.85143,3.72893,0.90463,0.45891,1.1081,4.08503,0.17744,0.75975,4.76524,0.05532,0.48463,0.47869,0.01261,2.73016,4.82294,4.68629,19.67082,6.54758,18.18023,12.09681,3.09356,7.887,0.10835,0.27658,2.34828,0.08842,0.31083,0.01685,0.20183,0.14752,1.9946,3.98117,0.16465,0.02054,1.87792,2.39344,0.57987,0.04241,5.12685,1.27311,2.12245,0.24083,0.32916,1.29051,0,0.8552,0.29598
"Faecalibacterium_prausnitzii",10.85651,6.51013,5.97622,1.78753,2.76153,8.20765,7.10672,6.45856,1.28062,0.61429,2.18249,19.18141,8.16096,8.18105,5.04053,1.42678,2.10283,8.61173,2.11686,14.04241,1.15254,5.66692,12.83348,2.79515,0.44148,7.07824,0.48472,4.86646,2.07716,14.91737,29.71432,8.37501,12.12309,7.9363,4.90801,1.75769,4.39844,4.43351,4.50691,2.78679,3.10469,8.52393,4.86903,7.16139,2.06296,3.44643,0.56107,1.66813,3.94071,16.92975,6.02124,3.12294,0.04017,8.0243,6.34029,6.16546,0.01109,0.02305,2.41336,9.88883,0.4734,9.89025,0.03456,3.91618,8.41924,0.11982,3.76325,5.89657,7.694,9.57066,11.22619,8.62315,6.22159,5.96101,0.87679,5.53002,0.80416,17.8203,2.55601,0.65647,3.53863,3.85915,0.42832,17.49282,0.03922,3.1235,6.43,2.39299,0.08466,7.41298,3.62404,3.42272,1.07443,4.48874,3.67849,0.32471,0.16171,1.57801,2.06705,2.80207,0.09837,3.94726,0.28165,0.54842,0.0282399999999999,12.22416,0.23361,4.78784,0.18845,1.2231,5.18925,3.16805,16.2015,1.01735,1.69211,0.01925,2.872,1.39018
"Coprococcus_comes",0,0.12012,0.1897,0,0.00659,0.07489,0.04995,0,0.01457,0,0,0,0.54771,0.02037,0.19833,0,0.0308699999999999,0.1453,0.09274,0.0202,0,0,0,0.04768,0,0.03257,0,0.04676,0.11679,0,0,0,0.01549,0.0497,0,0.02429,0.0214,0.06973,0.06195,0,0.00466,0,0.0706799999999999,0,0,0.0105799999999999,0,0.0238,0,0.0368,0.25968,0,0,0.08644,0,0.10448,0,0,0,0.0304899999999999,0,0.01554,0,0.04268,0,0,0,0.10271,0.13365,0.08222,0.84515,0.0732299999999999,0,0,0,0,0,0.0703,0,0,0.0688,0.11619,0,0,0,0,0,0,0,0,0.01554,0.00057,0,0,0,0,0,1.72796,0.06698,0.04661,0,0,0,0,0,0.02838,0,0,0,0.52873,0,0,0,0.00949,0.01661,0,0,0.08877
"Ruminococcaceae_bacterium_D16",0,0,0,0,0,0,0.00195,0.00224,0.01044,0,0,0,0,0.0044,0,0,0,0,0.00188,0,0,0,0,0,0,0,0.54477,0.02001,0.6185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00327,0,0,0.00215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00228,0,0.00066,0,0,0,0,0,0,0,0,0.02389,0,0,0,0,0,0,0,0,0,0,0,0,0.0004599999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00879,0,0,0,0,0,0
