"","train_1190","train_1196","train_1207","train_1213","train_1214","train_1215","train_1216","train_1217","train_1219","train_1221","train_1222","train_1225","train_1231","train_1232","train_1233","train_1235","train_1236","train_1238","train_1239","train_1240","train_1242","train_1244","train_1250","train_1254","train_1255","train_1256","train_1259","train_1262","train_1264","train_1265","train_1268","train_1269","train_1270","train_1272","train_1273","train_1275","train_1283","train_1288","train_1290","train_1293","train_1295","train_1299","train_1301","train_1302","train_1304","train_1307","train_1309","train_1313","train_1314","train_1316","train_1327","train_1330","train_1459","train_1464","train_1465","train_1467","train_1469","train_1471","train_1476","train_1509","train_1526","train_1541","train_1552","train_1557","train_1574","train_1585","train_1593","train_1601","train_1618","train_1624","train_1625","train_1631","train_1633","train_1634","train_1636","train_1642","train_1660","train_1670","train_1678","train_1690","train_1695","train_1704","train_1706","train_1735","train_1737","train_1757","train_1758","train_1762","train_1781","train_1785","train_1788","train_1806","train_1811","train_1817","train_1818","train_1819","train_1820","train_1841","train_1849","train_1852","train_1865","train_1866","train_1867","train_1879","train_1886","train_1887"
"Bacteroides_vulgatus",2.89612,21.11469,0.0014,1.8977,6.23718,3.19627,9.41379,8.3639,55.3284,0,9.06866,5.50756,10.19739,0,0.08173,4.76567,0,5.71693,6.09977,10.74094,3.12821,41.11961,0.91235,17.0903,3.00184,5.84398,12.08788,5.51904,12.07345,0,0.00387,9.53109,4.67239,8.3119,9.72935,2.21826,3.77141,1.61708,18.22758,20.57723,1.2613,12.82419,3.4145,1.17118,1.68188,1.46367,30.24345,10.61217,3.63441,2.70982,0.19821,5.64865,14.38516,5.84441,3.46062,10.61586,1.31995,0.45052,7.41,2.29457,35.58316,9.55239,2.92731,0.68568,19.63545,22.62034,0.02468,5.14448,6.17218,0.00296,3.41226,0,2.69056,3.95971,6.76074,7.61745,7.31169,3.12548,0.18319,6.39936,2.36064,4.24645,10.83204,7.07718,7.12479,2.12923,0.04407,7.87862,8.38932,2.29134,22.31916,0.89788,0,4.62858,0.84616,0.00201,8.86267,5.59515,1.99885,3.5902,0.55623,9.23756,19.26527,5.64826,1.41453,1.62537
"Roseburia_faecis",0.94363,0,0,0.26931,2.93832,0,0.43135,0.22771,0,0.11499,4.78355,0.0399,5.42357,0,4.83782,3.41508,2.47207,2.06087,3.92674,0.81724,1.93356,2.91103,0.31305,1.82066,0.88412,5.55239,0.16745,2.79486,3.43905,1.2881,7.32736,0,1.02634,0,0.742,0.61686,0.00257,7.04294,0,1.53768,3.07663,0,0.17667,1.36245,0.21395,0.63861,0.60609,9.64184,3.26168,1.18838,1.07793,0.03356,0.18363,1.04911,0.00951,2.91434,3.8283,0.80028,5.07557,0.80506,7.42145,0.47143,1.05263,1.10391,0.27862,3.11923,8.61383,5.28328,1.01039,13.51494,2.39952,4.89381,0,0.35277,4.40745,1.94851,4.79217,4.9287,0.19393,0.47861,0,0.91274,0.89348,2.22996,2.6319,12.57795,0.29375,7.28929,1.42507,0,0,0.08476,4.54626,3.43543,1.23442,8.20493,2.89055,1.05194,6.54696,0.36803,2.36255,0.42619,0,0,0,0.99748
"Ruminococcus_gnavus",0,0.06727,0.05035,0,0,0,0.00563,0,0.3607,0,0,0,0,0,0.00669,0,0,0,0.03567,0,0,0.02208,0,0,0,0,0,0,0,0,0.29799,0,0,0.29025,0,0.00627,0,0.8237,0.07394,0,0.03199,0.00509,0,0,0,0,0.03954,0.25978,0.00492,0,0,0,0.10307,0,0,0,0,0,0,0,0.02063,0,0,0,0,0,0,0,0.02172,0,0,0,0.0808,0.01993,0,0.03806,0.00809,0,0,0.00941,0,0,0,0,0,0,0,0,0.30145,0,0.07913,0.00546,0,0,0,0.01736,0.03335,0.02531,0,0.01783,0,0,0.26608,1.8263,0,0
"Roseburia_intestinalis",2.67648,0.96651,0,0.45393,0.1083,0,1.53245,0.10009,0,0.01571,10.98555,0.04117,1.03345,0,0,0.34426,0,0.17482,1.00592,0.0431,0.2909,0.30083,0.09139,0.05463,0.50236,0,0,0.82243,0.18878,0.03033,0.10375,1.00805,0.32769,0,0,0.07641,2.93105,1.10259,0,2.93397,2.13685,0.1552,0.22065,0.27374,0.29834,0,0.98973,8.13884,0.73664,3.2906,0.87786,0.8436,1.71614,0.06988,0,0.52215,0.06963,1.03386,1.16645,0,2.85945,2.0599,3.20478,0.04679,4.72445,1.34958,0.49036,0.4856,0.802,0,0.56064,0.00456,0,0.91286,0,0.60805,1.44922,2.77174,0.16111,2.62953,1.24538,0.11631,0.17,0.04431,1.28226,0.01982,0.02884,0.92113,0.69677,0.63232,2.97919,1.17645,2.49713,0.04056,0.05505,11.68907,7.32853,0.16265,0.91366,0.19433,0.09772,1.57074,0.96776,0,0,0
"Blautia_wexlerae",0.22177,0.05964,1.32424,0.05674,0,0.07111,0.00376,0.03815,1.15577,0.00211,0.04869,0.08598,0.11092,0.0324,0.00586,0.03796,0.01883,0.0425,0.20561,0.03463,0.03625,0.57711,0,0.18593,0.01635,0.00673,0.01933,0.06389,0.01127,0.05255,0.00741,0,0.0232,0.01786,0.20418,0.04713,0.18196,0.11019,0.0131,0.59257,0.02335,0.07254,0.01574,0,0,0.06835,0.11563,0.54243,0,0,0.03452,0,0.00314,0.027,0,0.13532,0.02834,0.01082,0.17156,0,0.00892,0.08246,0.0246,0.00613,0.01047,0.0048,0.04789,0.2605,0.21438,0.29931,0,0.01687,0.12633,0,0.00318,0.09963,0.06184,0,0.04043,0.01312,0.02803,0.03403,0.09875,0.33114,0.04395,0.07341,0.03496,0.15978,1.25679,0.02639,0.12454,0.08002,0.05535,0.04051,0,0.01319,0,0.18832,0.01037,0.01695,0.19008,0.04717,0.0059,0.21202,0.1025,0.0036
"Eubacterium_eligens",4.28711,2.99662,0,0.46792,4.76057,0.027,3.00751,1.05109,0,0.55736,0.00713,1.7312,1.751,0,9.73595,0.04183,0,0.12708,0,0,0.53947,0,0.75366,3.8862,3.43202,0.24369,0.23687,12.02021,0.55651,1.12978,0,10.9464,0.02158,7.89508,2.49507,0,0,0.00245,0,3.38619,2.17765,4.39744,0.9444,0.12906,0.10831,0.0255,4.63443,0,0.7456,0,1.34188,3.7538,0.54978,3.23946,4.27553,2.14197,0.63722,0.29075,3.68517,10.6841,0,0,2.68831,0.49275,3.00157,0.20004,3.03152,0.43016,0.00565,1.36198,0.15294,12.77514,0,4.57537,3.16955,0.40483,3.80669,0.08871,1.40252,1.2542,0.04805,1.37444,2.13137,4.8258,1.39938,4.62983,0.55803,0.43703,0,0.1312,0,1.8382,0.34928,1.60949,0.04161,0,0.98111,2.02255,1.16123,1.76315,0.35913,0.28742,4.50015,0.01484,0.15915,0.70414
"Bacteroides_thetaiotaomicron",0.81508,1.52375,1.38841,0.00575,0,0.00927,0.49879,0,0.418,0.37857,0.50788,1.47599,0.17538,1.34525,2.74912,0.53038,1.38426,0.87355,0.6395,0.39733,0.08863,1.27444,0.14599,3.69978,2.39171,0,0.60236,0.78346,3.66998,1.17846,0.79721,0.03178,0.07938,2.18163,0.11608,0.60667,1.06173,0,3.1586,0.27988,0.38175,2.44484,1.08935,0.07188,0.00687,0,0,3.15822,0.49965,0.29503,0,0.49045,0.66533,0.00974,0,1.30663,0,0,0.16864,0.09284,0,1.49976,2.1629,0.81623,0.54127,1.77556,0,0.64562,0.53424,0,0.17089,0.35615,0.05148,1.8276,0.26474,0.45425,0.73101,0.16298,0.24745,0.50702,0.57566,0.11844,1.02295,0.23146,0,0.05225,0,0.94112,0,0.34095,0,0.15358,0.35881,0.66401,0.13244,0,0.47832,1.13439,0,0.18072,0,2.39284,0.80818,0.34965,0.03156,0.10994
"Faecalibacterium_prausnitzii",7.99826,11.27951,3.99549,2.68764,6.62659,1.68718,5.62036,5.83064,1.26118,8.93289,9.78018,4.40521,20.8099,6.91991,7.40652,5.16562,12.14629,3.36796,7.18297,0.05539,3.39427,1.77485,2.0307,3.56721,9.73676,2.81645,11.85143,9.87507,5.86495,1.32884,2.8673,14.80388,1.26629,0.14388,8.9229,1.791,15.11453,5.75341,9.0611,6.67824,7.99201,9.57029,3.06496,5.0054,2.49041,5.80821,3.91415,7.81229,2.74634,3.7171,9.68798,2.75896,8.61036,3.42978,2.99623,9.74367,4.76794,5.1426,6.04156,10.99636,6.69871,3.67018,6.34232,6.74434,3.08463,4.98166,5.24393,8.45057,6.53159,6.08921,2.86275,4.13675,0.74807,4.41426,6.46665,5.99865,9.09203,7.37143,3.07876,5.23492,1.32275,4.42275,7.79932,17.91064,7.34179,11.16477,2.10597,6.82237,0.48443,1.70011,3.97261,3.32854,2.56051,6.6598,2.61097,12.71554,14.93423,2.51595,11.60222,5.16336,4.51573,2.09262,3.11397,0.57639,4.5224,4.33397
"Coprococcus_comes",0.0957,0.36551,0,0.3323,0.26532,0.15448,0,0.24153,1.01965,0.27482,0.33003,3.0908,0.5696,0.28745,0.2253,0.91766,0.12627,0.49511,0,0.19637,0.20974,0.53934,0.11127,1.09599,0.35716,0.39247,0.12234,0.42151,0.55331,0.76017,0,0.23943,0.02637,0.57597,0.04541,0.07033,0.50749,0,1.48053,0.25386,0.10605,0.29407,0.60189,0.19699,0.17261,0.18628,0,0,0.30238,0.14309,0.72207,0.08347,0.06231,0.17435,0.80764,0.27069,0.17613,0.09226,0.81811,0.21356,0.43053,0.19869,0.19452,0.17369,0.10915,0.43066,0.29148,0.43466,0.30977,0.91592,0.13122,0.28354,0.07032,0.28728,0.46678,0.8586,0.3759,1.21812,0.61427,0.08804,1.30632,0.14612,0.37247,0.19453,0.31854,0.22099,0.03985,0.58406,0,0.07797,0.57399,0.08876,0.12111,0.22674,0.28058,0.89377,0.27612,0.83594,0.43092,0.7262,0.43145,0.44592,0.38619,0.0316,0.37702,0.17347
"Ruminococcaceae_bacterium_D16",0,0.03767,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10978,0,0,0,0.13249,0,0,0,0,0,0,0,0,0,0,0.0144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03132,0,0,0,0,0.04341,0,0.13876,0,0,0,0,0.04821,0,0,0,0.01717,0,0.0164,0,0,0,0,0,0,0,0,0,0,0,0,0.00898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02596,0,0,0,0,0,0.01086,0.01127,0,0.00618
