"","train_3006","train_3008","train_3013","train_3015","train_3039","train_3040","train_3045","train_3056"
"Bacteroides_vulgatus",3.30919,4.03074,3.89701,2.16944,0,0,2.76203,5.85623
"Roseburia_faecis",0,0,0.0875,0.44164,0.00795,0,0.00494,1.18535
"Ruminococcus_gnavus",0.05035,0.00128,0,0.02614,0,0,0,0
"Roseburia_intestinalis",0.6549,0,0.15605,0.0389,0,0,0,0
"Blautia_wexlerae",0.02299,0.00186,0,0.00664,0,0,0,0.35186
"Eubacterium_eligens",0,0.08847,1.14437,0.36443,0,0,0,0.00269
"Bacteroides_thetaiotaomicron",1.07765,0.4365,0.52725,0.01212,0,0.02991,0.03188,0.39549
"Faecalibacterium_prausnitzii",0.00905,18.00648,3.91503,7.69682,0,0,1.66606,8.16045
"Coprococcus_comes",0,0.01857,0,0.0233,0,0,0.00862,0.82839
"Ruminococcaceae_bacterium_D16",0,0.00103,0,0,0,0,0.01668,0
"Streptococcus_thermophilus",0,0,0,0,0.00135,0,0.00651,1.59033
"Dialister_invisus",0,0.06961,0.06375,0,0,0,0,0
"Blautia_sp_CAG_257",0.25526,0,0.00527,0,0,0,0,0
"Flavonifractor_plautii",2.52256,0.51985,0.11154,0.05476,1.8754,0.04304,0.18983,0.12468
"Lactococcus_lactis",0,0,0,0,0,0,0,0
"Escherichia_coli",4.89747,0.41404,0.5254,0.02801,16.95676,9.30042,0.3914,0.8166
"Firmicutes_bacterium_CAG_94",0.15964,0.1114,0,0,0,0,0,0
"Turicibacter_sanguinis",0,0,0,0,0,0,0,0
"Erysipelatoclostridium_ramosum",0,0,0,0,0,0,0,0
"Fusicatenibacter_saccharivorans",2.31307,0.08329,0.72035,1.64957,0,0,0.06539,1.27136
"Clostridium_disporicum",0,0,0,0,0,0,0,0
"Actinomyces_sp_ICM47",0.00305,0,0,0,0,0,0,0.0037
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0,0,0,0,0,0,0,0
"Clostridium_spiroforme",0,0,0,0,0,0,0,0
"Clostridium_saccharolyticum",0,0,0,0,0,0,0,0
"Dorea_formicigenerans",0,0,0,0.05419,0,0,0,0.34983
"Streptococcus_salivarius",0,0,0,0,0,0,0.00324,0.41204
"Clostridium_clostridioforme",0.16603,0.02463,0,0,0,0,0,0
"Clostridium_celatum",0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,0,0,0,0,0,0
"Eggerthella_lenta",0,0,0,0,0,0.16789,0,0
"Dorea_sp_CAG_317",0,0,0,0,0,0,0,0
"Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0
"Clostridium_innocuum",0,0,0,0,0.02067,0,0,0
"Actinomyces_sp_oral_taxon_181",0,0,0,0,0.00281,0,0,0.00153
"Streptococcus_oralis",0,0,0,0,0,0,0,0.04102
"Klebsiella_pneumoniae",24.48088,0.17806,0,0,0,0,0,0.06338
"Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0.00209
"Lachnoclostridium_sp_An118",0,0,0,0,0,0,0,0
"Streptococcus_mitis",0,0,0,0,0,0,0,0.03781
"Ruthenibacterium_lactatiformans",0.51943,0.13355,0.98947,0.30407,0.54312,3.55817,0.03944,0.05025
"Atopobium_parvulum",0,0,0,0,0,0,0,0.00058
"Prevotella_copri",0,4.78063,0,0.00393,0,0,9.61038,0
"Actinomyces_sp_S6_Spd3",0,0,0,0,0.23381,0,0,0.01875
"Collinsella_aerofaciens",0,0.62528,0.25732,0.12954,0,0,0.12333,1.21205
"Romboutsia_ilealis",0,0,0,0,0,0,0,0
"Clostridiales_bacterium_CHKCI006",0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_520",0,0,0,0,0,0,0,0
"Eubacterium_siraeum",0,0,5.44136,1.26026,0,0,0.27988,0.00794
"Bacteroides_uniformis",0,18.57241,5.54876,14.96497,0,0.24201,5.91814,1.91236
"Prevotella_sp_CAG_279",0,0,0,0,0,0,0,1.97592
"Ruminococcus_bromii",0,0.25374,1.67608,3.15927,0,0,0.14267,0.19751
"Phascolarctobacterium_succinatutens",0,0,0,1.70821,0,0,0,0
"Prevotella_sp_CAG_873",0,0,0,0,0,0,0,0
"Roseburia_inulinivorans",0.24586,0,0.00473,0.69598,0,0,0.01126,10.86488
"Ruminococcus_torques",0,0,0.03659,0,0,0,0.1388,0.95793
"Bacteroides_stercoris",0,1.2199,0,0,0,0.01044,0.102,9.43479
"Eubacterium_sp_CAG_251",0,0,0,0.04641,0,0,0,0
"Alistipes_inops",0,0,6.18714,0,0,0,0.16558,0.06382
"Oscillibacter_sp_57_20",0,0,0,0,0,0,0.94935,0.54007
"Bacteroides_dorei",21.66242,0.59627,2.86167,3.09275,0,0.23233,0.26629,0
