"","train_665","train_666","train_667","train_668","train_669","train_670","train_671","train_672","train_673","train_674","train_675","train_676","train_677","train_678","train_679","train_680","train_681","train_682","train_683","train_684","train_685","train_686","train_687","train_688","train_689","train_690","train_691","train_692","train_693","train_694","train_695","train_696","train_697","train_698","train_699","train_700","train_701","train_702","train_703","train_704","train_705","train_706","train_707","train_708","train_709","train_710","train_711","train_712","train_713","train_714","train_715","train_716","train_717","train_718","train_719","train_720","train_721","train_722","train_723","train_724","train_725","train_726","train_727","train_728","train_729","train_730","train_731","train_732","train_733","train_734","train_735","train_736","train_737","train_738","train_739","train_740","train_741","train_742","train_743","train_744","train_745","train_746","train_747","train_748","train_749","train_750","train_751","train_752","train_753","train_754","train_755","train_756","train_757","train_758","train_759","train_760","train_761","train_762","train_763","train_764","train_765","train_766","train_767","train_768","train_769","train_770","train_771","train_772","train_773","train_774","train_775","train_776","train_777","train_778","train_779","train_780","train_781","train_782","train_783","train_784","train_785","train_786","train_787","train_788","train_789","train_790","train_791","train_792","train_793","train_794","train_795","train_796","train_797","train_798","train_799","train_800","train_801","train_802","train_803","train_804","train_805","train_806","train_807","train_808","train_809","train_810","train_811","train_812","train_813","train_814","train_815","train_816","train_817","train_818","train_819","train_820","train_821","train_822","train_823","train_824","train_825","train_826","train_827","train_828","train_829","train_830","train_831","train_832","train_833","train_834","train_835","train_836","train_837","train_838","train_839","train_840","train_841","train_842","train_843","train_844","train_845","train_846","train_847","train_848","train_849","train_850","train_851","train_852","train_853","train_854","train_855","train_856","train_857","train_858","train_859","train_860","train_861","train_862","train_863","train_864","train_865","train_866","train_867","train_868","train_869","train_870"
"Bacteroides_vulgatus",0.4705,0.68698,20.76028,7.68594,12.71613,0.27453,3.82706,7.63881,31.92442,20.3182,0.90548,8.37724,0.13943,27.85864,1.82423,23.33409,3.74394,10.49538,50.87595,4.20861,18.2614,4.23258,5.53309,2.27742,9.3266,0.011,18.97299,0.93753,10.50219,2.72127,6.62922,8.03405,0.00991,28.88909,3.44566,0.02563,0.0128,32.86921,15.65902,9.2903,0.0186,0.00573,8.48144,1.44624,28.86917,1.22618,1.82943,2.42018,21.21467,3.1109,0.03171,0.11748,51.55851,4.89124,17.30546,39.76918,6.94177,5.93562,0.03318,18.68056,2.19196,2.92355,11.76735,0.00047,1.16983,4.94992,24.17492,8.11713,14.08128,0.55316,14.08179,29.99499,0.76736,0.77602,12.25704,4.97288,3.12161,7.33993,19.46057,17.76595,2.76634,29.81107,1.8758,6.66327,0.013,19.74639,14.93521,3.14067,7.30368,6.11639,9.96087,31.15337,0.31347,0.02395,10.01245,13.50893,26.15306,13.00775,29.93755,0.02491,3.19149,0.01044,33.64634,3.04837,12.7208,11.18972,2.8445,5.25731,10.93915,10.35277,0.0168,27.54838,1.70945,3.4487,2.20974,14.65822,37.72903,0.85432,30.46483,0.65411,14.91587,6.70927,0.16338,6.08927,0.74783,23.55612,3.22395,13.29133,30.63813,1.03583,0.44233,16.28354,0.08216,4.61236,0.31292,0.09143,0.72766,63.88412,0.32787,1.34268,1.97888,2.40076,1.62277,0.34331,1.42431,0.42183,5.13154,2.86435,2.12709,0,0.87761,0.24941,6.44615,3.43518,12.05817,4.08566,2.99478,10.94999,3.43,1.0342,1.71786,0,0.024,0,3.29735,4.92025,1.49523,0,1.44626,0,0.64644,1.00457,5.59981,0.32565,0.07424,0,16.23994,0.04614,16.2306,0.37503,1.84945,0.01198,1.51004,20.44336,0.10399,3.76577,0.05882,1.39638,11.99248,8.80707,7.85844,0.09808,0.38184,0.01268,0.03001,27.73415,0.22998,4.09542,0.70662,0.80918,0.00063,0.54988,0.53706,14.1174,0.00399,0.48987
"Roseburia_faecis",0.01582,0.07624,0.0044,6.98298,3.49643,0,2.34457,0.33565,0,0,0.65267,6.88151,0.01267,0,28.05818,1.05983,0.02405,0,1.01895,0.02622,2.15529,28.38241,0,7.26278,0,0,0,3.28131,0.68113,0,0,0,0,0.1781,0.02701,3.13667,1.26367,0,0,2.43169,1.622,0.00153,5.16064,10.11808,0.39298,0.02995,8.54417,1.91986,0.0923,2.17079,8.34353,0,0,0.4662,0.00019,0,0.62395,0.0054,0.04158,0.05747,0,8.3869,0.2786,0,0,5.86115,1.15222,1.78955,2.7952,0,1.24216,8.16832,0.45274,1.5057,0,6.57791,0.00122,2.77621,0.00016,8.43492,0.64963,0,2.18062,0,0,0.00144,3.18053,1.06386,2.87854,1.27515,2.08518,1.60224,0,0.01128,1.08906,0.48469,0,0.0202,0,0.54599,0.80642,0,0.00509,2.00708,0.40255,0,0.00323,0,0,4.29157,0,0.02926,0.93167,1.36605,0,0,0.47796,7.2502,2.2454,0.00158,6.74305,0.00082,0.0108,0,0.05345,0,0,0,0.05008,0,1.10909,0.10213,0.05828,0,0.08051,0.03401,0.01936,4.31967,0.00728,2.21965,0.99729,12.21316,0.41445,0.45766,0.02925,0.25911,0.03766,3.69362,0.47862,4.36851,0.66982,0.05573,0.10792,7.81945,0,0.01764,0.0348,0.5467,0.41558,0.06801,0.63068,0.02407,0.00202,12.24062,10.11121,0,0.2561,0,0.05036,0,0.60256,0.02798,3.19372,1.10567,3.02172,0,0.05758,0,1.17404,3.58051,0.01949,0.0028,0.17086,0.00099,0,4.89779,0.0053,7.29942,0.01871,3.17856,0.1827,9.37976,0.12172,0.0797,0.02501,0.07128,0,0.09664,1.28087,2.20882,0.00166,0.03884,0.12653,0,0.52353,0.56525
"Ruminococcus_gnavus",7.60494,6.48149,1.30732,0.09031,0.03383,4.36309,0.04717,5.07954,5.54037,0.0769,0.13931,1.94486,0.86138,0.59386,0.21139,0.00045,11.88544,6.41426,2.86323,1.84093,0.09584,0.12685,6.22219,0.00526,0.55305,6.15543,0.23644,0,0.00508,0.24488,0,0.00629,4.42516,0.00453,1.32249,4.16643,2.9503,0.88601,11.28058,0,0.26271,17.21176,0.22628,0.02008,2.23047,0.00173,0.06766,10.26732,0.94468,0.07252,0.38912,0.01364,12.29626,1.32979,0.67999,0.23694,0.29301,1.38381,3.99316,0.46157,0.84921,0.38594,1.87204,0.80541,1.84848,0.01324,0.63161,0,0.08266,8.48509,0.78767,6.15534,0.01933,0.65578,2.1117,0.00067,0.00501,9.26043,0.57789,0.74023,0.01749,2.58416,0.15267,3.57103,0.02179,2.03968,0.09508,0.09174,0.00709,0.72622,0.00216,0.03276,7.6537,0.84023,0.35483,0.00058,0.00876,0.42248,0.26223,0.78254,1.29349,0.51277,5.24797,0.00322,2.31536,0.74633,0.01795,0.22711,0.6915,0.02675,0.93251,0.24792,0.00069,0.04744,3.92967,0.96876,1.89226,0.45006,0.22465,2.79743,0.00363,8.96126,1.00036,0.2285,0,2.20561,1.29848,3.39745,15.3513,2.13072,13.89852,0.42939,3.19349,4.58166,1.31133,1.9801,0.13499,3.82068,30.92411,1.77778,0.00644,1.06492,1.52818,1.49702,0.28141,0.5509,0.25117,0.28812,0.07487,0.77522,0.01671,0,0.06207,0.20874,2.88623,3.82919,10.04039,0.03464,0.57379,2.84222,0.20427,19.7871,3.94671,0,5.31836,0.01965,1.22495,5.80236,9.37719,15.93356,0.09211,0.99504,0.03027,5.56083,0.03856,2.84421,8.24201,2.01479,0.00347,0.56813,6.84935,2.99723,0.65238,0.04229,0.30653,0.06174,23.30415,7.55435,31.76263,0.05446,7.44303,0.13164,10.01304,0,7.87299,0.17082,1.15968,19.03822,1.21626,0.04924,4.26257,3.76869,0.96537,2.58749,0.07407,8.15651
"Roseburia_intestinalis",0.00108,9e-05,0,0,4.30915,0,0,0.39105,0,0,0.04325,0,0,0,1.01875,0.65521,0.01921,0.00351,0.07736,1.61091,0.07885,0.0113,0.0017,0.07407,0.64606,14.23762,0,0.63519,0,0.62314,0,0,0.17883,0.00459,0,0.08353,0,0,0.01076,0,0.71795,0,0.02542,0.38605,0.01761,0.04735,0.14269,4.77016,0,0.32768,0.97283,0.21596,0,0.02063,0,0.92108,0,0,0.13103,2.84542,0,2.12327,0,0,0,0.14529,0,0,0.04968,3.53057,0.21016,0,0.03579,1.47096,0,0.03392,0.24273,0.00879,0,0,0.0386,0,1e-04,0,0,0,1.71112,0.63851,2.10518,1.74662,1.07813,0.00655,0.01792,0,0.96169,0.02558,0,0.07915,0.01019,3.0426,0.00294,0,0.97754,0.10208,0.0834,0,6.42065,0,0,1.41157,0.99338,0,0.09426,0.00587,0,0.05868,0.01357,0.12778,0.7862,0,0,0.07887,0,0.42589,0.00858,0.09614,0,0,8.82004,0,0.08438,0.00085,0,0,0.01534,0.00629,0,0,0,0.50484,0.00647,0.00191,0.09799,0.05561,0,0.15518,0,0.0517,0.04443,0,0.02169,0.01203,0.48517,0,0,0.00437,0,0,0.10513,0.56739,0,0.08147,0,0,0,0.01352,0,0,0,0.12161,0.1317,0.00652,2.96368,0.02234,0.17002,0,0.05848,0,0,3.665,0,0,0.0375,0.00772,0,0.00142,0,2.72046,0,0,0.0041,0.28697,0.22035,1.19536,0,0,0.0206,0.00061,0.19118,0.74454,0.00074,0.00702,0,0,0,0.07004
"Blautia_wexlerae",0.00502,0.49998,0.12684,0.22437,1.18532,0,0.49109,0.21995,0.07159,0,0.05335,2.62591,0.10279,0,0.2809,0.11272,0.1987,1.7881,0.00472,1.06038,0.17455,0.36461,8.88368,0.1912,0.02677,1.2702,0.02272,0.04346,0.20433,2.33979,0.32312,0.11329,1.8385,0.1164,0.00439,0.03191,0.00844,3.84053,1.84895,0.01543,0.8138,0,0.30482,0.50848,0.1518,0.53877,0.09886,0.18186,0.77729,0.30206,1.37057,0.11207,0.02656,0.01668,1.09557,0.69975,1.22965,0.0061,2.59147,0.26934,0.04971,0.0666,0.02628,0.23151,0.00463,0.17807,0.09922,0.1715,0.33178,0.93652,0.02698,3.85271,1.03105,1.86538,0.56174,0.11085,0.3567,10.01603,0.38349,0.31088,0.03604,0.04175,0.02422,0.01219,0,0.00793,0.12586,0.13921,0.15248,0.95561,0.50414,0.77256,0.0914,0.21726,0.02903,0.01917,0.81018,0.6,0.1684,0.0971,6.39984,0.00622,0.2133,0.01842,0.09919,0.3179,0.07586,0.08447,0.0019,0.16188,0.22464,0.00103,0.07903,0.03467,0.01584,0.88264,0.93993,0.09556,0.77889,1.08609,0.03904,0.24083,0,0.02209,0.25721,0.16943,0.42547,0.93562,0.12089,0.29241,0.66234,0.03177,0.68609,0.00228,0.67869,0.03604,0.04428,0.06192,0.01122,0.1617,0.33258,0.76335,0.0554,1.21126,0.03703,0.03533,0.11359,0.21736,0.12989,1.46077,0.07304,1.26418,0.11688,0.15448,0.21417,0.25597,1.15656,0.02537,0.09664,0.12675,0.04185,7.01551,0.01729,0.8044,0.05598,0.00929,0.2968,0.22479,0.08527,0.97559,0.06976,0.05011,0.22544,0.91374,2.37447,0.60658,0.0366,0,0.04461,1.64256,0.10651,0,0.05674,0.65428,0.68609,0.08281,0.00439,0.08462,0.0381,0.33202,0.05019,0.04614,1.40375,0.68752,2.87828,3e-04,0.51844,0.33723,0.19202,0.26563,1.10221,0.70604,0.00645,0.05136,0.04645,1.41603
"Eubacterium_eligens",0.00384,0.46458,0.01025,1.29518,3.44419,0,0.05932,0.59518,0,0,0.24755,0,0.0048,0,10.89804,0,0.0058,0,0.00128,0.22384,1.76545,0.01138,0,0.05027,2.69468,0,0.00034,7.15967,12.56674,0.06068,0.95905,0,0,5.49367,0.26785,0,0,0,0,1.07746,0.02918,0,7.47704,0.63397,4.36537,1.80415,0.2129,0.17616,0,3.51124,1.7067,2.0597,0,0,0.20032,0,0,0,5.55497,0.19374,0,3.59569,0.00116,0,0,5.19402,0.00426,0.07769,0,0,0,0,3.96711,7.04778,0,3.56716,7.24041,0.08291,7.49637,0,12.25054,0,0.15919,0,0.3636,0.03051,6.21168,0.41424,1.94148,0.07918,12.34707,7.13169,0.03557,0.86647,1.99447,0.30355,0,4.23749,0.3256,0,0.96584,0.00109,2.74693,2.85433,12.18649,0.00299,0,4.52917,0,0.62016,1.71802,0.00182,1.98334,1.1742,0,0.01901,5.45162,2.49465,0.00746,0,0,0,2.58124,1.1689,5.02912,0,0,0,0,0,0,0.03564,0.01117,0.00278,0.19392,0.007,0.53745,0,0.00086,2.86475,0.48665,0,25.12283,0.14745,0.02116,0.19909,0.41334,1.37829,1.34143,0,0.00016,0,0.03334,4.57572,0.76467,3.81475,1.04567,0.23988,0.50659,0.01581,0.11345,0.09739,0.00611,1.25828,0.11733,0,0.04646,0,0.01761,0.05607,1.52039,0.01856,1.66335,0.21796,0.2538,0,5.55177,0.01829,0.56737,0.76095,0.00285,2.15806,6.13818,0.19478,0,0.12805,0.013,0.02565,0.02457,4.9975,6.88543,4.78375,0.07645,0.18671,0.00768,0.05664,0,0.02367,0.49532,1.97056,0,0.02841,0.05408,0.00469,0.05488,3.66663
"Bacteroides_thetaiotaomicron",0.03679,0.02837,0.26803,0.45569,0.50575,0,3.23302,0.54998,2.82259,2.35605,0.08011,0.17934,0.02711,4.47534,0.17162,0.3822,0.13044,5.76696,4.78517,0.36305,0.22359,0.21661,0.37981,1.04352,2.38037,0.94075,0.37387,0.87304,2.31805,0.06594,0.73293,0.16545,2.0436,1.98052,2.98205,0.03689,0,0,1.70404,2.45844,0.37749,2.00835,0.66849,0.38112,0.66024,3.31372,0.16017,0.48038,2.02982,0.11427,0.00296,0.27396,0.21993,0.50229,1.80959,1.39738,0.98177,0.06243,0.22608,2.2466,0.66603,0.16624,0.57526,0.0853,0.01606,2.33734,2.32088,0.09585,0.79019,0.37396,1.04709,3.00973,1.40949,1.09231,3.7364,0.19588,0.17043,0.71922,5.3317,0.07073,0.01185,2.35758,0.00249,11.7132,1.98596,10.98728,3.04426,0.39458,0.69976,0.29858,1.69244,2.3834,1.44135,0.24063,3.89531,3.3147,1.87734,16.75647,1.65812,7.3164,0.24352,12.09777,0.82053,1.15715,0.51313,0.43238,0.24081,2.47193,5.89143,0.46695,8.20996,2.96819,0.99241,0.10677,0.98709,0.69729,0.26577,0.06117,6.21178,0.46947,1.69904,0.95792,0.80762,0.95971,1.00657,8.57612,3.45131,2.10824,1.75335,0.00218,0.0186,8.6229,0.02575,46.84209,0.18281,0,0.02954,0,0.01463,0.04971,0.45345,0.54764,0.42117,0.0864,0.42253,0.11583,0.81828,5.64968,0.29983,0.46423,0.10424,0.02581,1.71974,1.81755,0.74865,0.17752,0.31309,1.9284,0.17282,0.29442,0.29103,0.15264,0.87022,0.57583,0.02898,7.38335,0.21114,0,0.09243,0.99198,0.24969,1.73688,0.33769,0.01608,0.01296,0.17042,1.72218,0.18503,0.10338,0.05899,0.76323,21.95209,0.21878,1.46025,0.02204,1.45283,0.52334,0.19762,1.4458,0.59809,0.96746,2.41517,0.15004,0,0.04642,17.40409,0.00981,0.42248,0.48547,0.03849,3.11588,0.03338,0.32928,1.45417,3.32327,0.47102
"Faecalibacterium_prausnitzii",1.67886,0.39189,2.89556,8.27708,9.26288,0.00626,1.90509,1.92664,0.32561,6.57395,3.82032,1.70818,2.61067,0.08449,6.69083,4.34586,5.42363,2.1317,0.45713,6.00284,3.23402,5.15137,0.14691,11.7132,10.1253,4.62051,6.16512,7.06552,4.53218,4.54553,1.55214,1.45618,3.79672,3.08412,4.49701,0.09938,0,0,0.0024,7.15843,4.36738,0.6954,3.09732,3.13939,4.19842,1.83402,6.52911,6.10072,1.68231,7.26657,6.91005,4.41666,0,1.46835,3.47568,0.01303,2.34146,0.00305,3.59832,5.23662,4.41854,12.66041,1.61433,0,1.19067,8.46998,1.85117,7.09947,8.40781,0.36381,0.45188,1.71533,3.54229,5.41811,3.54027,3.37141,2.27728,0.10972,8.00227,2.32935,4.84473,0.00422,10.60329,2.68845,0.16329,4.53994,0.75942,2.32513,7.54581,11.30804,10.06736,1.42657,0.35241,0.31833,3.30484,1.21339,3.73534,3.18457,3.09217,0.05893,5.557,0.00238,0.47765,8.43863,9.57701,4.65158,24.13076,6.85585,0.16776,4.56268,1.12871,0.31861,3.51747,3.58983,0.2856,2.61333,1.1287,4.03356,0.04727,4.85347,1.29215,0.05324,1.86317,2.84042,1.72183,1.40555,0.2764,3.14141,0.00447,24.16936,0.2428,0.33188,0.19217,0.7749,1.18005,0.04395,0.9426,0.18473,0.04698,1.9192,3.56036,2.43755,10.05603,0.95765,0.57153,5.13129,24.47608,7.75691,5.89495,2.53523,13.42041,1.88853,0.64697,10.25036,5.92866,0.6424,0.11149,5.14128,8.54734,5.62605,1.24725,2.82752,0.07366,5.19194,1.45571,6.36036,0.89411,0,1.49206,0.17492,13.32894,7.22254,6.44148,1.90559,3.72731,0.63233,2.71588,0.01527,4.40034,20.41444,17.25377,0.02474,2.89923,1.7309,3.0458,5.48308,0.03869,3.07358,0.10442,7.00607,3.75375,12.47287,0.07242,8.19721,0.06338,5.36623,0.10166,0.63058,1.34436,10.74454,0.03978,5.26854,0.41,3.89888,10.82719,3.03188
"Coprococcus_comes",0.00109,0.01652,0.00147,0,1.1484,0,0.35109,0.40599,0,0.94779,0.2529,0.83602,0.5864,0,0,0.312,0,0,0,0.51355,0.3509,2.8204,1.90838,0.53316,0.25351,3.86879,0.01607,0.4389,0.14431,3.47982,0.48604,0.02767,0,0,0.0306,0,0,0,0,0.13608,2.41086,0,0.12824,0.84925,0,0,0.60217,0,0,0.38485,1.00444,0.5797,0,0.08144,0,0,1.08348,0,5.31246,0.77684,0.00171,0.17604,0,0,0.00043,0.606,0.00152,0.22193,0.0072,0,0,0.18454,0.53709,1.62877,0,0.25886,0.33349,0,0.30803,0,0.25345,0,0.09936,0,0,0.36201,0,0.32326,0.17279,0.89933,0,0,0,2.21446,0.28921,0.25049,0.75846,0.9491,0.16162,0,0,0,0,0.12225,0.45796,0,2.59757,10.1412,0.00036,0.30282,0.00744,0.34471,0.1685,0,0,0,0.05207,0.31239,0,0.96229,0,0.80046,0,0.79623,0.3138,0,0.61779,0,0,0,3.54835,0.28034,0.00509,0,0.10714,1.54682,8.01361,0,0.02254,0,0.88155,2.19676,0.13813,2.06964,0.44511,1.04863,0.00238,0.95821,1.30751,1.83448,0.68388,0.72012,0.45651,2.46658,0.00013,2.13549,0.0242,0.27462,0.86436,0.65612,0.00091,1.69334,0.00019,0.462,0.00506,0.21496,2.58574,0,0.00296,0,0.75104,0.13549,0.96235,0.00048,0.00986,3.73852,0.00048,0,0.08765,2.02711,0.00012,0,0.38996,0.56863,2.93305,0.14928,0,0.00015,0,3.7737,0.0093,0.80637,1.49058,2.23841,0,0.00201,0.00823,0.0827,0.46177,0.30936,0,7.03333,0.03097,0,0.01635,0.7531
"Ruminococcaceae_bacterium_D16",0.00226,0,0,0,0,0,0,0,0,0.06405,0.00572,0,0.25375,0,0,0,0.07742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00511,0,0,0,0,0,0,0,0.29958,0,0,0,0,0,0,0,0,0.00543,0,0,0,0,0,0,0,0,0,0,0,0,0.23629,6e-04,0,0,0.01136,0,0,0,0,0,0.43164,0.00013,0,0.00412,0,0,0.00454,0,0.00177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205,0,0,0,0,0.60312,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0,0,0,0.01019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115,0,0.00221,0,0,0.01107,0.00105,0,0.01163,0,0,0,0,0,0,0,0.01622,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01424,0.00019,0,0,0.06775,0,0,0,0,0,0.00771,0,0,0.05262,0,0,0,0,0,0,0,0,0,0.33057,0,0.00193,0,0,0,0,0,0.05202,0,0.01101
