"","train_4288","train_4289","train_4290","train_4291","train_4297","train_4298","train_4299","train_4300","train_4301","train_4302","train_4303","train_4304","train_4305","train_4341","train_4342","train_4343","train_4344","train_4345","train_4346","train_4347","train_4348","train_4349","train_4351","train_4354","train_4355","train_4356","train_4357","train_4358","train_4359","train_4360","train_4365","train_4366","train_4376","train_4391","train_4393","train_4394","train_4395","train_4396","train_4397"
"Bacteroides_vulgatus",2.56788,20.07375,0.2153,0.68366,10.23994,4.90084,13.76221,1.54518,3.97299,1.08322,0.19266,28.01185,53.17565,10.26635,3.09997,1.76347,2.45154,0.59888,7.99394,0.54472,3.84579,3.60248,20.97683,0.65119,2.67892,0.07029,0.29664,0.35947,0.28186,17.36848,0.01454,2.23606,44.67468,0.18158,0.12498,7.38215,9.87256,34.63441,11.6775
"Roseburia_faecis",0.03847,1.26883,2.99322,0.68798,0.08817,0.07303,15.65664,1.16725,0.0672,0.08194,5.26525,0.22817,0.03298,0.29005,0.04629,0.1642,2.00498,5.6115,2.02414,0.0501,1.27287,0.15868,2.25365,0.03285,0.38818,0.14956,1.34552,0.04612,0.72874,5.85147,0.70922,0.00304,0.21572,4.94094,0.2903,0.02743,0.01955,0,0.00964
"Ruminococcus_gnavus",0,0.30312,0.03766,0.56065,0.00016,0.6042,0.00106,0,0.02482,0.10166,0.00042,0,0.14722,0.66389,0.28537,0.20639,0.00341,0.55639,0,0,0.00385,0,0.22622,0.0364,0.01266,2.02071,0.24609,0.00998,0.00718,0.2211,0.04996,0.04463,0.72646,0.30747,0,0.00172,0.29646,2.59479,0.6077
"Roseburia_intestinalis",0,0.06894,0.0075,0.12213,0.15322,0.01392,0.01141,0.00621,0.00635,0.00758,0.07072,3.9232,0.5855,0.01202,5.68972,0.04753,0.28228,0.01243,0,0.01888,0.76588,0.00255,3.55313,0.01822,4.91684,0.01455,0.03828,0.01722,0.00896,0.21311,0.15253,0.0409,5.12229,0.92168,0.28876,1.18431,0.00395,0,5.36433
"Blautia_wexlerae",0.00643,0.03864,0.0164,0.04919,0.08826,0.29986,0.05632,0.07936,0.00468,0.069,0.12469,0.20311,0.02885,0.22646,0.13189,0.35168,0.05456,0.00641,0.11472,0,0.05286,0.01795,0.26964,0.14319,0.0579,0.05468,0.08031,0.00182,0.03083,0.12378,0.02461,0.08806,0.1647,0.02141,0.00489,0.04333,0.03602,0.00318,0.04264
"Eubacterium_eligens",1.871,0.00048,0.01775,0.15112,1.72127,0.05334,0.05868,6.25554,0.04516,0.06422,7.59938,0.17978,0.35092,0,0,0,0.32734,0,0.01171,0.86832,1.87027,0.09842,0.22096,1.36046,0.44512,0.01146,0.70286,0.01087,0.27885,0.00171,0,0.00685,0.33638,0,1.62037,0.00361,0.59743,0.4538,0.26122
"Bacteroides_thetaiotaomicron",1.22871,0.45343,0.15691,0.20713,0.3643,0.20133,0.77146,0.05581,0.0024,0.00845,0.68043,2.11799,5.20564,7.02879,0.06035,0.06023,0.25012,0.00774,0.27747,0.09788,0.27728,0.93691,1.76246,3.3457,1.42133,5.03935,0.11486,0.01699,0.01807,0.0576,0.02265,0.19139,1.9543,1.28134,0.32575,3.73589,0.9872,2.46371,0.22252
"Faecalibacterium_prausnitzii",5.58282,2.49572,3.19879,4.04715,3.28331,0.06133,6.63431,2.65376,0.42235,0.53737,8.0358,2.07591,2.35528,2.76722,10.33964,2.30908,2.81483,1.36127,2.21137,0.36936,2.47046,2.7088,6.104,0.60589,6.9138,2.03165,11.55741,0.15272,1.25817,7.24793,8.5236,1.00164,1.71124,2.05146,0.24756,2.2371,0.76597,0.4592,6.23166
"Coprococcus_comes",0.27152,0.34225,0.10368,0.01308,0.10714,0,0.28762,0.109,0,0,0.47611,0.02062,0.00019,0.00321,0.09843,0.33939,0.35545,0.0022,0.26089,0.62495,0.15541,0.03608,0.3657,0.15067,0.4483,0,0.12446,0.00059,0.08453,0.18478,0,0.04902,0,0.13825,0.00022,0,0.65909,0.25594,0.10252
"Ruminococcaceae_bacterium_D16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_thermophilus",0,0,0,0,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0.00714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_invisus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.19377,0,0.00165,0.00077,0.00065,0.0041,2.0344,0,0,0.0033,0.00145,0.00038,1.05788,0,0,0,0.0016,0.06065,0,0.07583,0,0,0.00279,0,0.89881,0
"Blautia_sp_CAG_257",0,0,0,0,0,0.07059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01006,0,0,0,0,0,0,0
"Flavonifractor_plautii",0.34988,0.42226,0.03135,0.07292,0.01109,0.57293,0.06801,0.01752,0.00549,0.09397,0.1755,0.08634,1.31553,0.84357,0.09855,0.00836,0.22671,0.27102,0.08196,0.00716,0.13946,0.33157,0.04762,0.15248,0.00287,1.06555,0.00479,0,0,0.00137,0.05378,0.03702,0.08193,0,0.00176,0.09496,0.27751,3.47029,0.06664
"Lactococcus_lactis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02042,0,0,0,0,0,0.00264,0.04139,0,0,0,0.00328,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli",0.10042,0.26665,0.11598,4.12145,0.0541,0.02021,0.00328,0.0095,0.02743,0.05532,0.17444,0.35772,0.40548,0.35947,0.4515,1.30226,0.14263,17.81366,0.6694,3.43053,0.17235,1.15176,1.35169,1.44044,0.14161,0.20939,6.8378,0.0507,0.0202,0.24501,3.22858,0.41537,0.51375,1.00767,0.07465,0.10713,0.40001,0.45324,6.05846
"Firmicutes_bacterium_CAG_94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turicibacter_sanguinis",0,0,0.0454,0.06448,0,0,0,0,0,0,0.00188,0,0,0,0.16137,0,0,0.10937,0.00686,0.00277,0.00192,0.00598,0.164,0,0.0075,0,0,0.00024,0,0,0,0,0,0,0,0,0,0,9e-04
"Erysipelatoclostridium_ramosum",0,0,0.00283,0.0019,0,0.03114,0,0,0.00021,0.04604,0,0,0.03158,0.11185,0.01156,0,0,0.01139,0,0,0,0,0,0.00346,0,0.01038,0,0,0,0,0.003,0.01275,0.01408,0.0018,0,0,0,0,0
"Fusicatenibacter_saccharivorans",0.45974,0.36035,0.19496,0.22888,0.7531,0.33527,0.25904,0.47495,0.07829,0.01561,1.36674,0.57085,0.28426,0.00187,0.51194,0.19776,0.5849,0.00401,0.49811,0.02057,0.128,0.04367,2.50811,0.41476,0.14924,0.03825,0.87445,0.01411,0.47313,3.73338,0.17809,0.00469,2.19581,1.20958,0.01256,0.48603,0.38462,0.81829,0.39666
"Clostridium_disporicum",0,0,0.01538,0.01144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11496,0,0,0,0,0,0.04762
"Actinomyces_sp_ICM47",0,0,0.00248,0,0,0,0,0,0,0,0,0,0,0,0.01381,0,0,0.00456,0,0,0,0,0,0,0.0062,0,0,0,0,0.04389,0,0,0,0.00048,0,0,0.00012,0,0
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
