"","b","hub","c"
"Streptococcus_salivarius",0,1,49
"Streptococcus_oralis",0,1,48
"Klebsiella_pneumoniae",0,2,23
"Actinomyces_sp_HPA0247",0,2,25
"Actinomyces_sp_S6_Spd3",0,3,2
"Collinsella_aerofaciens",0,1,9
"Prevotella_sp_CAG_873",0,2,14
"Lachnospira_pectinoschiza",0,1,26
"Veillonella_dispar",0,1,29
"Veillonella_infantium",5.17973686936704e-05,1,29
"Streptococcus_parasanguinis",0,0,49
"Butyricimonas_virosa",0,1,34
"Firmicutes_bacterium_CAG_238",0,1,40
"Veillonella_sp_T11011_6",0,0,29
"Asaccharobacter_celatus",0,2,17
"Adlercreutzia_equolifaciens",0,1,17
"Collinsella_stercoris",0.000258986843468352,3,9
"Collinsella_intestinalis",0,0,9
"Enterorhabdus_caecimuris",0,0,17
"Methanobrevibacter_smithii",0,0,40
"Bifidobacterium_scardovii",0.00176111053558479,4,4
"Parascardovia_denticolens",0.00176111053558479,3,4
"Actinomyces_oris",0,1,25
"Prevotella_sp_CAG_755",0,1,8
"Parasutterella_excrementihominis",0,2,16
"Butyricimonas_synergistica",0,0,34
"Proteobacteria_bacterium_CAG_139",0,1,16
"Bacteroides_faecis",0,1,31
"Turicimonas_muris",0,0,16
"Bacteroides_faecis_CAG_32",0,0,31
"Oxalobacter_formigenes",0.000103594737387341,1,8
"Bifidobacterium_angulatum",3.45315791291136e-05,5,6
"Firmicutes_bacterium_CAG_555",0,1,30
"Bacteroides_sp_CAG_633",0.000233088159121517,5,5
"Klebsiella_variicola",0,1,23
"Streptococcus_gordonii",0,0,48
"Prevotella_sp_CAG_5226",0,2,22
"Absiella_dolichum",0,1,43
"Eubacterium_dolichum_CAG_375",0,0,43
"Prevotella_sp_AM42_24",0,1,22
"Alistipes_sp_An66",0.000233088159121517,4,5
"Megasphaera_elsdenii",3.45315791291136e-05,4,6
"Enorma_massiliensis",0,1,9
"Prevotella_sp_CAG_617",2.58986843468352e-05,2,14
"Enterococcus_hirae",0.000595669739977209,3,1
"Pyramidobacter_piscolens",0,4,13
"Lactobacillus_johnsonii",0,2,19
"Pyramidobacter_sp_C12_8",0.000258986843468352,7,13
"Dialister_succinatiphilus",0,1,12
"Mitsuokella_jalaludinii",0,1,32
"Clostridium_sp_CAG_964",0.000517973686936704,4,2
"Lactobacillus_rhamnosus",0,1,15
"Ruminococcus_sp_CAG_563",0,1,6
"Bacteroides_sp_CAG_927",2.58986843468352e-05,1,14
"Lactobacillus_rogosae",5.17973686936704e-05,1,26
"Enterococcus_durans",0,2,13
"Bacteroides_galacturonicus",0,0,26
"Mitsuokella_multacida",0,0,32
"Klebsiella_quasipneumoniae",0,0,23
"Firmicutes_bacterium_CAG_534",3.45315791291136e-05,2,6
"Megamonas_hypermegale",0,1,28
"Prevotella_sp_885",0,1,12
"Firmicutes_bacterium_CAG_791",0,0,22
"Fusobacterium_mortiferum",0,1,47
"Oribacterium_sinus",0,1,46
"Streptococcus_sp_HMSC034E03",0.000543872371283539,3,2
"Prevotella_buccae",0,1,27
"Weissella_confusa",0,3,10
"Megamonas_funiformis",5.17973686936704e-05,1,28
"Clostridium_butyricum",0,3,3
"Bifidobacterium_kashiwanohense",0,1,15
"Anaerococcus_vaginalis",0,1,45
"Porphyromonas_sp_HMSC065F10",0.000543872371283539,2,2
"Peptoniphilus_duerdenii",0.000258986843468352,3,13
"[Collinsella]_massiliensis",0,0,9
"Klebsiella_michiganensis",0,1,1
"Klebsiella_oxytoca",0.00352222107116958,3,1
"Enterococcus_raffinosus",0,1,44
"Enterococcus_avium",0,1,1
"Peptoniphilus_sp_BV3C26",0.000258986843468352,6,13
"Anaeroglobus_geminatus",0.00450637107634932,3,1
"Gemella_asaccharolytica",0,0,45
"Peptoniphilus_sp_DNF00840",0.000258986843468352,5,13
"Megamonas_funiformis_CAG_377",0,0,28
"Granulicatella_adiacens",0.00037984737042025,4,1
"Citrobacter_youngae",0,1,38
"Acinetobacter_johnsonii",0,2,1
"Citrobacter_portucalensis",0,1,35
"Enterococcus_cecorum",0.000345315791291136,3,2
"Clostridium_sp_CAG_632",0,1,6
"Streptococcus_macedonicus",0,1,36
"Dialister_micraerophilus",0,2,13
"Eubacterium_coprostanoligenes",0,1,1
"Veillonella_rodentium",0,1,37
"Parvimonas_sp_KA00067",0.000310784212162022,2,5
"Sneathia_amnii",0,1,13
"Clostridioides_difficile",0.00435097897026831,3,1
"Campylobacter_coli",0,1,19
"Rothia_dentocariosa",0,0,25
"Streptococcus_cristatus",0,1,7
"Actinobaculum_sp_oral_taxon_183",0.000293518422597465,4,3
"Leuconostoc_pseudomesenteroides",0.00517973686936704,5,4
"Lactococcus_petauri",0,2,18
"Terrisporobacter_othiniensis",0,2,20
"Abiotrophia_sp_HMSC24B09",0.000271936185641769,4,4
"Streptococcus_sp_M334",0,3,4
"Clostridium_sp_7_2_43FAA",0.000271936185641769,2,4
"Fusobacterium_varium",0,1,42
"Olsenella_uli",0.00181290790427846,8,3
"Citrobacter_braakii",0,0,38
"Streptococcus_sp_HPH0090",0.000293518422597465,2,3
"Clostridium_sp_CAG_411",0,2,21
"Fusobacterium_equinum",0,0,5
"Ruminococcus_sp_CAG_624",0,0,6
"Tetragenococcus_halophilus",0,0,35
"Weissella_viridescens",0,2,10
"Corynebacterium_durum",5.17973686936704e-05,6,3
"Streptococcus_agalactiae",0,0,2
"Streptococcus_pseudopneumoniae",0,3,11
"Eubacterium_infirmum",0,1,20
"Staphylococcus_equorum",0.000103594737387341,1,8
"Proteus_vulgaris",0,1,27
"Odoribacter_laneus",0,1,21
"Citrobacter_sp_MGH106",0,1,18
"Lachnoanaerobaculum_saburreum",0.00745882109188853,2,4
"Lactobacillus_helveticus",0,1,33
"Peptostreptococcus_sp_MV1",0,1,41
"Parvimonas_sp_oral_taxon_393",0.000517973686936704,0,5
"Abiotrophia_defectiva",0.000271936185641769,1,4
"Prevotella_intermedia",0.000293518422597465,1,3
"Stomatobaculum_longum",0.00176111053558479,0,4
"Bifidobacterium_pullorum",0,2,24
"Bifidobacterium_saeculare",0,1,24
"Bifidobacterium_gallinarum",0,0,24
"Actinomyces_viscosus",0,1,7
"Lactobacillus_sanfranciscensis",0.0118615974308505,1,1
"Leuconostoc_lactis",0,0,14
"Streptococcus_sp_HMSC071D03",0,2,11
"Prevotella_sp_CAG_891",0,0,1
"Leuconostoc_carnosum",0.00155392106081011,2,2
"Erysipelothrix_larvae",0,0,47
"Eubacterium_saphenum",0,0,46
"Streptococcus_peroris",0,1,10
"Lachnospiraceae_bacterium_2_1_46FAA",5.17973686936704e-05,5,3
"Staphylococcus_saprophyticus",0,0,8
"Lactobacillus_reuteri",0,4,3
"Ruminococcus_sp_CAG_579",5.17973686936704e-05,1,30
"Gardnerella_vaginalis",0,2,13
"Subdoligranulum_variabile",0,0,44
"Streptococcus_sp_HMSC070B10",0.00037984737042025,1,1
"Lactobacillus_buchneri",0.000258986843468352,2,13
"Eggerthia_catenaformis",0,0,10
"Citrobacter_pasteurii",0,0,1
"Fusobacterium_ulcerans",0,0,42
"Lachnoclostridium_sp_An169",0,0,41
"Lactobacillus_apis",5.17973686936704e-05,3,3
"Lactobacillus_kullabergensis",5.17973686936704e-05,2,3
"Citrobacter_amalonaticus",0.000595669739977209,0,1
"Proteus_mirabilis",0,1,2
"Pseudoramibacter_alactolyticus",5.17973686936704e-05,1,3
"Lactobacillus_helsingborgensis",5.17973686936704e-05,0,3
"Lactococcus_piscium",0.000271936185641769,0,4
"Candidatus_Stoquefichus_sp_KLE1796",0,1,39
"Leuconostoc_citreum",0,0,3
"Gemmiger_sp_An50",0,0,39
