"","b","hub","c"
"Streptococcus_salivarius",0,1,58
"Eggerthella_lenta",0,1,57
"Klebsiella_pneumoniae",0,2,8
"Streptococcus_mitis",0,1,56
"Collinsella_aerofaciens",0,1,2
"Lachnospira_pectinoschiza",0,1,29
"Veillonella_dispar",4.65939800577765e-05,3,6
"Veillonella_infantium",4.65939800577765e-05,2,6
"Veillonella_atypica",0,0,6
"Streptococcus_parasanguinis",0,0,58
"Veillonella_sp_T11011_6",0,0,6
"Asaccharobacter_celatus",0,1,28
"Adlercreutzia_equolifaciens",0,0,28
"Gordonibacter_pamelaeae",0,0,57
"Collinsella_stercoris",0.000279563880346659,1,2
"Collinsella_intestinalis",0.000372751840462212,1,2
"Lactobacillus_gastricus",0,1,48
"Parasutterella_excrementihominis",0,2,13
"Proteobacteria_bacterium_CAG_139",0,1,13
"Actinomyces_odontolyticus",0,1,51
"Turicimonas_muris",0,0,13
"Klebsiella_variicola",0,1,8
"Absiella_dolichum",0,1,32
"Eubacterium_dolichum_CAG_375",0,0,32
"Enorma_massiliensis",0,1,2
"Mitsuokella_jalaludinii",0,1,26
"Lactobacillus_kefiranofaciens",0,3,3
"Lactobacillus_rogosae",0,0,29
"Mitsuokella_multacida",0,0,26
"Klebsiella_quasipneumoniae",0,0,8
"Streptococcus_infantis",0,0,56
"Megamonas_hypermegale",0,1,55
"Actinomyces_sp_HMSC035G02",0,0,51
"Megamonas_funiformis",0,0,55
"Facklamia_hominis",0,2,9
"Peptoniphilus_sp_HMSC062D09",0,1,18
"[Collinsella]_massiliensis",0.000279563880346659,0,2
"Corynebacterium_amycolatum",0,3,5
"Clostridium_neonatale",0,2,11
"Bifidobacterium_ruminantium",0,1,35
"Corynebacterium_aurimucosum",0,2,5
"Peptoniphilus_sp_BV3C26",0,1,44
"Aeromonas_caviae",0,2,4
"Acinetobacter_johnsonii",0,1,45
"Shewanella_algae",0,1,38
"Helicobacter_pylori",0,1,41
"Eubacterium_coprostanoligenes",0,1,34
"Morococcus_cerebrosus",0,2,14
"Prevotella_colorans",0,2,7
"Prevotella_sp_S7_1_8",0,1,7
"Hungatella_effluvii",0,1,19
"Corynebacterium_accolens",0,1,42
"Corynebacterium_jeikeium",0,1,5
"Lactococcus_petauri",0,1,24
"Lactococcus_garvieae",0,0,24
"Fusobacterium_equinum",0,1,22
"Fusobacterium_gonidiaformans",0,0,22
"Staphylococcus_equorum",0,2,12
"Alcaligenes_aquatilis",9.31879601155531e-05,1,19
"Stenotrophomonas_maltophilia",0,0,19
"Lactobacillus_helveticus",0,1,36
"Actinomyces_georgiae",0,1,40
"Bifidobacterium_pullorum",9.31879601155531e-05,2,21
"Bifidobacterium_saeculare",0,0,21
"Bifidobacterium_gallinarum",0,0,21
"Lactobacillus_mindensis",0,1,50
"Candida_albicans",0,1,49
"Leptotrichia_sp_oral_taxon_212",0,1,46
"Streptococcus_massiliensis",0,0,45
"Actinomyces_radicidentis",0,0,44
"Lactobacillus_versmoldensis",0,1,43
"Actinomyces_meyeri",0,0,40
"Corynebacterium_variabile",0,1,39
"Kingella_oralis",0,0,49
"Brevibacterium_aurantiacum",0,1,37
"Brevibacterium_linens",0,0,37
"Lactobacillus_panis",0,0,36
"Aeromonas_media",0,1,4
"Kluyvera_georgiana",0,1,4
"Bacteroides_caecimuris",0,1,4
"Kosakonia_pseudosacchari",0.000838691641039978,1,4
"Providencia_rettgeri",0,0,4
"Desulfovibrio_legallii",0,0,35
"Prevotella_sp_F0091",0,0,34
"Pseudoramibacter_alactolyticus",0,2,15
"Salmonella_enterica",0,0,50
"Trueperella_bernardiae",0,0,48
