"","b","hub","c"
"Ruminococcus_gnavus",0,2,27
"Ruminococcaceae_bacterium_D16",0,2,1
"Dialister_invisus",0.000107735401853049,2,11
"Blautia_sp_CAG_257",0,1,29
"Firmicutes_bacterium_CAG_94",0.00678733031674208,2,1
"Actinomyces_sp_ICM47",5.38677009265245e-05,2,19
"Intestinibacter_bartlettii",0,1,28
"Clostridium_saccharolyticum",0.00646412411118293,1,1
"Streptococcus_salivarius",0,1,4
"Clostridium_celatum",8.56986151103798e-06,25,10
"Streptococcus_pasteurianus",0,1,44
"Eggerthella_lenta",0.000107735401853049,3,16
"Actinomyces_sp_oral_taxon_181",0,1,29
"Streptococcus_oralis",0.00024240465416936,2,4
"Klebsiella_pneumoniae",0,2,25
"Actinomyces_sp_HPA0247",0,6,8
"Lachnoclostridium_sp_An118",0,1,8
"Streptococcus_mitis",0.000430941607412196,1,4
"Atopobium_parvulum",0,2,3
"Prevotella_copri",8.08015513897867e-05,1,16
"Actinomyces_sp_S6_Spd3",0,1,3
"Collinsella_aerofaciens",0,1,21
"Prevotella_sp_CAG_520",0.00614091790562379,2,2
"Prevotella_sp_CAG_279",2.69338504632622e-06,11,5
"Prevotella_sp_CAG_873",2.69338504632622e-06,10,5
"Alistipes_inops",0,1,30
"Lachnospira_pectinoschiza",0,2,26
"Prevotella_stercorea",0.00630252100840336,1,2
"Odoribacter_splanchnicus",0,1,37
"Firmicutes_bacterium_CAG_110",0,1,27
"Paraprevotella_xylaniphila",0,1,35
"Clostridium_sp_CAG_58",0,1,49
"Eubacterium_sp_CAG_38",0,1,16
"Gemmiger_formicilis",0,1,32
"Bacteroides_massiliensis",0,1,32
"Veillonella_dispar",0,2,2
"Veillonella_infantium",0.00290885585003232,4,2
"Veillonella_atypica",0,1,2
"Oscillibacter_sp_CAG_241",0,0,27
"Clostridium_perfringens",0,8,5
"Streptococcus_parasanguinis",0.00024240465416936,2,4
"Clostridium_sp_CAG_253",0,3,11
"Alistipes_finegoldii",0,1,39
"Alistipes_putredinis",0,0,37
"Veillonella_sp_T11011_6",0.000808015513897867,1,2
"Akkermansia_muciniphila",0,0,39
"Monoglobus_pectinilyticus",0.000273186197555945,9,6
"Alistipes_shahii",0,1,41
"Asaccharobacter_celatus",0,2,22
"Adlercreutzia_equolifaciens",0,1,22
"Bilophila_wadsworthia",2.69338504632622e-05,0,29
"Gordonibacter_pamelaeae",0,0,16
"Parvimonas_micra",0,2,24
"Collinsella_stercoris",8.08015513897867e-05,3,21
"Flavonifractor_sp_An100",0.000511743158801982,10,7
"Gemella_morbillorum",0,1,24
"Collinsella_intestinalis",0,0,21
"Streptococcus_milleri",0,2,10
"Harryflintia_acetispora",0,0,49
"Atopobium_rimae",8.56986151103798e-06,24,10
"Enterorhabdus_caecimuris",0,0,22
"Lactobacillus_salivarius",0,1,48
"Streptococcus_anginosus_group",0,0,4
"Lactobacillus_paragasseri",0,0,48
"Lactobacillus_gasseri",6.73346261581556e-05,8,8
"Parascardovia_denticolens",6.73346261581556e-05,7,8
"Actinomyces_oris",0,6,14
"Streptococcus_mutans",0.00072721396250808,5,8
"Lactobacillus_crispatus",0,6,1
"Lactobacillus_mucosae",0,0,44
"Lactobacillus_delbrueckii",6.73346261581556e-05,5,8
"Enterococcus_faecium",0,7,9
"Lactobacillus_fermentum",0,3,8
"Sanguibacteroides_justesenii",0.000273186197555945,8,6
