"","b","hub","c"
"Streptococcus_salivarius",0,1,2
"Eggerthella_lenta",0,1,39
"Streptococcus_oralis",0.00202005627299618,5,2
"Klebsiella_pneumoniae",0,2,11
"Streptococcus_mitis",0.00144289733785441,4,2
"Atopobium_parvulum",0,1,20
"Collinsella_aerofaciens",0,1,8
"Clostridiales_bacterium_CHKCI006",0,1,3
"Lachnospira_pectinoschiza",0,1,31
"Paraprevotella_xylaniphila",0,1,26
"Veillonella_dispar",0,2,10
"Veillonella_infantium",0.000216434600678162,2,10
"Veillonella_atypica",0,1,10
"Streptococcus_parasanguinis",0.000721448668927206,0,2
"Veillonella_sp_T11011_6",0.000216434600678162,0,10
"Asaccharobacter_celatus",0,2,14
"Adlercreutzia_equolifaciens",0,1,14
"Gordonibacter_pamelaeae",0,0,39
"Collinsella_stercoris",0.000360724334463603,2,8
"Ruminococcus_obeum_CAG_39",0,1,32
"Collinsella_massiliensis",0.000216434600678162,1,8
"Collinsella_intestinalis",0,0,8
"Atopobium_rimae",0,0,20
"Enterorhabdus_caecimuris",0,0,14
"Streptococcus_anginosus_group",0,0,2
"Lactobacillus_gastricus",0,1,16
"Prevotella_sp_CAG_755",0.00401606425702811,5,5
"Clostridium_sp_CAG_590",0.000312627756535123,7,1
"Roseburia_sp_CAG_309",0,1,1
"Parasutterella_excrementihominis",0,2,13
"Clostridium_sp_CAG_167",0.000312627756535123,6,1
"Gemella_sanguinis",0,1,2
"Proteobacteria_bacterium_CAG_139",0,1,13
"Actinomyces_odontolyticus",0,1,34
"Turicimonas_muris",0,0,13
"Bacteroides_faecis_CAG_32",0,1,37
"Veillonella_parvula",0,0,10
"Paraprevotella_clara",0,0,26
"Klebsiella_variicola",0,1,11
"Streptococcus_gordonii",0,0,2
"Prevotella_sp_CAG_1092",0.00165933193853257,3,1
"Absiella_dolichum",0,1,22
"Eubacterium_dolichum_CAG_375",0,0,22
"Butyrivibrio_sp_CAG_318",0.000360724334463603,4,1
"Alistipes_sp_An66",0,3,7
"Enorma_massiliensis",0,0,8
"Prevotella_sp_CAG_617",0,0,1
"Flavonifractor_sp_An10",0.0020922011398889,3,3
"Massiliomicrobiota_timonensis",0.00144289733785441,4,3
"Ruminococcus_sp_CAG_488",0.00216434600678162,1,1
"Mitsuokella_jalaludinii",0,1,17
"Butyrivibrio_crossotus",2.40482889642402e-05,1,1
"Desulfovibrionaceae_bacterium",0,5,5
"Streptococcus_sanguinis",0,1,2
"Ruminococcus_sp_CAG_563",0.00259721520813794,3,1
"Streptococcus_australis",0.00137075247096169,2,2
"Rothia_mucilaginosa",0,0,2
"Lactobacillus_rogosae",0,0,31
"Lactobacillus_sakei",0.0102806435322127,3,6
"Prevotella_sp_CAG_485",0.000312627756535123,3,1
"Enterococcus_durans",0.00133468003751533,5,3
"Bacteroides_sp_CAG_598",0,1,3
"Klebsiella_quasipneumoniae",0,0,11
"Streptococcus_infantis",0.00173147680542529,0,2
"Firmicutes_bacterium_CAG_534",0.000312627756535123,2,1
"Megamonas_hypermegale",0,1,36
