"","b","hub","c"
"Streptococcus_salivarius",0,1,49
"Eggerthella_lenta",0,1,48
"Klebsiella_pneumoniae",0,2,16
"Collinsella_aerofaciens",0,1,21
"Lachnospira_pectinoschiza",0,1,36
"Veillonella_dispar",0,2,20
"Veillonella_infantium",0,1,20
"Streptococcus_parasanguinis",0,0,49
"Veillonella_sp_T11011_6",0,0,20
"Asaccharobacter_celatus",0,1,35
"Adlercreutzia_equolifaciens",0,0,35
"Gordonibacter_pamelaeae",0,0,48
"Collinsella_stercoris",7.57403620389305e-05,1,21
"Collinsella_intestinalis",0,0,21
"Parasutterella_excrementihominis",0,2,17
"Proteobacteria_bacterium_CAG_139",0,1,17
"Turicimonas_muris",0,0,17
"Klebsiella_variicola",0,1,16
"Absiella_dolichum",0,1,39
"Eubacterium_dolichum_CAG_375",0,0,39
"Lactobacillus_rogosae",0,0,36
"Klebsiella_quasipneumoniae",0,0,16
"Megamonas_hypermegale",0,1,31
"Prevotella_pallens",0,1,23
"Neisseria_perflava",0,1,44
"Prevotella_jejuni",0,1,23
"Prevotella_salivae",7.57403620389305e-05,0,23
"Megamonas_funiformis",0,0,31
"Campylobacter_jejuni",0,1,37
"Staphylococcus_hominis",0,1,43
"Staphylococcus_epidermidis",0,1,27
"Kocuria_indica",0.000277714660809412,8,5
"Peptoniphilus_sp_BV3C26",0,1,47
"Helicobacter_sp_11_8110",0,1,46
"Neisseria_mucosa",0,0,44
"Citrobacter_freundii",0,1,24
"Comamonas_aquatica",0,3,8
"Citrobacter_youngae",7.57403620389305e-05,1,24
"Shewanella_algae",0.000151480724077861,2,7
"Acinetobacter_ursingii",0,1,34
"Citrobacter_portucalensis",0,0,24
"Enterococcus_cecorum",0,1,32
"Helicobacter_winghamensis",0,0,46
"Dialister_micraerophilus",3.78701810194653e-05,3,10
"Leptotrichia_wadei",0,5,3
"Morococcus_cerebrosus",0,1,7
"Cardiobacterium_valvarum",0,1,40
"Enterococcus_pseudoavium",0.000454442172233583,5,6
"Enterococcus_italicus",0,0,32
"Actinomyces_cardiffensis",0,1,9
"Actinomyces_hongkongensis",0,1,28
"Citrobacter_sp_MGH106",1.51480724077861e-05,5,3
"Actinomyces_georgiae",0,0,28
"Peptostreptococcus_sp_MV1",0,2,12
"Bifidobacterium_pullorum",0,2,13
"Bifidobacterium_saeculare",0,1,13
