Sample	CMP-Legionaminate-Biosynthesis	CMP-N-Acetylneuraminate-Biosynthesis	CMP-pseudaminate biosynthesis	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)	gibberellin biosynthesis II (early C-3 hydroxylation)	gibberellin biosynthesis IV (<i>Gibberella fujikuroi</i>)	gibberellin biosynthesis V	inosine-5'-phosphate biosynthesis I	inosine-5'-phosphate biosynthesis II	inosine-5'-phosphate biosynthesis III
ERR209069	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209070	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209071	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209072	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209082	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209083	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209084	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209085	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209088	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209096	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ERR209118	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ERR209160	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209162	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
ERR209163	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209164	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209175	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209187	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209223	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209225	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
ERR209226	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR209246	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209247	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209248	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209266	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
ERR209286	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ERR209287	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0
ERR209296	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209298	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
ERR209299	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
